[12:00:13 AM]  Nhặt +3710 beri
[12:00:22 AM]  Nhặt +3430 beri
[12:00:24 AM]  Nhặt +3430 beri
[12:00:45 AM]  Nhặt +1750 beri
[12:00:55 AM]  Nhặt +3290 beri
[12:01:02 AM]  Nhặt +7840 beri
[12:01:29 AM]  Nhặt +10080 beri
[12:02:04 AM]  Nhặt +8400 beri
[12:02:24 AM]  Nhặt +5810 beri
[12:02:33 AM]  Nhặt +4690 beri
[12:02:59 AM]  Nhặt +7840 beri
[12:03:01 AM]  Nhặt +4550 beri
[12:03:45 AM]  Nhặt +12180 beri
[12:04:38 AM]  Nhặt +6790 beri
[12:04:46 AM]  Nhặt +3010 beri
[12:04:54 AM]  Nhặt +13020 beri
[12:04:57 AM]  Nhặt +11200 beri
[12:05:06 AM]  Nhặt +4830 beri
[12:05:20 AM]  Nhặt +8050 beri
[12:05:21 AM]  Nhặt +11760 beri
[12:05:39 AM]  Nhặt +4970 beri
[12:05:58 AM]  Nhặt +4410 beri
[12:05:59 AM]  Nhặt +10430 beri
[12:06:34 AM]  Nhặt +7980 beri
[12:06:58 AM]  Nhặt +13790 beri
[12:07:11 AM]  Nhặt +5950 beri
[12:07:13 AM]  Logout : [Beri] 1.969.928.783 [Ruby] 1.499.818.830
[12:07:17 AM]  Login : [Beri] 1.969.928.783 [Ruby] 1.499.818.830
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:58 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:11:59 AM]  Mua Bột cường hóa -20 ruby
[12:12:00 AM]  Mua Bột cường hóa -20 ruby
[12:12:00 AM]  Mua Bột cường hóa -20 ruby
[12:12:00 AM]  Mua Bột cường hóa -20 ruby
[12:12:00 AM]  Mua Bột cường hóa -20 ruby
[12:12:00 AM]  Mua Bột cường hóa -20 ruby
