[12:04:15 PM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[12:07:46 PM]  Mua 1000 vé vòng quay -15000 ruby
[12:13:05 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:05 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:06 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:06 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:06 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:06 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:06 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:06 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:06 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:06 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:07 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:07 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:07 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:07 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:07 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:07 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:08 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:08 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:08 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:08 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:09 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:09 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:10 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:10 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:10 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:11 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:11 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:12 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:13 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:13 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:14 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:14 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:14 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:14 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:14 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:15 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:15 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:15 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:15 PM]  Mua Búa siêu cấp -10000 ruby
[12:13:16 PM]  Mua Búa siêu cấp -10000 ruby
[12:25:01 PM]  Mua Xp Chiêu thức -6000 ruby
[12:25:01 PM]  Mua Xp Chiêu thức -6000 ruby
[12:25:01 PM]  Mua Xp Chiêu thức -6000 ruby
[12:25:02 PM]  Mua Xp Chiêu thức -6000 ruby
[12:25:02 PM]  Mua Xp Chiêu thức -6000 ruby
[12:25:02 PM]  Mua Xp Chiêu thức -6000 ruby
[12:25:03 PM]  Mua Xp Chiêu thức -6000 ruby
[12:25:03 PM]  Mua Xp Chiêu thức -6000 ruby
[12:28:02 PM]  Mua Nữ thần -500 ruby
[12:36:47 PM]  Logout : [Beri] 2.000.000.000 [Ruby] 499.536.500
