[03:38:39 AM]  Login : [Beri] 2.000.007.008 [Ruby] 1.499.999.525
[03:39:10 AM]  Mua 6000 vé vòng quay -90000 ruby
[03:44:50 AM]  Mua xác ướp trắng -500 ruby
[03:48:21 AM]  Logout : [Beri] 1.970.707.008 [Ruby] 1.499.909.025
[03:48:34 AM]  Login : [Beri] 1.970.707.008 [Ruby] 1.499.909.025
[03:49:50 AM]  Logout : [Beri] 1.970.707.008 [Ruby] 1.499.909.025
[05:52:26 AM]  Login : [Beri] 1.970.707.008 [Ruby] 1.499.909.025
[05:53:15 AM]  Nhặt +3900 beri
[05:53:45 AM]  Nhặt +6750 beri
[05:53:57 AM]  Nhặt +6550 beri
[06:00:13 AM]  Nhặt +600 beri
[06:00:20 AM]  Nhặt +5600 beri
[06:00:36 AM]  Nhặt +4350 beri
[06:06:48 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:48 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:48 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:48 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:48 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:48 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:49 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:49 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:49 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:49 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:49 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:50 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:50 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:50 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:50 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:50 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:50 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:51 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:51 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:51 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:51 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:51 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:52 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:52 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:52 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:52 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:52 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:52 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:53 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:56 AM]  Mua Búa siêu cấp -10000 ruby
[06:06:59 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:06:59 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:06:59 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:06:59 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:06:59 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:06:59 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:06:59 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:03 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:03 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:03 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:03 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:03 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:03 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:04 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:04 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:04 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:04 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:08 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:08 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:08 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:08 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:08 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:09 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:09 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:09 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:09 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:09 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:10 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:10 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:10 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:14 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:14 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:15 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:15 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:15 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:15 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:15 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:15 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:15 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:18 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:18 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:18 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:18 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:22 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:22 AM]  Mua Đá Topaz cấp 1 -40 ruby
[06:07:22 AM]  Mua Đá Topaz cấp 1 -40 ruby
