[02:55:32 PM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[02:56:04 PM]  Mua Kinh nghiệm X2 -60 ruby
[02:56:04 PM]  Mua Kinh nghiệm X2 -60 ruby
[02:56:05 PM]  Mua Kinh nghiệm X2 -60 ruby
[02:56:05 PM]  Mua Kinh nghiệm X2 -60 ruby
[02:56:08 PM]  Mua Xp Chiêu thức -6000 ruby
[02:56:08 PM]  Mua Xp Chiêu thức -6000 ruby
[02:56:08 PM]  Mua Xp Chiêu thức -6000 ruby
[02:56:08 PM]  Mua Xp Chiêu thức -6000 ruby
[02:56:08 PM]  Mua Xp Chiêu thức -6000 ruby
[02:56:57 PM]  Mua Quả Conache -0 beri
[02:56:57 PM]  Mua Quả Conache -0 beri
[02:56:57 PM]  Mua Quả Conache -0 beri
[02:56:58 PM]  Mua Quả Conache -0 beri
[02:56:58 PM]  Mua Quả Conache -0 beri
[02:56:58 PM]  Mua Quả Conache -0 beri
[02:56:58 PM]  Mua Quả Conache -0 beri
[02:56:58 PM]  Mua Quả Conache -0 beri
[02:56:58 PM]  Mua Quả Conache -0 beri
[02:56:58 PM]  Mua Quả Conache -0 beri
[02:56:58 PM]  Mua Quả Conache -0 beri
[02:57:01 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:03 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:04 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:04 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:04 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:04 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:04 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:04 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:04 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:04 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:05 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:05 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:05 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:05 PM]  Mua Cơm hộp hải tặc -0 beri
[02:57:29 PM]  Mua Bão tố -500 ruby
[02:58:35 PM]  Mua 3900 vé vòng quay -58500 ruby
[03:01:09 PM]  Logout : [Beri] 2.000.000.000 [Ruby] 499.910.760
[03:01:30 PM]  Login : [Beri] 2.000.000.000 [Ruby] 499.910.760
[03:16:17 PM]  Mua 5000 vé vòng quay -75000 ruby
[03:22:46 PM]  Mua 30000 vé vòng quay -450000 ruby
[03:35:35 PM]  Nhặt +2088 beri
[03:43:05 PM]  Nhặt +2409 beri
[03:53:01 PM]  Logout : [Beri] 2.000.004.497 [Ruby] 499.385.760
[04:00:10 PM]  Login : [Beri] 2.000.004.497 [Ruby] 499.385.760
