[12:00:06 AM]  Nhặt +11466 beri
[12:00:08 AM]  Nhặt +364 beri
[12:00:10 AM]  Nhặt +13832 beri
[12:00:22 AM]  Nhặt +4550 beri
[12:00:44 AM]  Nhặt +8645 beri
[12:00:47 AM]  Nhặt +5733 beri
[12:00:53 AM]  Nhặt +16380 beri
[12:00:55 AM]  Nhặt +819 beri
[12:01:07 AM]  Nhặt +3731 beri
[12:01:09 AM]  Nhặt +11193 beri
[12:01:23 AM]  Nhặt +16471 beri
[12:01:24 AM]  Nhặt +364 beri
[12:01:29 AM]  Nhặt +13104 beri
[12:01:37 AM]  Nhặt +6643 beri
[12:01:39 AM]  Nhặt +12012 beri
[12:01:48 AM]  Nhặt +8918 beri
[12:02:02 AM]  Logout : [Beri] 1.921.574.803 [Ruby] 1.499.567.269
[12:02:29 AM]  Login : [Beri] 1.921.574.803 [Ruby] 1.499.567.269
[12:06:30 AM]  Nhặt +13068 beri
[12:06:31 AM]  Nhặt +3366 beri
[12:07:43 AM]  Nhặt +10044 beri
[12:07:54 AM]  Nhặt +3627 beri
[12:08:15 AM]  Nhặt +2325 beri
[12:08:33 AM]  Nhặt +18135 beri
[12:09:16 AM]  Nhặt +4557 beri
[12:09:24 AM]  Nhặt +12462 beri
[12:09:29 AM]  Nhặt +12420 beri
[12:09:33 AM]  Nhặt +4464 beri
[12:09:44 AM]  Nhặt +13206 beri
[12:09:53 AM]  Nhặt +14229 beri
[12:10:06 AM]  Nhặt +12090 beri
[12:10:18 AM]  Nhặt +18042 beri
[12:10:27 AM]  Nhặt +11346 beri
[12:10:43 AM]  Nhặt +15903 beri
[12:11:09 AM]  Nhặt +17572 beri
[12:11:16 AM]  Nhặt +3441 beri
[12:11:30 AM]  Nhặt +18321 beri
[12:11:52 AM]  Nhặt +2604 beri
[12:12:04 AM]  Nhặt +1581 beri
[12:12:18 AM]  Nhặt +9672 beri
[12:12:27 AM]  Nhặt +15548 beri
[12:13:21 AM]  Nhặt +3772 beri
[12:14:09 AM]  Nhặt +7533 beri
[12:14:21 AM]  Nhặt +11625 beri
[12:14:35 AM]  Nhặt +7812 beri
[12:14:51 AM]  Nhặt +11067 beri
[12:15:00 AM]  Nhặt +17112 beri
[12:15:09 AM]  Nhặt +8835 beri
[12:15:15 AM]  Nhặt +6603 beri
[12:15:25 AM]  Nhặt +16368 beri
[12:15:31 AM]  Nhặt +2976 beri
[12:15:45 AM]  Nhặt +12648 beri
[12:15:58 AM]  Nhặt +3534 beri
[12:16:07 AM]  Nhặt +9765 beri
[12:16:09 AM]  Nhặt +7347 beri
[12:16:22 AM]  Nhặt +8742 beri
[12:16:33 AM]  Nhặt +13857 beri
[12:16:37 AM]  Nhặt +1767 beri
[12:16:50 AM]  Nhặt +9207 beri
[12:16:59 AM]  Nhặt +11067 beri
[12:17:12 AM]  Nhặt +5115 beri
[12:17:20 AM]  Nhặt +5888 beri
[12:17:25 AM]  Nhặt +186 beri
[12:17:38 AM]  Nhặt +6045 beri
[12:18:24 AM]  Nhặt +10695 beri
[12:18:31 AM]  Nhặt +651 beri
[12:18:40 AM]  Nhặt +13485 beri
[12:19:00 AM]  Nhặt +2139 beri
[12:19:06 AM]  Nhặt +17756 beri
[12:19:12 AM]  Nhặt +1953 beri
[12:19:16 AM]  Nhặt +10230 beri
[12:19:38 AM]  Nhặt +1860 beri
[12:19:58 AM]  Nhặt +2046 beri
