[05:11:36 AM]  Login : [Beri] 2.000.000.000 [Ruby] 1.499.998.485
[05:12:36 AM]  Mua 9999 vé vòng quay -149985 ruby
[05:13:11 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 1.499.848.500
[05:13:57 AM]  Login : [Beri] 2.000.000.000 [Ruby] 1.499.848.500
[05:26:47 AM]  Mua Bột cường hóa -20 ruby
[05:26:47 AM]  Mua Bột cường hóa -20 ruby
[05:26:47 AM]  Mua Bột cường hóa -20 ruby
[05:26:47 AM]  Mua Bột cường hóa -20 ruby
[05:26:47 AM]  Mua Bột cường hóa -20 ruby
[05:26:48 AM]  Mua Bột cường hóa -20 ruby
[05:26:48 AM]  Mua Bột cường hóa -20 ruby
[05:26:48 AM]  Mua Bột cường hóa -20 ruby
[05:26:48 AM]  Mua Bột cường hóa -20 ruby
[05:26:48 AM]  Mua Bột cường hóa -20 ruby
[05:26:48 AM]  Mua Bột cường hóa -20 ruby
[05:26:49 AM]  Mua Bột cường hóa -20 ruby
[05:26:49 AM]  Mua Bột cường hóa -20 ruby
[05:26:49 AM]  Mua Bột cường hóa -20 ruby
[05:26:49 AM]  Mua Bột cường hóa -20 ruby
[05:26:49 AM]  Mua Bột cường hóa -20 ruby
[05:26:50 AM]  Mua Bột cường hóa -20 ruby
[05:26:50 AM]  Mua Bột cường hóa -20 ruby
[05:26:50 AM]  Mua Bột cường hóa -20 ruby
[05:26:56 AM]  Mua Bột cường hóa -1 ruby
[05:26:56 AM]  Mua Bột cường hóa -1 ruby
[05:26:56 AM]  Mua Bột cường hóa -1 ruby
[05:26:56 AM]  Mua Bột cường hóa -1 ruby
[05:26:56 AM]  Mua Bột cường hóa -1 ruby
[05:26:58 AM]  Mua Bột cường hóa -20 ruby
[05:26:58 AM]  Mua Bột cường hóa -20 ruby
[05:26:58 AM]  Mua Bột cường hóa -20 ruby
[05:26:58 AM]  Mua Bột cường hóa -20 ruby
[05:26:58 AM]  Mua Bột cường hóa -20 ruby
[05:26:59 AM]  Mua Bột cường hóa -20 ruby
[05:26:59 AM]  Mua Bột cường hóa -20 ruby
[05:26:59 AM]  Mua Bột cường hóa -20 ruby
[05:26:59 AM]  Mua Bột cường hóa -20 ruby
[05:26:59 AM]  Mua Bột cường hóa -20 ruby
[05:26:59 AM]  Mua Bột cường hóa -20 ruby
[05:26:59 AM]  Mua Bột cường hóa -20 ruby
[05:27:00 AM]  Mua Bột cường hóa -20 ruby
[05:27:00 AM]  Mua Bột cường hóa -20 ruby
[05:27:00 AM]  Mua Bột cường hóa -20 ruby
[05:27:00 AM]  Mua Bột cường hóa -20 ruby
[05:27:00 AM]  Mua Bột cường hóa -20 ruby
[05:27:00 AM]  Mua Bột cường hóa -20 ruby
[05:27:00 AM]  Mua Bột cường hóa -20 ruby
[05:27:01 AM]  Mua Bột cường hóa -20 ruby
[05:27:01 AM]  Mua Bột cường hóa -20 ruby
[05:27:01 AM]  Mua Bột cường hóa -20 ruby
[05:27:01 AM]  Mua Bột cường hóa -20 ruby
[05:27:01 AM]  Mua Bột cường hóa -20 ruby
