[03:40:07 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[03:42:32 AM]  Mua Trang phục Squid tròn -500 ruby
[03:43:58 AM]  Mua aokiji -500 ruby
[03:44:14 AM]  Mua Tóc mốc lai -500 ruby
[03:44:27 AM]  Mua Kinh nghiệm X2 -15 ruby
[03:44:30 AM]  Mua Xp Chiêu thức -1500 ruby
[03:44:33 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:34 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:34 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:34 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:34 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:35 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:35 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:35 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:35 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:35 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:36 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:36 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:36 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:36 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:37 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:37 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:37 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:37 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:37 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:38 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:38 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:38 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:38 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:39 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:39 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:39 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:39 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:39 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:40 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:40 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:40 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:40 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:40 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:41 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:41 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:41 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:41 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:42 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:42 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:42 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:42 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:42 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:43 AM]  Mua Cơm hộp hải tặc -0 beri
[03:44:45 AM]  Mua Quả Conache -0 beri
[03:44:45 AM]  Mua Quả Conache -0 beri
[03:44:45 AM]  Mua Quả Conache -0 beri
[03:44:46 AM]  Mua Quả Conache -0 beri
[03:44:46 AM]  Mua Quả Conache -0 beri
[03:44:46 AM]  Mua Quả Conache -0 beri
[03:44:46 AM]  Mua Quả Conache -0 beri
[03:44:46 AM]  Mua Quả Conache -0 beri
[03:44:47 AM]  Mua Quả Conache -0 beri
[03:44:47 AM]  Mua Quả Conache -0 beri
[03:44:47 AM]  Mua Quả Conache -0 beri
[03:44:47 AM]  Mua Quả Conache -0 beri
[03:44:48 AM]  Mua Quả Conache -0 beri
[03:44:48 AM]  Mua Quả Conache -0 beri
[03:44:48 AM]  Mua Quả Conache -0 beri
[03:44:48 AM]  Mua Quả Conache -0 beri
[03:44:49 AM]  Mua Quả Conache -0 beri
[03:44:49 AM]  Mua Quả Conache -0 beri
[03:44:49 AM]  Mua Quả Conache -0 beri
[03:44:49 AM]  Mua Quả Conache -0 beri
[03:44:50 AM]  Mua Quả Conache -0 beri
[03:44:50 AM]  Mua Quả Conache -0 beri
[03:44:50 AM]  Mua Quả Conache -0 beri
[03:44:50 AM]  Mua Quả Conache -0 beri
[03:44:51 AM]  Mua Quả Conache -0 beri
[03:44:51 AM]  Mua Quả Conache -0 beri
[03:44:51 AM]  Mua Quả Conache -0 beri
[03:44:52 AM]  Mua Quả Conache -0 beri
[03:44:52 AM]  Mua Quả Conache -0 beri
[03:44:52 AM]  Mua Quả Conache -0 beri
[03:44:52 AM]  Mua Quả Conache -0 beri
[03:44:53 AM]  Mua Quả Conache -0 beri
[03:44:53 AM]  Mua Quả Conache -0 beri
[03:44:53 AM]  Mua Quả Conache -0 beri
[03:44:53 AM]  Mua Quả Conache -0 beri
[03:44:54 AM]  Mua Quả Conache -0 beri
[03:44:54 AM]  Mua Quả Conache -0 beri
[03:44:54 AM]  Mua Quả Conache -0 beri
[03:44:54 AM]  Mua Quả Conache -0 beri
[03:44:54 AM]  Mua Quả Conache -0 beri
[03:44:55 AM]  Mua Quả Conache -0 beri
[03:44:55 AM]  Mua Quả Conache -0 beri
[03:44:55 AM]  Mua Quả Conache -0 beri
[03:44:55 AM]  Mua Quả Conache -0 beri
[03:47:42 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 499.996.985
