[11:25:31 AM]  Login : [Beri] 1.977.365.200 [Ruby] 1.499.998.514
[11:26:41 AM]  Mua 5000 vé vòng quay -75000 ruby
[12:34:06 PM]  Mua Bột cường hóa -20 ruby
[12:34:07 PM]  Mua Bột cường hóa -20 ruby
[12:34:07 PM]  Mua Bột cường hóa -20 ruby
[12:34:07 PM]  Mua Bột cường hóa -20 ruby
[12:34:07 PM]  Mua Bột cường hóa -20 ruby
[12:34:07 PM]  Mua Bột cường hóa -20 ruby
[12:34:07 PM]  Mua Bột cường hóa -20 ruby
[12:34:07 PM]  Mua Bột cường hóa -20 ruby
[12:34:08 PM]  Mua Bột cường hóa -20 ruby
[12:34:08 PM]  Mua Bột cường hóa -20 ruby
[12:34:08 PM]  Mua Bột cường hóa -20 ruby
[12:34:08 PM]  Mua Bột cường hóa -20 ruby
[12:34:09 PM]  Mua Bột cường hóa -20 ruby
[12:34:09 PM]  Mua Bột cường hóa -20 ruby
[12:34:09 PM]  Mua Bột cường hóa -20 ruby
[12:34:09 PM]  Mua Bột cường hóa -20 ruby
[12:34:09 PM]  Mua Bột cường hóa -20 ruby
[12:34:09 PM]  Mua Bột cường hóa -20 ruby
[12:34:09 PM]  Mua Bột cường hóa -20 ruby
[12:34:10 PM]  Mua Bột cường hóa -20 ruby
[12:34:10 PM]  Mua Bột cường hóa -20 ruby
[12:34:10 PM]  Mua Bột cường hóa -20 ruby
[12:34:10 PM]  Mua Bột cường hóa -20 ruby
[12:34:10 PM]  Mua Bột cường hóa -20 ruby
[12:34:10 PM]  Mua Bột cường hóa -20 ruby
[12:34:10 PM]  Mua Bột cường hóa -20 ruby
[12:34:11 PM]  Mua Bột cường hóa -20 ruby
[12:34:11 PM]  Mua Bột cường hóa -20 ruby
[12:34:11 PM]  Mua Bột cường hóa -20 ruby
[12:34:11 PM]  Mua Bột cường hóa -20 ruby
[12:34:11 PM]  Mua Bột cường hóa -20 ruby
[12:34:11 PM]  Mua Bột cường hóa -20 ruby
[12:34:11 PM]  Mua Bột cường hóa -20 ruby
[12:34:12 PM]  Mua Bột cường hóa -20 ruby
[12:34:12 PM]  Mua Bột cường hóa -20 ruby
[12:34:12 PM]  Mua Bột cường hóa -20 ruby
[12:34:12 PM]  Mua Bột cường hóa -20 ruby
[12:34:12 PM]  Mua Bột cường hóa -20 ruby
