[12:15:33 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[12:15:55 AM]  Nhặt +135 beri
[12:16:00 AM]  Nhặt +94 beri
[12:16:11 AM]  Mua Kinh nghiệm X2 -3 ruby
[12:16:12 AM]  Mua Xp Chiêu thức -300 ruby
[12:16:45 AM]  Mua Bột cường hóa -20 ruby
[12:16:45 AM]  Mua Bột cường hóa -20 ruby
[12:16:45 AM]  Mua Bột cường hóa -20 ruby
[12:16:46 AM]  Mua Bột cường hóa -20 ruby
[12:16:46 AM]  Mua Bột cường hóa -20 ruby
[12:16:46 AM]  Mua Bột cường hóa -20 ruby
[12:16:46 AM]  Mua Bột cường hóa -20 ruby
[12:16:47 AM]  Mua Bột cường hóa -20 ruby
[12:16:47 AM]  Mua Bột cường hóa -20 ruby
[12:16:47 AM]  Mua Bột cường hóa -20 ruby
[12:16:47 AM]  Mua Bột cường hóa -20 ruby
[12:16:47 AM]  Mua Bột cường hóa -20 ruby
[12:16:48 AM]  Mua Bột cường hóa -20 ruby
[12:16:48 AM]  Mua Bột cường hóa -20 ruby
[12:16:48 AM]  Mua Bột cường hóa -20 ruby
[12:16:48 AM]  Mua Bột cường hóa -20 ruby
[12:16:49 AM]  Mua Bột cường hóa -20 ruby
[12:16:49 AM]  Mua Bột cường hóa -20 ruby
[12:16:49 AM]  Mua Bột cường hóa -20 ruby
[12:16:50 AM]  Mua Bột cường hóa -20 ruby
[12:16:50 AM]  Mua Bột cường hóa -20 ruby
[12:16:50 AM]  Mua Bột cường hóa -20 ruby
[12:16:50 AM]  Mua Bột cường hóa -20 ruby
[12:16:50 AM]  Mua Bột cường hóa -20 ruby
[12:16:50 AM]  Mua Bột cường hóa -20 ruby
[12:16:51 AM]  Mua Bột cường hóa -20 ruby
[12:16:51 AM]  Mua Bột cường hóa -20 ruby
[12:16:51 AM]  Mua Bột cường hóa -20 ruby
[12:16:51 AM]  Mua Bột cường hóa -20 ruby
[12:16:51 AM]  Mua Bột cường hóa -20 ruby
[12:16:52 AM]  Mua Bột cường hóa -20 ruby
[12:16:52 AM]  Mua Bột cường hóa -20 ruby
[12:16:52 AM]  Mua Bột cường hóa -20 ruby
[12:16:52 AM]  Mua Bột cường hóa -20 ruby
[12:16:52 AM]  Mua Bột cường hóa -20 ruby
[12:16:52 AM]  Mua Bột cường hóa -20 ruby
[12:16:53 AM]  Mua Bột vàng -40 ruby
[12:16:54 AM]  Mua Bột vàng -40 ruby
[12:16:54 AM]  Mua Bột vàng -40 ruby
[12:16:54 AM]  Mua Bột vàng -40 ruby
[12:16:54 AM]  Mua Bột vàng -40 ruby
[12:16:54 AM]  Mua Bột vàng -40 ruby
[12:16:54 AM]  Mua Bột vàng -40 ruby
[12:16:55 AM]  Mua Bột vàng -40 ruby
[12:16:55 AM]  Mua Bột vàng -40 ruby
[12:16:55 AM]  Mua Bột vàng -40 ruby
[12:16:55 AM]  Mua Bột vàng -40 ruby
[12:16:55 AM]  Mua Bột vàng -40 ruby
[12:16:56 AM]  Mua Bột vàng -40 ruby
[12:16:56 AM]  Mua Bột vàng -40 ruby
[12:16:56 AM]  Mua Bột vàng -40 ruby
[12:16:56 AM]  Mua Bột vàng -40 ruby
[12:16:56 AM]  Mua Bột vàng -40 ruby
[12:16:56 AM]  Mua Bột vàng -40 ruby
[12:16:57 AM]  Mua Bột vàng -40 ruby
[12:16:57 AM]  Mua Bột vàng -40 ruby
[12:16:57 AM]  Mua Bột vàng -40 ruby
[12:16:57 AM]  Mua Bột vàng -40 ruby
[12:16:57 AM]  Mua Bột vàng -40 ruby
[12:16:58 AM]  Mua Bột vàng -40 ruby
[12:16:58 AM]  Mua Bột vàng -40 ruby
[12:16:58 AM]  Mua Bột vàng -40 ruby
[12:16:58 AM]  Mua Bột vàng -40 ruby
[12:16:58 AM]  Mua Bột vàng -40 ruby
[12:16:58 AM]  Mua Bột vàng -40 ruby
[12:16:59 AM]  Mua Bột vàng -40 ruby
[12:16:59 AM]  Mua Bột vàng -40 ruby
[12:16:59 AM]  Mua Bột vàng -40 ruby
[12:16:59 AM]  Mua Bột vàng -40 ruby
[12:16:59 AM]  Mua Bột vàng -40 ruby
[12:17:00 AM]  Mua Bột vàng -40 ruby
[12:17:00 AM]  Mua Bột vàng -40 ruby
[12:17:00 AM]  Mua Bột vàng -40 ruby
[12:17:00 AM]  Mua Bột vàng -40 ruby
[12:17:00 AM]  Mua Bột vàng -40 ruby
[12:17:00 AM]  Mua Bột vàng -40 ruby
[12:17:01 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:01 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:02 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:02 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:02 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:02 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:03 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:03 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:03 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:03 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:03 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:04 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:04 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:04 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:04 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:04 AM]  Mua Ngôi sao may mắn -100 ruby
[12:17:05 AM]  Mua Ngôi sao may mắn -100 ruby
