[10:08:02 PM]  Login : [Beri] 9.987.121 [Ruby] 48.498
[10:08:14 PM]  Nhặt +48 beri
[10:08:17 PM]  Nhặt +116 beri
[10:08:46 PM]  Mua 1000 vé vòng quay -15000 ruby
[10:12:42 PM]  Nhặt +176 beri
[10:14:16 PM]  Mua Đá Topaz cấp 1 -100 ruby
[10:14:17 PM]  Mua Đá Topaz cấp 1 -100 ruby
[10:14:17 PM]  Mua Đá Topaz cấp 1 -100 ruby
[10:14:17 PM]  Mua Đá Topaz cấp 1 -100 ruby
[10:14:17 PM]  Mua Đá Topaz cấp 1 -100 ruby
[10:14:17 PM]  Mua Đá Topaz cấp 1 -100 ruby
[10:14:29 PM]  Hợp đá khảm -> Đá Topaz cấp 2 -50 ruby
[10:14:31 PM]  Hợp đá khảm -> Đá Topaz cấp 3 -50 ruby
[10:14:35 PM]  Hợp đá khảm -> Đá Topaz cấp 4 -50 ruby
[10:15:02 PM]  Nhặt +1288 beri
[10:15:24 PM]  Nhặt +888 beri
[10:15:31 PM]  Nhặt +1384 beri
[10:16:03 PM]  Nhặt +928 beri
[10:16:09 PM]  Nhặt +936 beri
[10:16:15 PM]  Nhặt +1056 beri
[10:17:00 PM]  Nhặt +944 beri
[10:17:24 PM]  Nhặt +1120 beri
[10:17:29 PM]  Nhặt +168 beri
[10:18:16 PM]  Nhặt +440 beri
[10:18:36 PM]  Nhặt +616 beri
[10:19:07 PM]  Nhặt +320 beri
[10:19:20 PM]  Nhặt +1336 beri
[10:19:23 PM]  Nhặt +1360 beri
[10:19:50 PM]  Nhặt +784 beri
[10:20:20 PM]  Nhặt +256 beri
[10:20:25 PM]  Nhặt +1352 beri
[10:20:29 PM]  Nhặt +168 beri
[10:21:57 PM]  Mua Chị hằng -500 ruby
[10:22:16 PM]  Mua Găng da thú 2 -1700 beri
[10:22:25 PM]  Mua Bột cường hóa -20 ruby
[10:22:26 PM]  Mua Bột cường hóa -20 ruby
[10:22:26 PM]  Mua Bột cường hóa -20 ruby
[10:22:26 PM]  Mua Bột cường hóa -20 ruby
[10:22:27 PM]  Mua Bột cường hóa -20 ruby
[10:22:27 PM]  Mua Bột cường hóa -20 ruby
[10:22:27 PM]  Mua Bột cường hóa -20 ruby
[10:22:27 PM]  Mua Bột cường hóa -20 ruby
[10:22:29 PM]  Mua Bột cường hóa -20 ruby
