[12:00:05 AM]  Nhặt +1881 beri
[12:00:07 AM]  Nhặt +10197 beri
[12:00:14 AM]  Nhặt +14553 beri
[12:00:21 AM]  Nhặt +6930 beri
[12:00:29 AM]  Nhặt +2772 beri
[12:00:33 AM]  Nhặt +17424 beri
[12:00:38 AM]  Nhặt +5049 beri
[12:00:56 AM]  Nhặt +18315 beri
[12:01:10 AM]  Nhặt +18018 beri
[12:01:17 AM]  Nhặt +6336 beri
[12:01:29 AM]  Nhặt +15345 beri
[12:01:31 AM]  Nhặt +1683 beri
[12:01:33 AM]  Nhặt +16830 beri
[12:01:47 AM]  Nhặt +11583 beri
[12:01:48 AM]  Nhặt +4356 beri
[12:01:50 AM]  Nhặt +12771 beri
[12:01:54 AM]  Nhặt +14652 beri
[12:01:58 AM]  Nhặt +15147 beri
[12:02:03 AM]  Nhặt +6039 beri
[12:02:29 AM]  Nhặt +15939 beri
[12:02:43 AM]  Nhặt +18414 beri
[12:02:46 AM]  Nhặt +792 beri
[12:02:48 AM]  Nhặt +2871 beri
[12:02:59 AM]  Nhặt +13464 beri
[12:03:07 AM]  Nhặt +6534 beri
[12:03:12 AM]  Nhặt +8217 beri
[12:03:18 AM]  Nhặt +6633 beri
[12:03:21 AM]  Nhặt +6930 beri
[12:03:23 AM]  Nhặt +17028 beri
[12:03:35 AM]  Nhặt +18810 beri
[12:03:49 AM]  Nhặt +2475 beri
[12:03:50 AM]  Nhặt +10989 beri
[12:03:52 AM]  Nhặt +3366 beri
[12:03:55 AM]  Nhặt +14553 beri
[12:04:10 AM]  Nhặt +13860 beri
[12:04:21 AM]  Nhặt +14949 beri
[12:04:31 AM]  Nhặt +990 beri
[12:04:55 AM]  Nhặt +10890 beri
[12:04:59 AM]  Nhặt +4752 beri
[12:05:00 AM]  Nhặt +17820 beri
[12:05:04 AM]  Nhặt +13860 beri
[12:05:13 AM]  Nhặt +13365 beri
[12:05:14 AM]  Nhặt +16929 beri
[12:05:18 AM]  Nhặt +1980 beri
[12:05:21 AM]  Nhặt +18810 beri
[12:05:23 AM]  Nhặt +17622 beri
[12:05:31 AM]  Nhặt +19602 beri
[12:05:35 AM]  Nhặt +9702 beri
[12:05:42 AM]  Nhặt +2277 beri
[12:05:44 AM]  Nhặt +12870 beri
[12:05:47 AM]  Nhặt +9900 beri
[12:05:55 AM]  Nhặt +15246 beri
[12:06:16 AM]  Nhặt +594 beri
[12:06:25 AM]  Nhặt +10494 beri
[12:06:34 AM]  Nhặt +5148 beri
[12:06:41 AM]  Nhặt +19305 beri
[12:07:07 AM]  Nhặt +7920 beri
[12:07:09 AM]  Nhặt +5346 beri
[12:07:11 AM]  Nhặt +8316 beri
[12:07:12 AM]  Nhặt +13365 beri
[12:07:13 AM]  Nhặt +693 beri
[12:07:22 AM]  Nhặt +19602 beri
[12:07:36 AM]  Nhặt +13662 beri
[12:07:53 AM]  Nhặt +4455 beri
[12:07:57 AM]  Nhặt +7722 beri
[12:08:00 AM]  Nhặt +8712 beri
[12:08:08 AM]  Nhặt +396 beri
[12:08:21 AM]  Nhặt +13365 beri
[12:08:30 AM]  Nhặt +15642 beri
[12:08:31 AM]  Nhặt +19503 beri
[12:08:39 AM]  Nhặt +11682 beri
[12:08:42 AM]  Nhặt +13365 beri
[12:08:45 AM]  Nhặt +1584 beri
[12:08:51 AM]  Nhặt +7920 beri
[12:08:57 AM]  Nhặt +11385 beri
[12:09:04 AM]  Nhặt +4752 beri
[12:09:06 AM]  Nhặt +9207 beri
[12:09:41 AM]  Nhặt +6039 beri
[12:09:46 AM]  Nhặt +12375 beri
[12:09:49 AM]  Nhặt +6732 beri
[12:09:51 AM]  Nhặt +16335 beri
[12:10:03 AM]  Nhặt +15246 beri
[12:10:06 AM]  Nhặt +11979 beri
[12:10:08 AM]  Nhặt +11781 beri
[12:10:10 AM]  Nhặt +2178 beri
[12:10:23 AM]  Nhặt +13662 beri
[12:10:27 AM]  Nhặt +1386 beri
[12:10:44 AM]  Nhặt +990 beri
[12:10:50 AM]  Nhặt +2673 beri
[12:11:00 AM]  Nhặt +9603 beri
[12:11:03 AM]  Nhặt +17820 beri
[12:11:05 AM]  Nhặt +9603 beri
[12:11:35 AM]  Nhặt +7425 beri
[12:11:39 AM]  Nhặt +17820 beri
[12:11:47 AM]  Nhặt +17028 beri
[12:11:53 AM]  Nhặt +4752 beri
[12:12:08 AM]  Nhặt +11781 beri
[12:12:16 AM]  Nhặt +8019 beri
[12:12:30 AM]  Nhặt +3663 beri
[12:12:42 AM]  Nhặt +16533 beri
[12:12:55 AM]  Nhặt +13365 beri
[12:13:13 AM]  Nhặt +5148 beri
[12:13:28 AM]  Nhặt +13068 beri
[12:13:36 AM]  Nhặt +1584 beri
[12:13:57 AM]  Nhặt +14553 beri
[12:14:17 AM]  Nhặt +6237 beri
[12:14:26 AM]  Nhặt +14355 beri
[12:14:28 AM]  Nhặt +16137 beri
[12:14:33 AM]  Nhặt +2871 beri
[12:14:39 AM]  Nhặt +11781 beri
[12:14:59 AM]  Nhặt +17028 beri
[12:15:07 AM]  Nhặt +7326 beri
[12:15:25 AM]  Nhặt +3267 beri
[12:15:28 AM]  Nhặt +16038 beri
[12:15:29 AM]  Nhặt +1188 beri
[12:15:38 AM]  Nhặt +9504 beri
[12:15:42 AM]  Nhặt +2277 beri
[12:15:47 AM]  Nhặt +4158 beri
[12:15:48 AM]  Nhặt +18909 beri
[12:15:55 AM]  Nhặt +11088 beri
[12:16:01 AM]  Nhặt +16632 beri
[12:16:07 AM]  Nhặt +1287 beri
[12:16:21 AM]  Nhặt +10395 beri
[12:16:30 AM]  Nhặt +6831 beri
[12:16:32 AM]  Nhặt +11583 beri
[12:16:46 AM]  Nhặt +10098 beri
[12:16:56 AM]  Nhặt +5247 beri
[12:16:58 AM]  Nhặt +9207 beri
[12:17:02 AM]  Nhặt +7524 beri
[12:17:07 AM]  Nhặt +9306 beri
[12:17:11 AM]  Nhặt +4554 beri
[12:17:27 AM]  Nhặt +17226 beri
[12:17:32 AM]  Nhặt +16929 beri
[12:17:38 AM]  Nhặt +12177 beri
[12:17:42 AM]  Nhặt +14355 beri
[12:18:11 AM]  Nhặt +891 beri
[12:18:18 AM]  Nhặt +3564 beri
[12:18:21 AM]  Nhặt +17721 beri
[12:18:22 AM]  Nhặt +6732 beri
[12:18:26 AM]  Nhặt +15642 beri
[12:18:37 AM]  Nhặt +5445 beri
[12:18:48 AM]  Nhặt +3861 beri
[12:18:58 AM]  Nhặt +8118 beri
[12:19:02 AM]  Nhặt +792 beri
[12:19:04 AM]  Nhặt +16038 beri
[12:19:07 AM]  Nhặt +1485 beri
[12:19:12 AM]  Nhặt +5247 beri
[12:19:22 AM]  Nhặt +11979 beri
[12:19:28 AM]  Nhặt +5445 beri
[12:19:33 AM]  Nhặt +17226 beri
[12:19:38 AM]  Nhặt +792 beri
[12:19:56 AM]  Nhặt +2772 beri
[12:19:59 AM]  Nhặt +15048 beri
[12:20:02 AM]  Nhặt +4653 beri
[12:20:07 AM]  Nhặt +12177 beri
[12:20:18 AM]  Nhặt +19305 beri
[12:20:19 AM]  Nhặt +7326 beri
[12:20:21 AM]  Nhặt +2475 beri
[12:20:25 AM]  Nhặt +14058 beri
[12:20:38 AM]  Nhặt +891 beri
[12:20:39 AM]  Nhặt +9702 beri
[12:20:44 AM]  Nhặt +15543 beri
[12:21:04 AM]  Nhặt +12375 beri
[12:21:06 AM]  Nhặt +6138 beri
