[11:11:22 PM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[11:11:42 PM]  Nhặt +11 beri
[11:11:45 PM]  Nhặt +47 beri
[11:12:04 PM]  Nhặt +16 beri
[11:12:30 PM]  Mua Xp Chiêu thức -6000 ruby
[11:12:31 PM]  Mua Xp Chiêu thức -6000 ruby
[11:12:31 PM]  Mua Xp Chiêu thức -6000 ruby
[11:12:31 PM]  Mua Xp Chiêu thức -6000 ruby
[11:12:31 PM]  Mua Xp Chiêu thức -6000 ruby
[11:12:32 PM]  Mua Xp Chiêu thức -6000 ruby
[11:12:32 PM]  Mua Xp Chiêu thức -6000 ruby
[11:12:32 PM]  Mua Xp Chiêu thức -6000 ruby
[11:12:35 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:12:35 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:12:35 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:12:39 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:12:39 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:12:42 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:43 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:43 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:43 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:43 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:44 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:44 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:44 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:45 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:45 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:45 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:46 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:46 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:47 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:47 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:47 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:47 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:48 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:48 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:48 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:49 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:49 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:49 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:50 PM]  Mua Cơm hộp hải tặc -0 beri
[11:12:53 PM]  Mua Quả Conache -0 beri
[11:12:54 PM]  Mua Quả Conache -0 beri
[11:12:54 PM]  Mua Quả Conache -0 beri
[11:12:54 PM]  Mua Quả Conache -0 beri
[11:12:55 PM]  Mua Quả Conache -0 beri
[11:12:55 PM]  Mua Quả Conache -0 beri
[11:12:55 PM]  Mua Quả Conache -0 beri
[11:12:56 PM]  Mua Quả Conache -0 beri
[11:12:56 PM]  Mua Quả Conache -0 beri
[11:12:56 PM]  Mua Quả Conache -0 beri
[11:12:57 PM]  Mua Quả Conache -0 beri
[11:12:57 PM]  Mua Quả Conache -0 beri
[11:12:58 PM]  Mua Quả Conache -0 beri
[11:12:58 PM]  Mua Quả Conache -0 beri
[11:12:58 PM]  Mua Quả Conache -0 beri
[11:12:59 PM]  Mua Quả Conache -0 beri
[11:12:59 PM]  Mua Quả Conache -0 beri
[11:12:59 PM]  Mua Quả Conache -0 beri
[11:13:00 PM]  Mua Quả Conache -0 beri
[11:13:00 PM]  Mua Quả Conache -0 beri
[11:13:01 PM]  Mua Quả Conache -0 beri
[11:13:01 PM]  Mua Quả Conache -0 beri
[11:13:02 PM]  Mua Quả Conache -0 beri
[11:13:06 PM]  Mua Quả Conache -0 beri
[11:13:06 PM]  Mua Quả Conache -0 beri
[11:13:07 PM]  Mua Quả Conache -0 beri
[11:13:07 PM]  Mua Quả Conache -0 beri
[11:13:07 PM]  Mua Quả Conache -0 beri
[11:14:15 PM]  Mua Tóc khỉ con -500 ruby
[11:15:03 PM]  Logout : [Beri] 10.000.074 [Ruby] -2.800
