[11:43:59 PM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[11:47:50 PM]  Mua 12 vé vòng quay -180 ruby
[11:53:11 PM]  Mua Quả Conache -0 beri
[11:53:11 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:12 PM]  Mua Quả Conache -0 beri
[11:53:30 PM]  Logout : [Beri] 11.012.423 [Ruby] 39.000
[11:53:36 PM]  Login : [Beri] 11.012.423 [Ruby] 39.000
[11:53:44 PM]  Mua Quả Conache -0 beri
[11:53:45 PM]  Mua Quả Conache -0 beri
[11:53:45 PM]  Mua Quả Conache -0 beri
[11:53:46 PM]  Mua Quả Conache -0 beri
[11:53:46 PM]  Mua Quả Conache -0 beri
[11:53:47 PM]  Mua Quả Conache -0 beri
[11:53:47 PM]  Mua Quả Conache -0 beri
[11:53:48 PM]  Mua Quả Conache -0 beri
[11:53:49 PM]  Mua Quả Conache -0 beri
[11:53:49 PM]  Mua Quả Conache -0 beri
[11:53:51 PM]  Mua Quả Conache -0 beri
[11:53:51 PM]  Mua Quả Conache -0 beri
[11:53:51 PM]  Mua Quả Conache -0 beri
[11:53:52 PM]  Mua Quả Conache -0 beri
[11:53:52 PM]  Mua Quả Conache -0 beri
[11:53:53 PM]  Mua Quả Conache -0 beri
[11:53:53 PM]  Mua Quả Conache -0 beri
[11:53:54 PM]  Mua Quả Conache -0 beri
[11:53:54 PM]  Mua Quả Conache -0 beri
[11:53:54 PM]  Mua Quả Conache -0 beri
[11:53:55 PM]  Mua Quả Conache -0 beri
[11:53:55 PM]  Mua Quả Conache -0 beri
[11:53:56 PM]  Mua Quả Conache -0 beri
[11:53:56 PM]  Mua Quả Conache -0 beri
[11:53:57 PM]  Mua Quả Conache -0 beri
[11:53:57 PM]  Mua Quả Conache -0 beri
[11:53:57 PM]  Mua Quả Conache -0 beri
[11:53:58 PM]  Mua Quả Conache -0 beri
[11:53:58 PM]  Mua Quả Conache -0 beri
[11:54:03 PM]  Mua Quả Conache -0 beri
[11:54:03 PM]  Mua Quả Conache -0 beri
[11:54:04 PM]  Mua Quả Conache -0 beri
[11:54:04 PM]  Mua Quả Conache -0 beri
[11:54:05 PM]  Mua Quả Conache -0 beri
[11:54:08 PM]  Mua Súp baratie -1600 beri
[11:54:08 PM]  Mua Súp baratie -1600 beri
[11:54:08 PM]  Mua Súp baratie -1600 beri
[11:54:09 PM]  Mua Súp baratie -1600 beri
[11:54:09 PM]  Mua Súp baratie -1600 beri
[11:54:10 PM]  Mua Súp baratie -1600 beri
[11:54:10 PM]  Mua Súp baratie -1600 beri
[11:54:10 PM]  Mua Súp baratie -1600 beri
[11:54:11 PM]  Mua Súp baratie -1600 beri
[11:54:11 PM]  Mua Súp baratie -1600 beri
[11:54:12 PM]  Mua Súp baratie -1600 beri
[11:54:12 PM]  Mua Súp baratie -1600 beri
[11:54:12 PM]  Mua Súp baratie -1600 beri
[11:54:13 PM]  Mua Súp baratie -1600 beri
[11:54:13 PM]  Mua Súp baratie -1600 beri
[11:54:14 PM]  Mua Súp baratie -1600 beri
[11:54:14 PM]  Mua Súp baratie -1600 beri
[11:54:14 PM]  Mua Súp baratie -1600 beri
[11:54:15 PM]  Mua Súp baratie -1600 beri
[11:54:15 PM]  Mua Súp baratie -1600 beri
[11:54:16 PM]  Mua Súp baratie -1600 beri
[11:54:16 PM]  Mua Súp baratie -1600 beri
[11:54:16 PM]  Mua Súp baratie -1600 beri
[11:54:17 PM]  Mua Súp baratie -1600 beri
[11:54:17 PM]  Mua Súp baratie -1600 beri
[11:54:17 PM]  Mua Súp baratie -1600 beri
