[10:10:28 PM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[10:11:29 PM]  Mua Thần Sét -500 ruby
[10:11:52 PM]  Mua Tóc Siêu Sao -500 ruby
[10:12:03 PM]  Mua Kinh nghiệm X2 -60 ruby
[10:12:09 PM]  Mua Xp Chiêu thức -6000 ruby
[10:12:13 PM]  Mua Quả Conache -0 beri
[10:12:13 PM]  Mua Quả Conache -0 beri
[10:12:13 PM]  Mua Quả Conache -0 beri
[10:12:13 PM]  Mua Quả Conache -0 beri
[10:12:14 PM]  Mua Quả Conache -0 beri
[10:12:15 PM]  Mua Quả Conache -0 beri
[10:12:15 PM]  Mua Quả Conache -0 beri
[10:12:15 PM]  Mua Quả Conache -0 beri
[10:12:15 PM]  Mua Quả Conache -0 beri
[10:12:16 PM]  Mua Quả Conache -0 beri
[10:12:16 PM]  Mua Quả Conache -0 beri
[10:12:16 PM]  Mua Quả Conache -0 beri
[10:12:16 PM]  Mua Quả Conache -0 beri
[10:12:16 PM]  Mua Quả Conache -0 beri
[10:12:17 PM]  Mua Quả Conache -0 beri
[10:12:17 PM]  Mua Quả Conache -0 beri
[10:12:17 PM]  Mua Quả Conache -0 beri
[10:12:17 PM]  Mua Quả Conache -0 beri
[10:12:17 PM]  Mua Quả Conache -0 beri
[10:12:18 PM]  Mua Quả Conache -0 beri
[10:12:18 PM]  Mua Quả Conache -0 beri
[10:12:18 PM]  Mua Quả Conache -0 beri
[10:12:18 PM]  Mua Quả Conache -0 beri
[10:12:18 PM]  Mua Quả Conache -0 beri
[10:12:19 PM]  Mua Quả Conache -0 beri
[10:12:19 PM]  Mua Quả Conache -0 beri
[10:12:19 PM]  Mua Quả Conache -0 beri
[10:12:19 PM]  Mua Quả Conache -0 beri
[10:12:20 PM]  Mua Quả Conache -0 beri
[10:12:20 PM]  Mua Quả Conache -0 beri
[10:12:20 PM]  Mua Quả Conache -0 beri
[10:12:20 PM]  Mua Quả Conache -0 beri
[10:12:20 PM]  Mua Quả Conache -0 beri
[10:12:20 PM]  Mua Quả Conache -0 beri
