[11:17:06 PM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[11:18:17 PM]  Mua Kinh nghiệm X2 -3 ruby
[11:18:20 PM]  Mua Xp Chiêu thức -300 ruby
[11:19:41 PM]  Nhặt +35 beri
[11:19:47 PM]  Nhặt +113 beri
[11:20:06 PM]  Nhặt +2 beri
[11:20:35 PM]  Nhặt +175 beri
[11:20:44 PM]  Nhặt +125 beri
[11:21:04 PM]  Mua Quả Conache -0 beri
[11:21:04 PM]  Mua Quả Conache -0 beri
[11:21:04 PM]  Mua Quả Conache -0 beri
[11:21:05 PM]  Mua Quả Conache -0 beri
[11:21:05 PM]  Mua Quả Conache -0 beri
[11:21:05 PM]  Mua Quả Conache -0 beri
[11:21:05 PM]  Mua Quả Conache -0 beri
[11:21:06 PM]  Mua Quả Conache -0 beri
[11:21:06 PM]  Mua Quả Conache -0 beri
[11:21:06 PM]  Mua Quả Conache -0 beri
[11:21:06 PM]  Mua Quả Conache -0 beri
[11:21:06 PM]  Mua Quả Conache -0 beri
[11:21:07 PM]  Mua Quả Conache -0 beri
[11:21:07 PM]  Mua Quả Conache -0 beri
[11:21:07 PM]  Mua Quả Conache -0 beri
[11:21:07 PM]  Mua Quả Conache -0 beri
[11:21:07 PM]  Mua Quả Conache -0 beri
[11:21:08 PM]  Mua Quả Conache -0 beri
[11:21:08 PM]  Mua Quả Conache -0 beri
[11:21:08 PM]  Mua Quả Conache -0 beri
[11:21:08 PM]  Mua Quả Conache -0 beri
[11:21:08 PM]  Mua Quả Conache -0 beri
[11:21:09 PM]  Mua Quả Conache -0 beri
[11:21:09 PM]  Mua Quả Conache -0 beri
[11:21:09 PM]  Mua Quả Conache -0 beri
[11:21:09 PM]  Mua Quả Conache -0 beri
[11:21:09 PM]  Mua Quả Conache -0 beri
[11:21:10 PM]  Mua Quả Conache -0 beri
[11:21:10 PM]  Mua Quả Conache -0 beri
[11:21:10 PM]  Mua Quả Conache -0 beri
[11:21:10 PM]  Mua Quả Conache -0 beri
[11:21:10 PM]  Mua Quả Conache -0 beri
[11:21:11 PM]  Mua Quả Conache -0 beri
[11:21:11 PM]  Mua Quả Conache -0 beri
[11:21:11 PM]  Mua Quả Conache -0 beri
[11:21:11 PM]  Mua Quả Conache -0 beri
[11:21:11 PM]  Mua Quả Conache -0 beri
[11:21:12 PM]  Mua Quả Conache -0 beri
[11:21:12 PM]  Mua Quả Conache -0 beri
[11:21:12 PM]  Mua Quả Conache -0 beri
[11:21:12 PM]  Mua Quả Conache -0 beri
[11:21:13 PM]  Mua Quả Conache -0 beri
[11:21:13 PM]  Mua Quả Conache -0 beri
[11:21:13 PM]  Mua Quả Conache -0 beri
[11:21:13 PM]  Mua Quả Conache -0 beri
[11:21:13 PM]  Mua Quả Conache -0 beri
[11:21:13 PM]  Mua Quả Conache -0 beri
[11:21:14 PM]  Mua Quả Conache -0 beri
[11:21:14 PM]  Mua Quả Conache -0 beri
[11:21:14 PM]  Mua Quả Conache -0 beri
[11:21:15 PM]  Mua Quả Conache -0 beri
[11:21:15 PM]  Mua Quả Conache -0 beri
[11:21:15 PM]  Mua Quả Conache -0 beri
[11:21:15 PM]  Mua Quả Conache -0 beri
[11:21:15 PM]  Mua Quả Conache -0 beri
[11:21:15 PM]  Mua Quả Conache -0 beri
[11:21:15 PM]  Mua Quả Conache -0 beri
[11:21:15 PM]  Mua Quả Conache -0 beri
[11:21:17 PM]  Mua Quả Conache -0 beri
[11:21:17 PM]  Mua Quả Conache -0 beri
[11:21:17 PM]  Mua Quả Conache -0 beri
[11:21:17 PM]  Mua Quả Conache -0 beri
[11:21:17 PM]  Mua Quả Conache -0 beri
[11:21:17 PM]  Mua Quả Conache -0 beri
[11:21:17 PM]  Mua Quả Conache -0 beri
[11:21:17 PM]  Mua Quả Conache -0 beri
[11:21:17 PM]  Mua Quả Conache -0 beri
[11:21:18 PM]  Mua Quả Conache -0 beri
[11:21:18 PM]  Mua Quả Conache -0 beri
[11:21:18 PM]  Mua Quả Conache -0 beri
[11:21:18 PM]  Mua Quả Conache -0 beri
[11:21:18 PM]  Mua Quả Conache -0 beri
[11:21:19 PM]  Mua Quả Conache -0 beri
[11:21:19 PM]  Mua Quả Conache -0 beri
[11:21:19 PM]  Mua Quả Conache -0 beri
[11:21:19 PM]  Mua Quả Conache -0 beri
[11:22:54 PM]  Nhặt +40 beri
[11:23:05 PM]  Nhặt +32 beri
[11:23:07 PM]  Nhặt +73 beri
[11:23:08 PM]  Nhặt +113 beri
[11:23:13 PM]  Nhặt +38 beri
[11:23:47 PM]  Nhặt +35 beri
[11:24:25 PM]  Nhặt +175 beri
[11:24:42 PM]  Logout : [Beri] 10.000.956 [Ruby] 49.697
