[11:38:10 PM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[11:39:31 PM]  Mua 99 vé vòng quay -1485 ruby
[11:48:01 PM]  Mua Súp baratie -1600 beri
[11:48:01 PM]  Mua Súp baratie -1600 beri
[11:48:02 PM]  Mua Súp baratie -1600 beri
[11:48:02 PM]  Mua Súp baratie -1600 beri
[11:48:02 PM]  Mua Súp baratie -1600 beri
[11:48:02 PM]  Mua Súp baratie -1600 beri
[11:48:03 PM]  Mua Súp baratie -1600 beri
[11:48:03 PM]  Mua Súp baratie -1600 beri
[11:48:04 PM]  Mua Súp baratie -1600 beri
[11:48:11 PM]  Mua Cola -800 beri
[11:48:11 PM]  Mua Cola -800 beri
[11:48:12 PM]  Mua Cola -800 beri
[11:48:12 PM]  Mua Cola -800 beri
[11:48:12 PM]  Mua Cola -800 beri
[11:48:13 PM]  Mua Cola -800 beri
[11:48:13 PM]  Mua Cola -800 beri
[11:48:13 PM]  Mua Cola -800 beri
[11:48:14 PM]  Mua Cola -800 beri
[11:48:14 PM]  Mua Cola -800 beri
[11:56:04 PM]  Mua 1 vé vòng quay -15 ruby
[11:57:24 PM]  Mua 9999 vé vòng quay -149985 ruby
