[12:31:28 AM]  Login : [Beri] 1.999.883.768 [Ruby] 1.499.950.500
[12:31:34 AM]  Nhặt +1112 beri
[12:32:11 AM]  Logout : [Beri] 1.999.884.880 [Ruby] 1.499.950.500
[04:46:28 AM]  Login : [Beri] 1.999.884.880 [Ruby] 1.499.950.500
[04:46:58 AM]  Logout : [Beri] 1.999.884.880 [Ruby] 1.499.950.500
[04:48:04 AM]  Login : [Beri] 1.999.884.880 [Ruby] 1.499.950.500
[04:48:33 AM]  Logout : [Beri] 1.999.884.880 [Ruby] 1.499.950.500
[04:55:35 AM]  Login : [Beri] 1.999.884.880 [Ruby] 1.499.950.500
[04:55:52 AM]  Mua Bột cường hóa -20 ruby
[04:55:52 AM]  Mua Bột cường hóa -20 ruby
[04:55:53 AM]  Mua Bột cường hóa -20 ruby
[04:55:53 AM]  Mua Bột cường hóa -20 ruby
[04:56:12 AM]  Mua Bột cường hóa -20 ruby
[04:56:12 AM]  Mua Bột cường hóa -20 ruby
[04:56:12 AM]  Mua Bột cường hóa -20 ruby
[04:56:12 AM]  Mua Bột cường hóa -20 ruby
[04:56:12 AM]  Mua Bột cường hóa -20 ruby
[04:56:12 AM]  Mua Bột cường hóa -20 ruby
[04:56:12 AM]  Mua Bột cường hóa -20 ruby
[04:56:12 AM]  Mua Bột cường hóa -20 ruby
[04:56:12 AM]  Mua Bột cường hóa -20 ruby
[04:56:12 AM]  Mua Bột cường hóa -20 ruby
[04:56:12 AM]  Mua Bột cường hóa -20 ruby
[04:56:13 AM]  Mua Bột cường hóa -20 ruby
[04:56:13 AM]  Mua Bột cường hóa -20 ruby
[04:56:13 AM]  Mua Bột cường hóa -20 ruby
[04:56:13 AM]  Mua Bột cường hóa -20 ruby
[04:56:13 AM]  Mua Bột cường hóa -20 ruby
[04:56:13 AM]  Mua Bột cường hóa -20 ruby
[04:56:13 AM]  Mua Bột cường hóa -20 ruby
[04:56:13 AM]  Mua Bột cường hóa -20 ruby
[04:56:13 AM]  Mua Bột cường hóa -20 ruby
[04:56:13 AM]  Mua Bột cường hóa -20 ruby
[04:56:13 AM]  Mua Bột cường hóa -20 ruby
[04:56:14 AM]  Mua Bột cường hóa -20 ruby
[04:56:14 AM]  Mua Bột cường hóa -20 ruby
[04:56:14 AM]  Mua Bột cường hóa -20 ruby
