[03:50:25 AM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[03:50:29 AM]  Nhặt +73 beri
[03:51:07 AM]  Mua Xp Chiêu thức -1500 ruby
[03:51:12 AM]  Mua Kinh nghiệm X2 -15 ruby
[03:51:16 AM]  Mua Gà nướng -1000 beri
[03:51:16 AM]  Mua Gà nướng -1000 beri
[03:51:16 AM]  Mua Gà nướng -1000 beri
[03:51:16 AM]  Mua Gà nướng -1000 beri
[03:51:17 AM]  Mua Gà nướng -1000 beri
[03:51:17 AM]  Mua Gà nướng -1000 beri
[03:51:17 AM]  Mua Gà nướng -1000 beri
[03:51:17 AM]  Mua Gà nướng -1000 beri
[03:51:17 AM]  Mua Gà nướng -1000 beri
[03:51:17 AM]  Mua Gà nướng -1000 beri
[03:51:18 AM]  Mua Gà nướng -1000 beri
[03:51:18 AM]  Mua Gà nướng -1000 beri
[03:51:18 AM]  Mua Gà nướng -1000 beri
[03:51:18 AM]  Mua Gà nướng -1000 beri
[03:51:18 AM]  Mua Gà nướng -1000 beri
[03:51:18 AM]  Mua Gà nướng -1000 beri
[03:51:18 AM]  Mua Gà nướng -1000 beri
[03:51:19 AM]  Mua Gà nướng -1000 beri
[03:51:19 AM]  Mua Gà nướng -1000 beri
[03:51:19 AM]  Mua Gà nướng -1000 beri
[03:51:19 AM]  Mua Gà nướng -1000 beri
[03:51:19 AM]  Mua Gà nướng -1000 beri
[03:51:19 AM]  Mua Gà nướng -1000 beri
[03:51:19 AM]  Mua Gà nướng -1000 beri
[03:51:20 AM]  Mua Gà nướng -1000 beri
[03:51:20 AM]  Mua Gà nướng -1000 beri
[03:51:20 AM]  Mua Gà nướng -1000 beri
[03:51:23 AM]  Mua Cola -800 beri
[03:51:23 AM]  Mua Cola -800 beri
[03:51:23 AM]  Mua Cola -800 beri
[03:51:23 AM]  Mua Cola -800 beri
[03:51:24 AM]  Mua Cola -800 beri
[03:51:24 AM]  Mua Cola -800 beri
[03:51:24 AM]  Mua Cola -800 beri
[03:51:25 AM]  Mua Cola -800 beri
[03:51:25 AM]  Mua Cola -800 beri
[03:51:25 AM]  Mua Cola -800 beri
[03:51:25 AM]  Mua Cola -800 beri
[03:51:25 AM]  Mua Cola -800 beri
[03:51:25 AM]  Mua Cola -800 beri
[03:51:26 AM]  Mua Cola -800 beri
[03:51:26 AM]  Mua Cola -800 beri
[03:51:26 AM]  Mua Cola -800 beri
[03:51:26 AM]  Mua Cola -800 beri
[03:51:26 AM]  Mua Cola -800 beri
[03:51:26 AM]  Mua Cola -800 beri
[03:51:27 AM]  Mua Cola -800 beri
[03:51:27 AM]  Mua Cola -800 beri
[03:51:27 AM]  Mua Cola -800 beri
[03:51:27 AM]  Mua Cola -800 beri
[03:51:27 AM]  Mua Cola -800 beri
[03:51:27 AM]  Mua Cola -800 beri
[03:51:28 AM]  Mua Cola -800 beri
[03:51:28 AM]  Mua Cola -800 beri
[03:52:34 AM]  Mua Quản lý -500 ruby
[03:52:58 AM]  Nhặt +104 beri
[03:53:13 AM]  Nhặt +166 beri
[03:53:22 AM]  Nhặt +199 beri
[03:53:25 AM]  Nhặt +147 beri
[03:53:43 AM]  Nhặt +73 beri
[03:54:22 AM]  Nhặt +132 beri
[03:54:24 AM]  Nhặt +174 beri
[03:54:40 AM]  Nhặt +67 beri
[03:54:49 AM]  Nhặt +167 beri
[03:54:54 AM]  Nhặt +183 beri
[03:55:07 AM]  Nhặt +25 beri
[03:55:28 AM]  Nhặt +178 beri
[03:55:32 AM]  Nhặt +174 beri
[03:55:37 AM]  Nhặt +48 beri
[03:55:49 AM]  Nhặt +100 beri
[03:56:32 AM]  Nhặt +126 beri
[03:57:04 AM]  Nhặt +180 beri
