[08:26:47 AM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[08:28:04 AM]  Mua Quản lý -500 ruby
[08:28:17 AM]  Mua Tóc khỉ con -500 ruby
[08:28:26 AM]  Mua Pell -500 ruby
[08:29:28 AM]  Mua 100 vé vòng quay -1500 ruby
[08:33:49 AM]  Mua Búa siêu cấp -20000 ruby
[08:35:45 AM]  Nhặt +326 beri
[08:36:05 AM]  Nhặt +507 beri
[08:36:24 AM]  Nhặt +134 beri
[08:36:26 AM]  Nhặt +186 beri
[08:36:53 AM]  Mua Kinh nghiệm X2 -60 ruby
[08:36:56 AM]  Mua Quả Conache -0 beri
[08:36:57 AM]  Mua Quả Conache -0 beri
[08:36:57 AM]  Mua Quả Conache -0 beri
[08:36:57 AM]  Mua Quả Conache -0 beri
[08:36:57 AM]  Mua Quả Conache -0 beri
[08:36:57 AM]  Mua Quả Conache -0 beri
[08:36:58 AM]  Mua Quả Conache -0 beri
[08:36:58 AM]  Mua Quả Conache -0 beri
[08:36:58 AM]  Mua Quả Conache -0 beri
[08:36:58 AM]  Mua Quả Conache -0 beri
[08:36:58 AM]  Mua Quả Conache -0 beri
[08:36:58 AM]  Mua Quả Conache -0 beri
[08:36:58 AM]  Mua Quả Conache -0 beri
[08:36:59 AM]  Mua Quả Conache -0 beri
[08:36:59 AM]  Mua Quả Conache -0 beri
[08:36:59 AM]  Mua Quả Conache -0 beri
[08:36:59 AM]  Mua Quả Conache -0 beri
[08:36:59 AM]  Mua Quả Conache -0 beri
[08:36:59 AM]  Mua Quả Conache -0 beri
[08:37:00 AM]  Mua Quả Conache -0 beri
[08:37:00 AM]  Mua Quả Conache -0 beri
[08:37:00 AM]  Mua Quả Conache -0 beri
[08:37:00 AM]  Mua Quả Conache -0 beri
[08:37:00 AM]  Mua Quả Conache -0 beri
[08:37:00 AM]  Mua Quả Conache -0 beri
[08:37:00 AM]  Mua Quả Conache -0 beri
[08:37:01 AM]  Mua Quả Conache -0 beri
[08:37:01 AM]  Mua Quả Conache -0 beri
[08:37:01 AM]  Mua Quả Conache -0 beri
[08:37:02 AM]  Mua Quả Conache -0 beri
[08:37:02 AM]  Mua Quả Conache -0 beri
[08:37:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:04 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:04 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:04 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:06 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:06 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:06 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:06 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:06 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:07 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:07 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:07 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:07 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:09 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:09 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:09 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:09 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:09 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:09 AM]  Mua Cơm hộp hải tặc -0 beri
[08:37:11 AM]  Mua Xp Chiêu thức -6000 ruby
[08:37:11 AM]  Mua Xp Chiêu thức -6000 ruby
[08:37:55 AM]  Đục lỗ Kiếm thủy quái 2 -50 ruby
[08:38:00 AM]  Đục lỗ Kiếm thủy quái 2 -50 ruby
[08:38:03 AM]  Đục lỗ Kiếm thủy quái 2 -50 ruby
[08:38:07 AM]  Đục lỗ Kiếm thủy quái 2 -50 ruby
[08:38:11 AM]  Đục lỗ Kiếm thủy quái 2 -50 ruby
[08:38:14 AM]  Đục lỗ Kiếm thủy quái 2 -50 ruby
[08:38:18 AM]  Đục lỗ Kiếm thủy quái 2 -50 ruby
[08:38:21 AM]  Đục lỗ Kiếm thủy quái 2 -50 ruby
[08:38:24 AM]  Đục lỗ Kiếm thủy quái 2 -100 ruby
[08:38:27 AM]  Đục lỗ Kiếm thủy quái 2 -100 ruby
[08:38:30 AM]  Đục lỗ Kiếm thủy quái 2 -100 ruby
[08:38:34 AM]  Đục lỗ Kiếm thủy quái 2 -100 ruby
[08:38:35 AM]  Đục lỗ Kiếm thủy quái 2 -100 ruby
[08:38:40 AM]  Đục lỗ Kiếm thủy quái 2 -100 ruby
[08:38:44 AM]  Đục lỗ Kiếm thủy quái 2 -100 ruby
[08:38:47 AM]  Đục lỗ Kiếm thủy quái 2 -100 ruby
[08:38:51 AM]  Đục lỗ Kiếm thủy quái 2 -100 ruby
[08:38:56 AM]  Đục lỗ Kiếm thủy quái 2 -150 ruby
[08:38:59 AM]  Đục lỗ Kiếm thủy quái 2 -150 ruby
[08:39:04 AM]  Đục lỗ Kiếm thủy quái 2 -150 ruby
[08:39:26 AM]  Logout : [Beri] 13.130.571 [Ruby] 3.690
[08:41:05 AM]  Login : [Beri] 13.130.571 [Ruby] 3.690
[08:41:10 AM]  Logout : [Beri] 13.130.571 [Ruby] 3.690
