[02:44:42 AM]  Login : [Beri] 1.859.893.624 [Ruby] 1.499.769.622
[02:44:58 AM]  Nhặt +14616 beri
[02:45:00 AM]  Nhặt +2436 beri
[02:45:14 AM]  Nhặt +9744 beri
[02:45:18 AM]  Nhặt +2001 beri
[02:45:19 AM]  Nhặt +2436 beri
[02:45:20 AM]  Nhặt +261 beri
[02:45:23 AM]  Nhặt +10440 beri
[02:45:50 AM]  Nhặt +10266 beri
[02:46:01 AM]  Nhặt +2175 beri
[02:46:05 AM]  Nhặt +14703 beri
[02:47:05 AM]  Cường hóa item Dial 4 -3000 beri
[02:47:06 AM]  Cường hóa item Dial 4 -2 ruby
[02:47:06 AM]  Cường hóa item Dial 4 -2 ruby
[02:47:06 AM]  Cường hóa item Dial 4 -4000 beri
[02:47:07 AM]  Cường hóa item Dial 4 -2 ruby
[02:47:07 AM]  Cường hóa item Dial 4 -3 ruby
[02:47:07 AM]  Cường hóa item Dial 4 -3 ruby
[02:47:07 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:08 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:08 AM]  Cường hóa item Dial 4 -3 ruby
[02:47:09 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:09 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:10 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:10 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:11 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:11 AM]  Cường hóa item Dial 4 -3 ruby
[02:47:12 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:12 AM]  Cường hóa item Dial 4 -3 ruby
[02:47:12 AM]  Cường hóa item Dial 4 -3 ruby
[02:47:13 AM]  Cường hóa item Dial 4 -3 ruby
[02:47:13 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:15 AM]  Cường hóa item Dial 4 -3 ruby
[02:47:15 AM]  Cường hóa item Dial 4 -3 ruby
[02:47:15 AM]  Cường hóa item Dial 4 -3 ruby
[02:47:16 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:16 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:17 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:17 AM]  Cường hóa item Dial 4 -3 ruby
[02:47:17 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:18 AM]  Cường hóa item Dial 4 -6000 beri
[02:47:18 AM]  Cường hóa item Dial 4 -8000 beri
[02:47:18 AM]  Cường hóa item Dial 4 -4 ruby
[02:47:19 AM]  Cường hóa item Dial 4 -5 ruby
[02:47:19 AM]  Cường hóa item Dial 4 -5 ruby
[02:47:19 AM]  Cường hóa item Dial 4 -10000 beri
[02:47:20 AM]  Cường hóa item Dial 4 -10000 beri
[02:47:20 AM]  Cường hóa item Dial 4 -5 ruby
[02:48:32 AM]  Cường hóa item Quả Tim -3000 beri
[02:48:32 AM]  Cường hóa item Quả Tim -3000 beri
[02:48:33 AM]  Cường hóa item Quả Tim -3000 beri
[02:48:33 AM]  Cường hóa item Quả Tim -3000 beri
[02:48:34 AM]  Cường hóa item Quả Tim -4000 beri
[02:48:34 AM]  Cường hóa item Quả Tim -4000 beri
[02:48:35 AM]  Cường hóa item Quả Tim -4000 beri
[02:48:35 AM]  Cường hóa item Quả Tim -4000 beri
[02:48:36 AM]  Cường hóa item Quả Tim -2 ruby
[02:48:36 AM]  Cường hóa item Quả Tim -4000 beri
[02:48:37 AM]  Cường hóa item Quả Tim -4000 beri
[02:48:37 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:38 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:38 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:39 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:39 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:40 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:40 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:41 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:41 AM]  Cường hóa item Quả Tim -3 ruby
[02:48:42 AM]  Cường hóa item Quả Tim -3 ruby
[02:48:42 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:42 AM]  Cường hóa item Quả Tim -3 ruby
[02:48:42 AM]  Cường hóa item Quả Tim -3 ruby
[02:48:43 AM]  Cường hóa item Quả Tim -3 ruby
[02:48:43 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:43 AM]  Cường hóa item Quả Tim -3 ruby
[02:48:44 AM]  Cường hóa item Quả Tim -3 ruby
[02:48:44 AM]  Cường hóa item Quả Tim -3 ruby
[02:48:44 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:45 AM]  Cường hóa item Quả Tim -3 ruby
[02:48:45 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:46 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:46 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:46 AM]  Cường hóa item Quả Tim -6000 beri
[02:48:59 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:03 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:04 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:04 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:06 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:06 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:06 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:07 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:07 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:09 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:09 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:09 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:11 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:11 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:12 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:12 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:13 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:14 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:14 AM]  Cường hóa item Quả Tim -6000 beri
[02:49:15 AM]  Cường hóa item Quả Tim -8000 beri
[02:49:27 AM]  Mua Bột vàng -40 ruby
[02:49:27 AM]  Mua Bột vàng -40 ruby
[02:49:28 AM]  Mua Bột vàng -40 ruby
[02:49:28 AM]  Mua Bột vàng -40 ruby
[02:49:28 AM]  Mua Bột vàng -40 ruby
[02:49:28 AM]  Mua Bột vàng -40 ruby
[02:49:28 AM]  Mua Bột vàng -40 ruby
[02:49:28 AM]  Mua Bột vàng -40 ruby
[02:49:28 AM]  Mua Bột vàng -40 ruby
[02:49:28 AM]  Mua Bột vàng -40 ruby
[02:49:29 AM]  Mua Bột vàng -40 ruby
[02:49:29 AM]  Mua Bột vàng -40 ruby
[02:49:29 AM]  Mua Bột vàng -40 ruby
[02:49:29 AM]  Mua Bột vàng -40 ruby
[02:49:29 AM]  Mua Bột vàng -40 ruby
[02:49:29 AM]  Mua Bột vàng -40 ruby
[02:49:29 AM]  Mua Bột vàng -40 ruby
[02:49:29 AM]  Mua Bột vàng -40 ruby
[02:49:29 AM]  Mua Bột vàng -40 ruby
[02:49:29 AM]  Mua Bột vàng -40 ruby
[02:49:29 AM]  Mua Bột vàng -40 ruby
[02:49:29 AM]  Mua Bột vàng -40 ruby
[02:49:30 AM]  Mua Bột vàng -40 ruby
[02:49:30 AM]  Mua Bột vàng -40 ruby
[02:49:30 AM]  Mua Bột vàng -40 ruby
[02:49:40 AM]  Cường hóa item Quả Tim -4 ruby
[02:49:41 AM]  Cường hóa item Quả Tim -8000 beri
[02:49:42 AM]  Cường hóa item Quả Tim -4 ruby
[02:49:42 AM]  Cường hóa item Quả Tim -4 ruby
[02:49:42 AM]  Cường hóa item Quả Tim -8000 beri
[02:49:43 AM]  Cường hóa item Quả Tim -8000 beri
[02:49:44 AM]  Cường hóa item Quả Tim -8000 beri
[02:49:45 AM]  Cường hóa item Quả Tim -8000 beri
[02:49:45 AM]  Cường hóa item Quả Tim -8000 beri
[02:49:45 AM]  Cường hóa item Quả Tim -8000 beri
[02:49:46 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:46 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:48 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:48 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:49 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:50 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:50 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:50 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:52 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:52 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:53 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:53 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:55 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:55 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:56 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:56 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:57 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:58 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:58 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:59 AM]  Cường hóa item Quả Tim -10000 beri
[02:49:59 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:00 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:00 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:01 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:02 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:03 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:04 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:05 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:05 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:06 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:06 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:07 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:08 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:09 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:09 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:20 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:20 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:21 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:21 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:22 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:23 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:24 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:24 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:25 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:25 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:27 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:27 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:28 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:29 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:30 AM]  Cường hóa item Quả Tim -10000 beri
[02:50:38 AM]  Mua Bột cường hóa -20 ruby
[02:50:38 AM]  Mua Bột cường hóa -20 ruby
[02:50:38 AM]  Mua Bột cường hóa -20 ruby
[02:50:39 AM]  Mua Bột cường hóa -20 ruby
[02:50:39 AM]  Mua Bột cường hóa -20 ruby
[02:50:39 AM]  Mua Bột cường hóa -20 ruby
[02:50:39 AM]  Mua Bột cường hóa -20 ruby
[02:50:39 AM]  Mua Bột cường hóa -20 ruby
[02:50:39 AM]  Mua Bột cường hóa -20 ruby
[02:50:40 AM]  Mua Bột cường hóa -20 ruby
