[12:00:14 AM]  Nhặt +3150 beri
[12:00:45 AM]  Nhặt +3247 beri
[12:01:42 AM]  Nhặt +2664 beri
[12:02:21 AM]  Nhặt +2660 beri
[12:03:55 AM]  Nhặt +3515 beri
[12:03:56 AM]  Nhặt +3496 beri
[12:04:24 AM]  Nhặt +95 beri
[12:04:41 AM]  Nhặt +437 beri
[12:06:08 AM]  Nhặt +1767 beri
[12:08:45 AM]  Logout : [Beri] 2.000.087.372 [Ruby] 38.440
[12:09:07 AM]  Login : [Beri] 2.000.087.372 [Ruby] 38.440
[12:09:17 AM]  Nhặt +1007 beri
[12:09:48 AM]  Nhặt +380 beri
[12:10:59 AM]  Logout : [Beri] 2.000.088.759 [Ruby] 38.440
[12:11:05 AM]  Login : [Beri] 2.000.088.759 [Ruby] 38.440
[12:11:06 AM]  Logout : [Beri] 2.000.088.759 [Ruby] 38.440
[12:11:19 AM]  Login : [Beri] 2.000.088.759 [Ruby] 38.440
[12:11:19 AM]  Logout : [Beri] 2.000.088.759 [Ruby] 38.440
[12:12:09 AM]  Login : [Beri] 2.000.088.759 [Ruby] 38.440
[12:12:38 AM]  Nhặt +3781 beri
[12:13:31 AM]  Nhặt +3420 beri
[12:15:09 AM]  Nhặt +3401 beri
[12:15:28 AM]  Nhặt +3040 beri
[12:15:50 AM]  Nhặt +2394 beri
[12:19:50 AM]  Nhặt +437 beri
[12:20:01 AM]  Nhặt +893 beri
[12:20:24 AM]  Nhặt +418 beri
[12:23:59 AM]  Nhặt +1159 beri
[12:24:52 AM]  Nhặt +2736 beri
[12:25:36 AM]  Logout : [Beri] 2.000.110.438 [Ruby] 38.440
[12:32:05 AM]  Login : [Beri] 2.000.110.438 [Ruby] 38.440
[12:32:09 AM]  Nhặt +1482 beri
[12:39:56 AM]  Nhặt +2299 beri
[12:40:49 AM]  Nhặt +2128 beri
[12:40:56 AM]  Nhặt +1140 beri
[12:41:17 AM]  Nhặt +3553 beri
[12:41:45 AM]  Nhặt +2546 beri
[12:44:28 AM]  Nhặt +1026 beri
[12:45:31 AM]  Nhặt +2185 beri
[12:46:29 AM]  Nhặt +741 beri
[12:47:03 AM]  Nhặt +2299 beri
[12:47:41 AM]  Nhặt +2318 beri
[12:49:03 AM]  Nhặt +285 beri
[12:49:46 AM]  Nhặt +855 beri
[12:50:05 AM]  Nhặt +3629 beri
[12:50:44 AM]  Nhặt +1178 beri
[12:51:18 AM]  Nhặt +2565 beri
[12:52:41 AM]  Nhặt +1976 beri
[12:53:55 AM]  Nhặt +798 beri
[12:53:58 AM]  Nhặt +3287 beri
[12:54:45 AM]  Nhặt +3021 beri
[12:56:01 AM]  Nhặt +3192 beri
[12:56:19 AM]  Nhặt +2760 beri
[12:59:44 AM]  Nhặt +4128 beri
[01:00:18 AM]  Nhặt +4584 beri
[01:02:04 AM]  Nhặt +4368 beri
[01:02:44 AM]  Nhặt +696 beri
[01:03:11 AM]  Nhặt +768 beri
[01:05:36 AM]  Nhặt +1968 beri
[01:06:40 AM]  Logout : [Beri] 2.000.172.213 [Ruby] 38.440
[01:06:54 AM]  Login : [Beri] 2.000.172.213 [Ruby] 38.440
[01:06:57 AM]  Nhặt +3264 beri
[01:08:57 AM]  Logout : [Beri] 2.000.175.477 [Ruby] 38.440
[01:09:04 AM]  Login : [Beri] 2.000.175.477 [Ruby] 38.440
[01:09:13 AM]  Nhặt +3425 beri
[01:10:26 AM]  Nhặt +3692 beri
[01:11:06 AM]  Nhặt +4500 beri
[01:11:18 AM]  Nhặt +4925 beri
[01:11:34 AM]  Nhặt +575 beri
[01:12:07 AM]  Nhặt +4700 beri
[01:12:55 AM]  Nhặt +4250 beri
[01:14:41 AM]  Nhặt +1300 beri
[01:15:54 AM]  Nhặt +3624 beri
[01:19:22 AM]  Mua Bột cường hóa -20 ruby
[01:19:22 AM]  Mua Bột cường hóa -20 ruby
[01:19:22 AM]  Mua Bột cường hóa -20 ruby
[01:19:23 AM]  Mua Bột cường hóa -20 ruby
[01:19:23 AM]  Mua Bột cường hóa -20 ruby
[01:19:23 AM]  Mua Bột cường hóa -20 ruby
[01:19:23 AM]  Mua Bột cường hóa -20 ruby
[01:19:23 AM]  Mua Bột cường hóa -20 ruby
[01:19:23 AM]  Mua Bột cường hóa -20 ruby
[01:19:23 AM]  Mua Bột cường hóa -20 ruby
[01:19:24 AM]  Mua Bột cường hóa -20 ruby
[01:19:24 AM]  Mua Bột cường hóa -20 ruby
[01:19:24 AM]  Mua Bột cường hóa -20 ruby
[01:19:24 AM]  Mua Bột cường hóa -20 ruby
[01:19:24 AM]  Mua Bột cường hóa -20 ruby
[01:19:24 AM]  Mua Bột cường hóa -20 ruby
[01:19:28 AM]  Mua Bột cường hóa -20 ruby
[01:19:28 AM]  Mua Bột cường hóa -20 ruby
[01:19:28 AM]  Mua Bột cường hóa -20 ruby
[01:19:28 AM]  Mua Bột cường hóa -20 ruby
[01:19:29 AM]  Mua Bột cường hóa -20 ruby
[01:19:29 AM]  Mua Bột cường hóa -20 ruby
[01:19:29 AM]  Mua Bột cường hóa -20 ruby
[01:19:29 AM]  Mua Bột cường hóa -20 ruby
[01:19:29 AM]  Mua Bột cường hóa -20 ruby
[01:19:29 AM]  Mua Bột cường hóa -20 ruby
[01:19:29 AM]  Mua Bột cường hóa -20 ruby
[01:19:30 AM]  Mua Bột cường hóa -20 ruby
[01:19:30 AM]  Mua Bột cường hóa -20 ruby
[01:19:30 AM]  Mua Bột cường hóa -20 ruby
[01:19:30 AM]  Mua Bột cường hóa -20 ruby
[01:19:30 AM]  Mua Bột cường hóa -20 ruby
[01:19:30 AM]  Mua Bột cường hóa -20 ruby
[01:19:30 AM]  Mua Bột cường hóa -20 ruby
[01:19:31 AM]  Mua Bột cường hóa -20 ruby
[01:19:31 AM]  Mua Bột cường hóa -20 ruby
[01:19:31 AM]  Mua Bột cường hóa -20 ruby
[01:19:34 AM]  Mua Bột cường hóa -20 ruby
[01:19:34 AM]  Mua Bột cường hóa -20 ruby
[01:19:34 AM]  Mua Bột cường hóa -20 ruby
[01:19:34 AM]  Mua Bột cường hóa -20 ruby
[01:19:34 AM]  Mua Bột cường hóa -20 ruby
[01:19:34 AM]  Mua Bột cường hóa -20 ruby
[01:19:34 AM]  Mua Bột cường hóa -20 ruby
[01:19:35 AM]  Mua Bột cường hóa -20 ruby
[01:19:35 AM]  Mua Bột cường hóa -20 ruby
[01:19:35 AM]  Mua Bột cường hóa -20 ruby
[01:19:35 AM]  Mua Bột cường hóa -20 ruby
[01:19:39 AM]  Mua Bột cường hóa -20 ruby
[01:19:39 AM]  Mua Bột cường hóa -20 ruby
[01:19:41 AM]  Mua Bột vàng -40 ruby
[01:19:41 AM]  Mua Bột vàng -40 ruby
[01:19:41 AM]  Mua Bột vàng -40 ruby
[01:19:41 AM]  Mua Bột vàng -40 ruby
[01:19:41 AM]  Mua Bột vàng -40 ruby
[01:19:41 AM]  Mua Bột vàng -40 ruby
[01:19:41 AM]  Mua Bột vàng -40 ruby
[01:19:42 AM]  Mua Bột vàng -40 ruby
[01:19:42 AM]  Mua Bột vàng -40 ruby
[01:19:42 AM]  Mua Bột vàng -40 ruby
[01:19:42 AM]  Mua Bột vàng -40 ruby
[01:19:48 AM]  Mua Bột vàng -10 ruby
[01:19:48 AM]  Mua Bột vàng -10 ruby
[01:19:48 AM]  Mua Bột vàng -40 ruby
[01:19:49 AM]  Mua Bột vàng -40 ruby
[01:19:53 AM]  Mua Ngôi sao may mắn -100 ruby
[01:19:54 AM]  Mua Ngôi sao may mắn -100 ruby
[01:19:56 AM]  Mua Mai rùa -140 ruby
[01:19:57 AM]  Mua Mai rùa -140 ruby
[01:19:57 AM]  Mua Mai rùa -140 ruby
[01:19:59 AM]  Mua Ngôi sao may mắn -100 ruby
[01:20:11 AM]  Cường hóa item Nhẫn 1 Lv20 -3000 beri
[01:20:11 AM]  Cường hóa item Nhẫn 1 Lv20 -3000 beri
[01:20:13 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:13 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:15 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:16 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:17 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:18 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:18 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:20 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:20 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:22 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:22 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:23 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:23 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:25 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:25 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:27 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:27 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:28 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:28 AM]  Cường hóa item Nhẫn 1 Lv20 -4000 beri
[01:20:34 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:34 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:35 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:36 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:37 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:38 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:39 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:40 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:41 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:42 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:43 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:43 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:45 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:20:46 AM]  Cường hóa item Nhẫn 1 Lv20 -6000 beri
[01:21:11 AM]  Cường hóa item Quần võ sĩ đạo 2 -3000 beri
