[02:25:07 AM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[02:26:40 AM]  Mua Xp Chiêu thức -1500 ruby
[02:26:42 AM]  Mua Kinh nghiệm X2 -15 ruby
[02:26:44 AM]  Mua Quả Conache -0 beri
[02:26:45 AM]  Mua Quả Conache -0 beri
[02:26:45 AM]  Mua Quả Conache -0 beri
[02:26:45 AM]  Mua Quả Conache -0 beri
[02:26:45 AM]  Mua Quả Conache -0 beri
[02:26:46 AM]  Mua Quả Conache -0 beri
[02:26:46 AM]  Mua Quả Conache -0 beri
[02:26:46 AM]  Mua Quả Conache -0 beri
[02:26:46 AM]  Mua Quả Conache -0 beri
[02:26:46 AM]  Mua Quả Conache -0 beri
[02:26:46 AM]  Mua Quả Conache -0 beri
[02:26:47 AM]  Mua Quả Conache -0 beri
[02:26:47 AM]  Mua Quả Conache -0 beri
[02:26:47 AM]  Mua Quả Conache -0 beri
[02:26:47 AM]  Mua Quả Conache -0 beri
[02:26:47 AM]  Mua Quả Conache -0 beri
[02:26:47 AM]  Mua Quả Conache -0 beri
[02:26:48 AM]  Mua Quả Conache -0 beri
[02:26:48 AM]  Mua Quả Conache -0 beri
[02:26:48 AM]  Mua Quả Conache -0 beri
[02:26:48 AM]  Mua Quả Conache -0 beri
[02:26:48 AM]  Mua Quả Conache -0 beri
[02:26:48 AM]  Mua Quả Conache -0 beri
[02:26:49 AM]  Mua Quả Conache -0 beri
[02:26:49 AM]  Mua Quả Conache -0 beri
[02:26:49 AM]  Mua Quả Conache -0 beri
[02:26:49 AM]  Mua Quả Conache -0 beri
[02:26:49 AM]  Mua Quả Conache -0 beri
[02:26:50 AM]  Mua Quả Conache -0 beri
[02:26:50 AM]  Mua Quả Conache -0 beri
[02:26:50 AM]  Mua Quả Conache -0 beri
[02:26:50 AM]  Mua Quả Conache -0 beri
[02:26:50 AM]  Mua Quả Conache -0 beri
[02:26:50 AM]  Mua Quả Conache -0 beri
[02:26:51 AM]  Mua Quả Conache -0 beri
[02:26:51 AM]  Mua Quả Conache -0 beri
[02:26:51 AM]  Mua Quả Conache -0 beri
[02:26:51 AM]  Mua Quả Conache -0 beri
[02:26:51 AM]  Mua Quả Conache -0 beri
[02:26:52 AM]  Mua Quả Conache -0 beri
[02:26:52 AM]  Mua Quả Conache -0 beri
[02:26:52 AM]  Mua Quả Conache -0 beri
[02:26:53 AM]  Mua Quả Conache -0 beri
[02:26:53 AM]  Mua Quả Conache -0 beri
[02:26:53 AM]  Mua Quả Conache -0 beri
[02:26:53 AM]  Mua Quả Conache -0 beri
[02:26:53 AM]  Mua Quả Conache -0 beri
[02:26:53 AM]  Mua Quả Conache -0 beri
[02:26:53 AM]  Mua Quả Conache -0 beri
[02:26:54 AM]  Mua Quả Conache -0 beri
[02:26:54 AM]  Mua Quả Conache -0 beri
[02:26:54 AM]  Mua Quả Conache -0 beri
[02:26:54 AM]  Mua Quả Conache -0 beri
[02:26:54 AM]  Mua Quả Conache -0 beri
[02:26:54 AM]  Mua Quả Conache -0 beri
[02:26:55 AM]  Mua Quả Conache -0 beri
[02:26:55 AM]  Mua Quả Conache -0 beri
[02:26:55 AM]  Mua Quả Conache -0 beri
[02:26:59 AM]  Mua Súp baratie -1600 beri
[02:27:00 AM]  Mua Súp baratie -1600 beri
[02:27:00 AM]  Mua Súp baratie -1600 beri
[02:27:00 AM]  Mua Súp baratie -1600 beri
[02:27:00 AM]  Mua Súp baratie -1600 beri
[02:27:00 AM]  Mua Súp baratie -1600 beri
[02:27:00 AM]  Mua Súp baratie -1600 beri
[02:27:01 AM]  Mua Súp baratie -1600 beri
[02:27:01 AM]  Mua Súp baratie -1600 beri
[02:27:01 AM]  Mua Súp baratie -1600 beri
[02:27:01 AM]  Mua Súp baratie -1600 beri
[02:27:01 AM]  Mua Súp baratie -1600 beri
[02:27:01 AM]  Mua Súp baratie -1600 beri
[02:27:02 AM]  Mua Súp baratie -1600 beri
[02:27:02 AM]  Mua Súp baratie -1600 beri
[02:27:02 AM]  Mua Súp baratie -1600 beri
[02:27:02 AM]  Mua Súp baratie -1600 beri
[02:27:02 AM]  Mua Súp baratie -1600 beri
[02:27:03 AM]  Mua Súp baratie -1600 beri
[02:27:03 AM]  Mua Súp baratie -1600 beri
[02:27:03 AM]  Mua Súp baratie -1600 beri
[02:27:03 AM]  Mua Súp baratie -1600 beri
[02:27:03 AM]  Mua Súp baratie -1600 beri
[02:27:04 AM]  Mua Súp baratie -1600 beri
[02:27:04 AM]  Mua Súp baratie -1600 beri
[02:27:04 AM]  Mua Súp baratie -1600 beri
[02:27:04 AM]  Mua Súp baratie -1600 beri
[02:27:04 AM]  Mua Súp baratie -1600 beri
[02:27:04 AM]  Mua Súp baratie -1600 beri
[02:27:05 AM]  Mua Súp baratie -1600 beri
[02:27:19 AM]  Mua Vé tẩy tiềm năng -0 beri
[02:28:06 AM]  Mua thiện xạ -500 ruby
[02:28:37 AM]  Mua 60 vé vòng quay -900 ruby
[02:31:28 AM]  Nhặt +152 beri
[02:31:35 AM]  Nhặt +1536 beri
[02:31:58 AM]  Nhặt +736 beri
[02:32:19 AM]  Nhặt +40 beri
[02:32:50 AM]  Nhặt +592 beri
[02:32:58 AM]  Nhặt +808 beri
[02:33:11 AM]  Nhặt +800 beri
[02:33:13 AM]  Nhặt +567 beri
[02:33:46 AM]  Nhặt +1701 beri
[02:34:25 AM]  Nhặt +162 beri
[02:35:25 AM]  Nhặt +1287 beri
[02:35:48 AM]  Nhặt +190 beri
[02:36:05 AM]  Nhặt +1900 beri
[02:36:23 AM]  Nhặt +270 beri
[02:36:24 AM]  Nhặt +1220 beri
[02:37:17 AM]  Nhặt +675 beri
[02:38:59 AM]  Nhặt +1098 beri
[02:39:28 AM]  Nhặt +423 beri
[02:39:55 AM]  Nhặt +180 beri
[02:41:11 AM]  Nhặt +290 beri
[02:42:05 AM]  Nhặt +18 beri
[02:42:44 AM]  Nhặt +918 beri
[02:43:09 AM]  Nhặt +1710 beri
[02:43:53 AM]  Nhặt +63 beri
[02:44:43 AM]  Nhặt +1701 beri
[02:44:50 AM]  Nhặt +9 beri
[02:45:41 AM]  Mua 60 vé vòng quay -900 ruby
[02:47:02 AM]  Mua 30 vé vòng quay -450 ruby
[02:47:49 AM]  Mua 30 vé vòng quay -450 ruby
[02:49:12 AM]  Nhặt +1955 beri
[02:49:13 AM]  Nhặt +1206 beri
[02:49:37 AM]  Nhặt +3094 beri
[02:49:38 AM]  Nhặt +1908 beri
[02:49:47 AM]  Nhặt +1717 beri
[02:49:49 AM]  Nhặt +3094 beri
[02:49:58 AM]  Nhặt +1309 beri
[02:50:03 AM]  Nhặt +1638 beri
[02:50:52 AM]  Nhặt +1224 beri
[02:51:52 AM]  Logout : [Beri] 24.677.402 [Ruby] 67
