[07:03:47 AM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[07:04:03 AM]  Nhặt +76 beri
[07:04:20 AM]  Mua Xp Chiêu thức -300 ruby
[07:04:22 AM]  Mua Xp Chiêu thức -300 ruby
[07:04:34 AM]  Nhặt +45 beri
[07:04:35 AM]  Nhặt +60 beri
[07:05:28 AM]  Nhặt +552 beri
[07:06:08 AM]  Mua minh vương -5000 ruby
[07:06:23 AM]  Mua Tóc khỉ con -500 ruby
[07:06:40 AM]  Mua Pell -500 ruby
[07:06:53 AM]  Mua Súp baratie -1600 beri
[07:06:54 AM]  Mua Súp baratie -1600 beri
[07:06:54 AM]  Mua Súp baratie -1600 beri
[07:06:54 AM]  Mua Súp baratie -1600 beri
[07:06:54 AM]  Mua Súp baratie -1600 beri
[07:06:55 AM]  Mua Súp baratie -1600 beri
[07:06:55 AM]  Mua Súp baratie -1600 beri
[07:06:56 AM]  Mua Súp baratie -1600 beri
[07:06:59 AM]  Mua Súp baratie -1600 beri
[07:06:59 AM]  Mua Súp baratie -1600 beri
[07:06:59 AM]  Mua Súp baratie -1600 beri
[07:07:00 AM]  Mua Súp baratie -1600 beri
[07:07:00 AM]  Mua Súp baratie -1600 beri
[07:07:00 AM]  Mua Súp baratie -1600 beri
[07:07:00 AM]  Mua Súp baratie -1600 beri
[07:07:00 AM]  Mua Súp baratie -1600 beri
[07:07:00 AM]  Mua Súp baratie -1600 beri
[07:07:01 AM]  Mua Súp baratie -1600 beri
[07:07:01 AM]  Mua Súp baratie -1600 beri
[07:07:01 AM]  Mua Súp baratie -1600 beri
[07:07:01 AM]  Mua Súp baratie -1600 beri
[07:07:01 AM]  Mua Súp baratie -1600 beri
[07:07:02 AM]  Mua Súp baratie -1600 beri
[07:07:02 AM]  Mua Súp baratie -1600 beri
[07:07:02 AM]  Mua Súp baratie -1600 beri
[07:07:02 AM]  Mua Súp baratie -1600 beri
[07:07:02 AM]  Mua Súp baratie -1600 beri
[07:07:02 AM]  Mua Súp baratie -1600 beri
[07:07:03 AM]  Mua Súp baratie -1600 beri
[07:07:03 AM]  Mua Súp baratie -1600 beri
[07:07:03 AM]  Mua Súp baratie -1600 beri
[07:07:03 AM]  Mua Súp baratie -1600 beri
[07:07:03 AM]  Mua Súp baratie -1600 beri
[07:07:03 AM]  Mua Súp baratie -1600 beri
[07:07:04 AM]  Mua Súp baratie -1600 beri
[07:07:04 AM]  Mua Súp baratie -1600 beri
[07:07:04 AM]  Mua Súp baratie -1600 beri
[07:07:04 AM]  Mua Súp baratie -1600 beri
[07:07:07 AM]  Mua Quả Conache -0 beri
[07:07:08 AM]  Mua Quả Conache -0 beri
[07:07:08 AM]  Mua Quả Conache -0 beri
[07:07:08 AM]  Mua Quả Conache -0 beri
[07:07:08 AM]  Mua Quả Conache -0 beri
[07:07:08 AM]  Mua Quả Conache -0 beri
[07:07:09 AM]  Mua Quả Conache -0 beri
[07:07:09 AM]  Mua Quả Conache -0 beri
[07:07:09 AM]  Mua Quả Conache -0 beri
[07:07:09 AM]  Mua Quả Conache -0 beri
[07:07:09 AM]  Mua Quả Conache -0 beri
[07:07:10 AM]  Mua Quả Conache -0 beri
[07:07:10 AM]  Mua Quả Conache -0 beri
[07:07:10 AM]  Mua Quả Conache -0 beri
[07:07:10 AM]  Mua Quả Conache -0 beri
[07:07:10 AM]  Mua Quả Conache -0 beri
[07:07:10 AM]  Mua Quả Conache -0 beri
[07:07:10 AM]  Mua Quả Conache -0 beri
[07:07:11 AM]  Mua Quả Conache -0 beri
[07:07:11 AM]  Mua Quả Conache -0 beri
[07:07:11 AM]  Mua Quả Conache -0 beri
[07:07:11 AM]  Mua Quả Conache -0 beri
[07:07:11 AM]  Mua Quả Conache -0 beri
[07:07:12 AM]  Mua Quả Conache -0 beri
[07:07:12 AM]  Mua Quả Conache -0 beri
[07:07:12 AM]  Mua Quả Conache -0 beri
[07:07:32 AM]  Mua 999 vé vòng quay -14985 ruby
[07:09:00 AM]  Logout : [Beri] 101.870.581 [Ruby] 32.400
[07:09:10 AM]  Login : [Beri] 101.870.581 [Ruby] 32.400
[07:11:08 AM]  Nhặt +768 beri
[07:11:32 AM]  Nhặt +328 beri
[07:11:37 AM]  Nhặt +920 beri
[07:12:19 AM]  Nhặt +888 beri
[07:12:25 AM]  Nhặt +8 beri
[07:12:29 AM]  Nhặt +1096 beri
[07:13:39 AM]  Nhặt +80 beri
[07:14:16 AM]  Nhặt +1024 beri
[07:14:23 AM]  Nhặt +456 beri
[07:14:26 AM]  Logout : [Beri] 101.876.149 [Ruby] 32.400
[07:29:47 AM]  Login : [Beri] 101.876.149 [Ruby] 32.400
[07:30:24 AM]  Nhặt +96 beri
[07:30:32 AM]  Nhặt +1128 beri
[07:30:48 AM]  Nhặt +888 beri
[07:30:54 AM]  Nhặt +1336 beri
[07:31:02 AM]  Nhặt +808 beri
[07:31:22 AM]  Nhặt +1104 beri
[07:31:29 AM]  Nhặt +1040 beri
[07:31:38 AM]  Nhặt +264 beri
[07:33:05 AM]  Logout : [Beri] 101.882.813 [Ruby] 32.400
