[08:32:47 AM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[08:34:46 AM]  Mua Pell -500 ruby
[08:36:03 AM]  Mua 1000 vé vòng quay -15000 ruby
[08:37:59 AM]  Mua Kinh nghiệm X2 -60 ruby
[08:38:00 AM]  Mua Xp Chiêu thức -6000 ruby
[08:38:03 AM]  Mua Quả Conache -0 beri
[08:38:03 AM]  Mua Quả Conache -0 beri
[08:38:03 AM]  Mua Quả Conache -0 beri
[08:38:03 AM]  Mua Quả Conache -0 beri
[08:38:03 AM]  Mua Quả Conache -0 beri
[08:38:03 AM]  Mua Quả Conache -0 beri
[08:38:04 AM]  Mua Quả Conache -0 beri
[08:38:04 AM]  Mua Quả Conache -0 beri
[08:38:04 AM]  Mua Quả Conache -0 beri
[08:38:05 AM]  Mua Quả Conache -0 beri
[08:38:05 AM]  Mua Quả Conache -0 beri
[08:38:06 AM]  Mua Quả Conache -0 beri
[08:38:06 AM]  Mua Quả Conache -0 beri
[08:38:06 AM]  Mua Quả Conache -0 beri
[08:38:06 AM]  Mua Quả Conache -0 beri
[08:38:06 AM]  Mua Quả Conache -0 beri
[08:38:07 AM]  Mua Quả Conache -0 beri
[08:38:07 AM]  Mua Quả Conache -0 beri
[08:38:07 AM]  Mua Quả Conache -0 beri
[08:38:07 AM]  Mua Quả Conache -0 beri
[08:38:07 AM]  Mua Quả Conache -0 beri
[08:38:08 AM]  Mua Quả Conache -0 beri
[08:38:08 AM]  Mua Quả Conache -0 beri
[08:38:08 AM]  Mua Quả Conache -0 beri
[08:38:08 AM]  Mua Quả Conache -0 beri
[08:38:08 AM]  Mua Quả Conache -0 beri
[08:38:09 AM]  Mua Quả Conache -0 beri
[08:38:09 AM]  Mua Quả Conache -0 beri
[08:38:09 AM]  Mua Quả Conache -0 beri
[08:38:09 AM]  Mua Quả Conache -0 beri
[08:38:09 AM]  Mua Quả Conache -0 beri
[08:38:10 AM]  Mua Quả Conache -0 beri
[08:38:10 AM]  Mua Quả Conache -0 beri
[08:38:10 AM]  Mua Quả Conache -0 beri
[08:38:11 AM]  Mua Quả Conache -0 beri
[08:38:11 AM]  Mua Quả Conache -0 beri
[08:38:11 AM]  Mua Quả Conache -0 beri
[08:38:11 AM]  Mua Quả Conache -0 beri
[08:38:11 AM]  Mua Quả Conache -0 beri
[08:38:12 AM]  Mua Quả Conache -0 beri
[08:38:12 AM]  Mua Quả Conache -0 beri
[08:38:12 AM]  Mua Quả Conache -0 beri
[08:38:12 AM]  Mua Quả Conache -0 beri
[08:38:12 AM]  Mua Quả Conache -0 beri
[08:38:12 AM]  Mua Quả Conache -0 beri
[08:38:13 AM]  Mua Quả Conache -0 beri
[08:38:13 AM]  Mua Quả Conache -0 beri
[08:38:13 AM]  Mua Quả Conache -0 beri
[08:38:13 AM]  Mua Quả Conache -0 beri
[08:38:13 AM]  Mua Quả Conache -0 beri
[08:38:14 AM]  Mua Quả Conache -0 beri
[08:38:14 AM]  Mua Quả Conache -0 beri
[08:38:14 AM]  Mua Quả Conache -0 beri
[08:38:17 AM]  Mua Súp baratie -1600 beri
[08:38:17 AM]  Mua Súp baratie -1600 beri
[08:38:18 AM]  Mua Súp baratie -1600 beri
[08:38:18 AM]  Mua Súp baratie -1600 beri
[08:38:18 AM]  Mua Súp baratie -1600 beri
[08:38:19 AM]  Mua Súp baratie -1600 beri
[08:38:19 AM]  Mua Súp baratie -1600 beri
[08:38:19 AM]  Mua Súp baratie -1600 beri
[08:38:19 AM]  Mua Súp baratie -1600 beri
[08:38:20 AM]  Mua Súp baratie -1600 beri
[08:38:20 AM]  Mua Súp baratie -1600 beri
[08:38:20 AM]  Mua Súp baratie -1600 beri
[08:38:20 AM]  Mua Súp baratie -1600 beri
[08:38:20 AM]  Mua Súp baratie -1600 beri
[08:38:20 AM]  Mua Súp baratie -1600 beri
[08:38:21 AM]  Mua Súp baratie -1600 beri
[08:38:21 AM]  Mua Súp baratie -1600 beri
[08:38:21 AM]  Mua Súp baratie -1600 beri
[08:38:21 AM]  Mua Súp baratie -1600 beri
[08:38:22 AM]  Mua Súp baratie -1600 beri
[08:38:22 AM]  Mua Súp baratie -1600 beri
[08:38:22 AM]  Mua Súp baratie -1600 beri
[08:38:53 AM]  Nhặt +111 beri
[08:39:07 AM]  Nhặt +46 beri
[08:39:18 AM]  Nhặt +5 beri
[08:39:38 AM]  Nhặt +148 beri
[08:39:41 AM]  Nhặt +176 beri
[08:39:55 AM]  Nhặt +3 beri
[08:40:02 AM]  Nhặt +70 beri
[08:40:04 AM]  Nhặt +43 beri
[08:40:27 AM]  Nhặt +192 beri
[08:40:33 AM]  Nhặt +6 beri
[08:40:48 AM]  Nhặt +72 beri
[08:43:15 AM]  Nhặt +165 beri
[08:43:40 AM]  Nhặt +60 beri
[08:44:01 AM]  Nhặt +132 beri
[08:44:03 AM]  Nhặt +169 beri
[08:45:40 AM]  Nhặt +300 beri
[08:46:01 AM]  Nhặt +312 beri
[08:46:11 AM]  Nhặt +432 beri
[08:46:14 AM]  Nhặt +270 beri
[08:46:38 AM]  Nhặt +225 beri
[08:46:43 AM]  Logout : [Beri] 102.072.349 [Ruby] 32.467
