[02:01:05 AM]  Login : [Beri] 1.709.202.896 [Ruby] 1.498.260.276
[02:03:08 AM]  Nhặt +19107 beri
[02:09:41 AM]  Nhặt +9108 beri
[02:11:05 AM]  Logout : [Beri] 1.709.231.111 [Ruby] 1.498.260.276
[02:44:41 AM]  Login : [Beri] 1.709.231.111 [Ruby] 1.498.260.276
[02:44:46 AM]  Logout : [Beri] 1.709.231.111 [Ruby] 1.498.260.276
[02:45:47 AM]  Login : [Beri] 1.709.231.111 [Ruby] 1.498.260.276
[02:46:40 AM]  Logout : [Beri] 1.709.231.111 [Ruby] 1.498.260.276
[02:47:32 AM]  Login : [Beri] 1.709.231.111 [Ruby] 1.498.260.276
[02:47:38 AM]  Logout : [Beri] 1.709.231.111 [Ruby] 1.498.260.276
[02:47:49 AM]  Login : [Beri] 1.709.231.111 [Ruby] 1.498.260.276
[02:51:43 AM]  Nhặt +18170 beri
[03:34:21 AM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[03:34:55 AM]  Mua 100 vé vòng quay -1500 ruby
[03:36:37 AM]  Logout : [Beri] 17.328.694 [Ruby] 47.000
[03:36:40 AM]  Login : [Beri] 17.328.694 [Ruby] 47.000
[03:39:09 AM]  Nhặt +116 beri
[03:39:43 AM]  Nhặt +680 beri
[04:10:31 AM]  Login : [Beri] 17.329.490 [Ruby] 47.000
[04:11:18 AM]  Nhặt +672 beri
[04:11:51 AM]  Nhặt +284 beri
[04:12:11 AM]  Nhặt +728 beri
[04:13:19 AM]  Nhặt +268 beri
[04:13:50 AM]  Nhặt +140 beri
[04:15:51 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:51 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:51 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:51 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[04:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
