[01:21:50 AM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[01:22:10 AM]  Mua Sữa -400 beri
[01:22:10 AM]  Mua Sữa -400 beri
[01:22:10 AM]  Mua Sữa -400 beri
[01:22:11 AM]  Mua Sữa -400 beri
[01:22:11 AM]  Mua Sữa -400 beri
[01:22:11 AM]  Mua Sữa -400 beri
[01:22:12 AM]  Mua Sữa -400 beri
[01:22:12 AM]  Mua Sữa -400 beri
[01:22:12 AM]  Mua Sữa -400 beri
[01:22:12 AM]  Mua Sữa -400 beri
[01:22:12 AM]  Mua Sữa -400 beri
[01:22:12 AM]  Mua Sữa -400 beri
[01:22:12 AM]  Mua Sữa -400 beri
[01:22:13 AM]  Mua Sữa -400 beri
[01:22:13 AM]  Mua Sữa -400 beri
[01:22:13 AM]  Mua Sữa -400 beri
[01:22:13 AM]  Mua Sữa -400 beri
[01:22:13 AM]  Mua Sữa -400 beri
[01:22:13 AM]  Mua Sữa -400 beri
[01:22:13 AM]  Mua Sữa -400 beri
[01:22:14 AM]  Mua Sữa -400 beri
[01:22:14 AM]  Mua Sữa -400 beri
[01:22:14 AM]  Mua Sữa -400 beri
[01:22:14 AM]  Mua Sữa -400 beri
[01:22:14 AM]  Mua Sữa -400 beri
[01:22:14 AM]  Mua Sữa -400 beri
[01:22:14 AM]  Mua Sữa -400 beri
[01:22:15 AM]  Mua Sữa -400 beri
[01:22:15 AM]  Mua Sữa -400 beri
[01:22:15 AM]  Mua Sữa -400 beri
[01:22:15 AM]  Mua Sữa -400 beri
[01:22:15 AM]  Mua Sữa -400 beri
[01:22:16 AM]  Mua Sữa -400 beri
[01:22:16 AM]  Mua Sữa -400 beri
[01:22:16 AM]  Mua Sữa -400 beri
[01:22:16 AM]  Mua Sữa -400 beri
[01:22:16 AM]  Mua Sữa -400 beri
[01:22:16 AM]  Mua Sữa -400 beri
[01:22:17 AM]  Mua Sữa -400 beri
[01:22:17 AM]  Mua Sữa -400 beri
[01:22:17 AM]  Mua Sữa -400 beri
[01:22:17 AM]  Mua Sữa -400 beri
[01:22:20 AM]  Mua Xp Chiêu thức -6000 ruby
[01:22:23 AM]  Mua Kinh nghiệm X2 -60 ruby
[01:22:38 AM]  Nhặt +344 beri
[01:22:41 AM]  Nhặt +154 beri
[01:22:49 AM]  Nhặt +135 beri
[01:23:04 AM]  Nhặt +156 beri
[01:23:52 AM]  Nhặt +374 beri
[01:23:56 AM]  Nhặt +42 beri
[01:24:48 AM]  Mua 200 vé vòng quay -3000 ruby
[01:25:27 AM]  Logout : [Beri] 29.206.751 [Ruby] 32.940
