[03:29:53 AM]  Logout : [Beri] 10.970.823 [Ruby] 39.000
[03:38:48 AM]  Login : [Beri] 10.970.823 [Ruby] 39.000
[03:40:05 AM]  Nhặt +32 beri
[03:40:21 AM]  Nhặt +576 beri
[03:40:40 AM]  Nhặt +576 beri
[03:40:50 AM]  Nhặt +1392 beri
[03:41:24 AM]  Nhặt +928 beri
[03:43:00 AM]  Nhặt +1296 beri
[03:43:01 AM]  Nhặt +736 beri
[03:43:16 AM]  Nhặt +544 beri
[03:43:37 AM]  Nhặt +320 beri
[03:43:40 AM]  Nhặt +976 beri
[03:45:52 AM]  Nhặt +776 beri
[03:46:06 AM]  Nhặt +1120 beri
[03:46:13 AM]  Nhặt +272 beri
[03:47:18 AM]  Nhặt +568 beri
[03:48:36 AM]  Mua Cola -800 beri
[03:48:36 AM]  Mua Cola -800 beri
[03:48:37 AM]  Mua Cola -800 beri
[03:48:37 AM]  Mua Cola -800 beri
[03:48:37 AM]  Mua Cola -800 beri
[03:48:38 AM]  Mua Cola -800 beri
[03:48:38 AM]  Mua Cola -800 beri
[03:48:38 AM]  Mua Cola -800 beri
[03:48:39 AM]  Mua Cola -800 beri
[03:48:39 AM]  Mua Cola -800 beri
[03:48:39 AM]  Mua Cola -800 beri
[03:48:40 AM]  Mua Cola -800 beri
[03:48:40 AM]  Mua Cola -800 beri
[03:48:40 AM]  Mua Cola -800 beri
[03:48:41 AM]  Mua Cola -800 beri
[03:48:41 AM]  Mua Cola -800 beri
[03:48:41 AM]  Mua Cola -800 beri
[03:48:42 AM]  Mua Cola -800 beri
[03:48:42 AM]  Mua Cola -800 beri
[03:48:42 AM]  Mua Cola -800 beri
[03:48:43 AM]  Mua Cola -800 beri
[03:48:43 AM]  Mua Cola -800 beri
[03:48:44 AM]  Mua Cola -800 beri
[03:48:44 AM]  Mua Cola -800 beri
[03:49:42 AM]  Nhặt +1359 beri
[04:18:41 AM]  Nhặt +440 beri
[04:19:50 AM]  Nhặt +410 beri
[04:20:26 AM]  Nhặt +780 beri
[04:20:50 AM]  Nhặt +1791 beri
[04:21:13 AM]  Logout : [Beri] 10.966.515 [Ruby] 39.000
[06:42:15 AM]  Login : [Beri] 10.966.515 [Ruby] 39.000
[06:42:23 AM]  Nhặt +1780 beri
[06:54:06 AM]  Logout : [Beri] 10.968.295 [Ruby] 39.000
