[11:27:47 PM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[11:28:00 PM]  Nhặt +2 beri
[11:28:05 PM]  Nhặt +63 beri
[11:28:11 PM]  Nhặt +72 beri
[11:28:31 PM]  Nhặt +194 beri
[11:28:43 PM]  Nhặt +154 beri
[11:28:47 PM]  Nhặt +156 beri
[11:28:57 PM]  Nhặt +28 beri
[11:30:23 PM]  Mua Vệ thần 4 -500 ruby
[11:30:43 PM]  Mua Tóc lưỡi liềm -500 ruby
[11:32:13 PM]  Nhặt +760 beri
[11:32:52 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:32:54 PM]  Mua Xp Chiêu thức -6000 ruby
[11:33:38 PM]  Mua 1000 vé vòng quay -15000 ruby
[11:36:52 PM]  Mua Gà nướng -1000 beri
[11:36:52 PM]  Mua Gà nướng -1000 beri
[11:36:52 PM]  Mua Gà nướng -1000 beri
[11:36:52 PM]  Mua Gà nướng -1000 beri
[11:36:52 PM]  Mua Gà nướng -1000 beri
[11:36:52 PM]  Mua Gà nướng -1000 beri
[11:36:53 PM]  Mua Gà nướng -1000 beri
[11:36:53 PM]  Mua Gà nướng -1000 beri
[11:36:53 PM]  Mua Gà nướng -1000 beri
[11:36:53 PM]  Mua Gà nướng -1000 beri
[11:36:53 PM]  Mua Gà nướng -1000 beri
[11:36:53 PM]  Mua Gà nướng -1000 beri
[11:36:53 PM]  Mua Gà nướng -1000 beri
[11:36:54 PM]  Mua Gà nướng -1000 beri
[11:36:54 PM]  Mua Gà nướng -1000 beri
[11:36:56 PM]  Mua Quả Conache -0 beri
[11:36:56 PM]  Mua Quả Conache -0 beri
[11:36:56 PM]  Mua Quả Conache -0 beri
[11:36:56 PM]  Mua Quả Conache -0 beri
[11:36:56 PM]  Mua Quả Conache -0 beri
[11:36:56 PM]  Mua Quả Conache -0 beri
[11:36:57 PM]  Mua Quả Conache -0 beri
[11:36:57 PM]  Mua Quả Conache -0 beri
[11:36:57 PM]  Mua Quả Conache -0 beri
[11:36:57 PM]  Mua Quả Conache -0 beri
[11:36:57 PM]  Mua Quả Conache -0 beri
[11:36:57 PM]  Mua Quả Conache -0 beri
[11:36:57 PM]  Mua Quả Conache -0 beri
[11:36:58 PM]  Mua Quả Conache -0 beri
[11:36:58 PM]  Mua Quả Conache -0 beri
[11:36:58 PM]  Mua Quả Conache -0 beri
[11:36:58 PM]  Mua Quả Conache -0 beri
[11:36:58 PM]  Mua Quả Conache -0 beri
[11:36:58 PM]  Mua Quả Conache -0 beri
[11:36:59 PM]  Mua Quả Conache -0 beri
[11:37:15 PM]  Mua Thời trang Dracula -500 ruby
[11:37:59 PM]  Nhặt +1930 beri
[11:38:10 PM]  Nhặt +360 beri
[11:38:24 PM]  Logout : [Beri] 20.770.287 [Ruby] 31.533
