[03:53:50 AM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[03:54:57 AM]  Mua Kinh nghiệm X2 -60 ruby
[03:55:00 AM]  Mua Xp Chiêu thức -6000 ruby
[03:55:09 AM]  Mua Súp baratie -1600 beri
[03:55:09 AM]  Mua Súp baratie -1600 beri
[03:55:10 AM]  Mua Súp baratie -1600 beri
[03:55:10 AM]  Mua Súp baratie -1600 beri
[03:55:10 AM]  Mua Súp baratie -1600 beri
[03:55:10 AM]  Mua Súp baratie -1600 beri
[03:55:10 AM]  Mua Súp baratie -1600 beri
[03:55:10 AM]  Mua Súp baratie -1600 beri
[03:55:11 AM]  Mua Súp baratie -1600 beri
[03:55:11 AM]  Mua Súp baratie -1600 beri
[03:55:11 AM]  Mua Súp baratie -1600 beri
[03:55:11 AM]  Mua Súp baratie -1600 beri
[03:55:11 AM]  Mua Súp baratie -1600 beri
[03:55:11 AM]  Mua Súp baratie -1600 beri
[03:55:12 AM]  Mua Súp baratie -1600 beri
[03:55:12 AM]  Mua Súp baratie -1600 beri
[03:55:12 AM]  Mua Súp baratie -1600 beri
[03:55:13 AM]  Mua Súp baratie -1600 beri
[03:55:13 AM]  Mua Súp baratie -1600 beri
[03:55:13 AM]  Mua Súp baratie -1600 beri
[03:55:13 AM]  Mua Súp baratie -1600 beri
[03:55:14 AM]  Mua Súp baratie -1600 beri
[03:55:14 AM]  Mua Súp baratie -1600 beri
[03:55:14 AM]  Mua Súp baratie -1600 beri
[03:55:14 AM]  Mua Súp baratie -1600 beri
[03:55:15 AM]  Mua Súp baratie -1600 beri
[03:55:15 AM]  Mua Súp baratie -1600 beri
[03:55:15 AM]  Mua Súp baratie -1600 beri
[03:55:15 AM]  Mua Súp baratie -1600 beri
[03:55:15 AM]  Mua Súp baratie -1600 beri
[03:55:15 AM]  Mua Súp baratie -1600 beri
[03:55:15 AM]  Mua Súp baratie -1600 beri
[03:55:16 AM]  Mua Súp baratie -1600 beri
[03:55:16 AM]  Mua Súp baratie -1600 beri
[03:55:16 AM]  Mua Súp baratie -1600 beri
[03:55:16 AM]  Mua Súp baratie -1600 beri
[03:55:17 AM]  Mua Súp baratie -1600 beri
[03:55:17 AM]  Mua Súp baratie -1600 beri
[03:55:17 AM]  Mua Súp baratie -1600 beri
[03:55:17 AM]  Mua Súp baratie -1600 beri
[03:55:17 AM]  Mua Súp baratie -1600 beri
[03:55:18 AM]  Mua Súp baratie -1600 beri
[03:55:18 AM]  Mua Súp baratie -1600 beri
[03:55:18 AM]  Mua Súp baratie -1600 beri
[03:55:18 AM]  Mua Súp baratie -1600 beri
[03:55:19 AM]  Mua Súp baratie -1600 beri
[03:55:19 AM]  Mua Súp baratie -1600 beri
[03:55:19 AM]  Mua Súp baratie -1600 beri
[03:55:19 AM]  Mua Súp baratie -1600 beri
[03:55:19 AM]  Mua Súp baratie -1600 beri
[03:55:20 AM]  Mua Súp baratie -1600 beri
[03:55:20 AM]  Mua Súp baratie -1600 beri
[03:55:20 AM]  Mua Súp baratie -1600 beri
[03:55:20 AM]  Mua Súp baratie -1600 beri
[03:55:20 AM]  Mua Súp baratie -1600 beri
[03:55:21 AM]  Mua Súp baratie -1600 beri
[03:55:21 AM]  Mua Súp baratie -1600 beri
[03:55:21 AM]  Mua Súp baratie -1600 beri
[03:55:23 AM]  Mua Cola -800 beri
[03:55:23 AM]  Mua Cola -800 beri
[03:55:23 AM]  Mua Cola -800 beri
[03:55:23 AM]  Mua Cola -800 beri
[03:55:24 AM]  Mua Cola -800 beri
[03:55:24 AM]  Mua Cola -800 beri
[03:55:24 AM]  Mua Cola -800 beri
[03:55:24 AM]  Mua Cola -800 beri
[03:55:24 AM]  Mua Cola -800 beri
[03:55:25 AM]  Mua Cola -800 beri
[03:55:25 AM]  Mua Cola -800 beri
[03:55:25 AM]  Mua Cola -800 beri
[03:55:25 AM]  Mua Cola -800 beri
[03:55:26 AM]  Mua Cola -800 beri
[03:55:26 AM]  Mua Cola -800 beri
[03:55:26 AM]  Mua Cola -800 beri
[03:55:26 AM]  Mua Cola -800 beri
[03:55:26 AM]  Mua Cola -800 beri
[03:55:27 AM]  Mua Cola -800 beri
[03:55:27 AM]  Mua Cola -800 beri
[03:55:27 AM]  Mua Cola -800 beri
