[04:16:03 AM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[04:16:20 AM]  Mua Xp Chiêu thức -1500 ruby
[04:16:24 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:25 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:26 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:26 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:28 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:29 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:29 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:29 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:29 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:29 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:29 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:30 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:30 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:30 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:30 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:30 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:31 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:31 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:31 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:31 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:32 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:16:57 AM]  Mua Quản lý -500 ruby
[04:17:02 AM]  Mua Tóc khỉ con -500 ruby
[04:17:10 AM]  Mua Pell -500 ruby
[04:17:39 AM]  Nhặt +552 beri
[04:17:51 AM]  Nhặt +160 beri
[04:17:55 AM]  Nhặt +4 beri
[04:18:20 AM]  Nhặt +56 beri
[04:18:47 AM]  Nhặt +543 beri
[04:19:00 AM]  Nhặt +8 beri
[04:19:02 AM]  Nhặt +76 beri
[04:19:28 AM]  Mua Cơm hộp hải tặc -0 beri
[04:19:30 AM]  Mua Cơm hộp hải tặc -0 beri
[04:19:30 AM]  Mua Cơm hộp hải tặc -0 beri
[04:19:31 AM]  Mua Cơm hộp hải tặc -0 beri
[04:19:31 AM]  Mua Cơm hộp hải tặc -0 beri
[04:19:31 AM]  Mua Cơm hộp hải tặc -0 beri
[04:19:31 AM]  Mua Cơm hộp hải tặc -0 beri
[04:19:32 AM]  Mua Cơm hộp hải tặc -0 beri
