[05:13:49 PM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[05:14:54 PM]  Mua minh vương -5000 ruby
[05:15:14 PM]  Mua Tóc mốc lai -500 ruby
[05:15:41 PM]  Mua Kinh nghiệm X2 -60 ruby
[05:15:43 PM]  Mua Xp Chiêu thức -6000 ruby
[05:15:47 PM]  Mua Súp baratie -1600 beri
[05:15:47 PM]  Mua Súp baratie -1600 beri
[05:15:48 PM]  Mua Súp baratie -1600 beri
[05:15:48 PM]  Mua Súp baratie -1600 beri
[05:15:48 PM]  Mua Súp baratie -1600 beri
[05:15:48 PM]  Mua Súp baratie -1600 beri
[05:15:48 PM]  Mua Súp baratie -1600 beri
[05:15:48 PM]  Mua Súp baratie -1600 beri
[05:15:49 PM]  Mua Súp baratie -1600 beri
[05:15:49 PM]  Mua Súp baratie -1600 beri
[05:15:49 PM]  Mua Súp baratie -1600 beri
[05:15:49 PM]  Mua Súp baratie -1600 beri
[05:15:49 PM]  Mua Súp baratie -1600 beri
[05:15:49 PM]  Mua Súp baratie -1600 beri
[05:15:52 PM]  Mua Cola -800 beri
[05:15:52 PM]  Mua Cola -800 beri
[05:15:53 PM]  Mua Cola -800 beri
[05:15:53 PM]  Mua Cola -800 beri
[05:15:53 PM]  Mua Cola -800 beri
[05:15:53 PM]  Mua Cola -800 beri
[05:15:54 PM]  Mua Cola -800 beri
[05:15:54 PM]  Mua Cola -800 beri
[05:15:54 PM]  Mua Cola -800 beri
[05:15:54 PM]  Mua Cola -800 beri
[05:15:54 PM]  Mua Cola -800 beri
[05:15:54 PM]  Mua Cola -800 beri
[05:15:55 PM]  Mua Cola -800 beri
[05:16:13 PM]  Nhặt +162 beri
[05:16:50 PM]  Mua 100 vé vòng quay -1500 ruby
[05:18:02 PM]  Nhặt +8 beri
[05:18:03 PM]  Nhặt +202 beri
[05:18:06 PM]  Nhặt +2 beri
[05:18:21 PM]  Logout : [Beri] 18.420.876 [Ruby] 27.440
