[04:32:33 AM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[04:32:36 AM]  Nhặt +166 beri
[04:34:30 AM]  Mua Xp Chiêu thức -1500 ruby
[04:34:35 AM]  Mua Kinh nghiệm X2 -15 ruby
[04:37:03 AM]  Logout : [Beri] 10.021.915 [Ruby] 48.547
[03:18:14 AM]  Login : [Beri] 10.021.915 [Ruby] 48.547
[03:18:38 AM]  Mua 10000 vé vòng quay -150000 ruby
[03:23:33 AM]  Mua thiện xạ -500 ruby
[03:24:14 AM]  Nhặt +416 beri
[03:24:57 AM]  Nhặt +1576 beri
[03:25:07 AM]  Nhặt +160 beri
[03:28:01 AM]  Mua Quả Conache -0 beri
[03:28:01 AM]  Mua Quả Conache -0 beri
[03:28:01 AM]  Mua Quả Conache -0 beri
[03:28:01 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:02 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:03 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:04 AM]  Mua Quả Conache -0 beri
[03:28:05 AM]  Mua Quả Conache -0 beri
[03:28:05 AM]  Mua Quả Conache -0 beri
[03:28:05 AM]  Mua Quả Conache -0 beri
[03:28:05 AM]  Mua Quả Conache -0 beri
[03:28:05 AM]  Mua Quả Conache -0 beri
[03:28:05 AM]  Mua Quả Conache -0 beri
[03:28:05 AM]  Mua Quả Conache -0 beri
[03:28:05 AM]  Mua Quả Conache -0 beri
[03:28:05 AM]  Mua Quả Conache -0 beri
[03:28:05 AM]  Mua Quả Conache -0 beri
