[01:26:20 AM]  Login : [Beri] 1.518.666.411 [Ruby] 1.499.530.069
[01:26:55 AM]  Logout : [Beri] 1.518.666.411 [Ruby] 1.499.530.069
[03:31:12 AM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[03:32:24 AM]  Mua Xp Chiêu thức -1500 ruby
[03:32:28 AM]  Mua Kinh nghiệm X2 -3 ruby
[03:33:22 AM]  Nhặt +591 beri
[03:33:25 AM]  Nhặt +423 beri
[03:33:43 AM]  Nhặt +174 beri
[03:33:44 AM]  Nhặt +390 beri
[03:33:51 AM]  Nhặt +291 beri
[03:33:55 AM]  Nhặt +216 beri
[03:34:04 AM]  Nhặt +384 beri
[03:34:39 AM]  Mua 99 vé vòng quay -1485 ruby
[03:35:25 AM]  Mua Tóc khỉ con -500 ruby
[03:36:06 AM]  Nhặt +224 beri
[03:36:30 AM]  Nhặt +441 beri
[03:36:39 AM]  Nhặt +153 beri
[03:37:31 AM]  Nhặt +195 beri
[03:37:55 AM]  Nhặt +525 beri
[03:38:25 AM]  Nhặt +57 beri
[03:38:42 AM]  Nhặt +166 beri
[03:39:10 AM]  Nhặt +171 beri
[03:40:02 AM]  Mua Quả Conache -0 beri
[03:40:04 AM]  Mua Cơm hộp hải tặc -0 beri
[03:40:15 AM]  Nhặt +144 beri
[03:46:11 AM]  Login : [Beri] 20.730.757 [Ruby] 46.997
[03:47:11 AM]  Mua Quản lý -500 ruby
[03:47:25 AM]  Mua Quả Conache -0 beri
[03:47:25 AM]  Mua Quả Conache -0 beri
[03:47:25 AM]  Mua Quả Conache -0 beri
[03:47:28 AM]  Mua Quả Conache -0 beri
[03:47:30 AM]  Mua Quả Conache -0 beri
[03:47:32 AM]  Mua Cơm hộp hải tặc -0 beri
[03:47:32 AM]  Mua Cơm hộp hải tặc -0 beri
[03:47:32 AM]  Mua Cơm hộp hải tặc -0 beri
[03:47:32 AM]  Mua Cơm hộp hải tặc -0 beri
[03:47:33 AM]  Mua Cơm hộp hải tặc -0 beri
[03:47:33 AM]  Mua Cơm hộp hải tặc -0 beri
