[01:42:07 AM]  Login : [Beri] 10.000.000 [Ruby] 50.000
[01:42:58 AM]  Nhặt +266 beri
[01:43:02 AM]  Nhặt +254 beri
[01:44:26 AM]  Mua 300 vé vòng quay -4500 ruby
[01:48:44 AM]  Mua Kinh nghiệm X2 -60 ruby
[01:48:47 AM]  Mua Xp Chiêu thức -6000 ruby
[01:48:51 AM]  Mua Gà nướng -1000 beri
[01:48:51 AM]  Mua Gà nướng -1000 beri
[01:48:51 AM]  Mua Gà nướng -1000 beri
[01:48:51 AM]  Mua Gà nướng -1000 beri
[01:48:51 AM]  Mua Gà nướng -1000 beri
[01:48:51 AM]  Mua Gà nướng -1000 beri
[01:48:52 AM]  Mua Gà nướng -1000 beri
[01:48:52 AM]  Mua Gà nướng -1000 beri
[01:48:52 AM]  Mua Gà nướng -1000 beri
[01:48:52 AM]  Mua Gà nướng -1000 beri
[01:48:52 AM]  Mua Gà nướng -1000 beri
[01:48:53 AM]  Mua Gà nướng -1000 beri
[01:48:53 AM]  Mua Gà nướng -1000 beri
[01:48:53 AM]  Mua Gà nướng -1000 beri
[01:48:53 AM]  Mua Gà nướng -1000 beri
[01:48:53 AM]  Mua Gà nướng -1000 beri
[01:48:53 AM]  Mua Gà nướng -1000 beri
[01:48:54 AM]  Mua Gà nướng -1000 beri
[01:48:54 AM]  Mua Gà nướng -1000 beri
[01:48:54 AM]  Mua Gà nướng -1000 beri
[01:48:54 AM]  Mua Gà nướng -1000 beri
[01:48:54 AM]  Mua Gà nướng -1000 beri
[01:48:54 AM]  Mua Gà nướng -1000 beri
[01:48:55 AM]  Mua Gà nướng -1000 beri
[01:48:55 AM]  Mua Gà nướng -1000 beri
[01:48:55 AM]  Mua Gà nướng -1000 beri
[01:48:55 AM]  Mua Gà nướng -1000 beri
[01:48:55 AM]  Mua Gà nướng -1000 beri
[01:48:55 AM]  Mua Gà nướng -1000 beri
[01:48:56 AM]  Mua Gà nướng -1000 beri
[01:48:56 AM]  Mua Gà nướng -1000 beri
[01:48:56 AM]  Mua Gà nướng -1000 beri
[01:48:56 AM]  Mua Gà nướng -1000 beri
[01:48:56 AM]  Mua Gà nướng -1000 beri
[01:48:56 AM]  Mua Gà nướng -1000 beri
[01:48:57 AM]  Mua Gà nướng -1000 beri
[01:48:57 AM]  Mua Gà nướng -1000 beri
[01:48:57 AM]  Mua Gà nướng -1000 beri
[01:48:57 AM]  Mua Gà nướng -1000 beri
[01:48:57 AM]  Mua Gà nướng -1000 beri
[01:48:57 AM]  Mua Gà nướng -1000 beri
[01:48:58 AM]  Mua Gà nướng -1000 beri
[01:48:58 AM]  Mua Gà nướng -1000 beri
