[12:06:09 AM]  Nhặt +1326 beri
[12:06:11 AM]  Nhặt +2700 beri
[12:06:13 AM]  Nhặt +2496 beri
[12:06:20 AM]  Nhặt +520 beri
[12:06:31 AM]  Nhặt +1118 beri
[12:06:41 AM]  Nhặt +1794 beri
[12:06:46 AM]  Nhặt +4992 beri
[12:07:13 AM]  Logout : [Beri] 130.382.665 [Ruby] 23.636
[12:07:20 AM]  Login : [Beri] 130.382.665 [Ruby] 23.636
[12:07:32 AM]  Nhặt +2886 beri
[12:08:20 AM]  Nhặt +884 beri
[12:08:24 AM]  Nhặt +1352 beri
[12:08:27 AM]  Nhặt +130 beri
[12:08:58 AM]  Nhặt +2054 beri
[12:09:08 AM]  Nhặt +494 beri
[12:09:26 AM]  Nhặt +4030 beri
[12:09:37 AM]  Nhặt +1482 beri
[12:09:43 AM]  Nhặt +1274 beri
[12:09:49 AM]  Nhặt +442 beri
[12:10:11 AM]  Nhặt +1222 beri
[12:10:14 AM]  Nhặt +3198 beri
[12:10:26 AM]  Nhặt +3120 beri
[12:10:29 AM]  Nhặt +442 beri
[12:10:34 AM]  Nhặt +2132 beri
[12:10:47 AM]  Nhặt +1890 beri
[12:10:50 AM]  Nhặt +3978 beri
[12:10:58 AM]  Nhặt +3484 beri
[12:11:00 AM]  Nhặt +3726 beri
[12:11:27 AM]  Nhặt +3406 beri
[12:11:39 AM]  Nhặt +4368 beri
[12:11:43 AM]  Nhặt +598 beri
[12:11:48 AM]  Nhặt +104 beri
[12:11:59 AM]  Nhặt +216 beri
[12:12:21 AM]  Nhặt +2158 beri
[12:12:25 AM]  Nhặt +2418 beri
[12:12:27 AM]  Nhặt +4472 beri
[12:12:33 AM]  Nhặt +4887 beri
[12:12:55 AM]  Nhặt +2002 beri
[12:13:02 AM]  Nhặt +754 beri
[12:13:10 AM]  Nhặt +5122 beri
[12:13:23 AM]  Nhặt +26 beri
[12:13:24 AM]  Nhặt +2652 beri
