[05:38:37 PM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[05:39:06 PM]  Mua Dr. Strange Zoombie -500 ruby
[05:39:16 PM]  Mua Tóc Siêu Sao -500 ruby
[05:39:26 PM]  Mua Hỏa quyền -500 ruby
[05:40:39 PM]  Mua 100 vé vòng quay -1500 ruby
[05:44:49 PM]  Mua Áo vest đen 2 -1700 beri
[05:44:52 PM]  Mua Quần vest đen 2 -1500 beri
[05:45:58 PM]  Nhặt +2325 beri
[05:46:55 PM]  Mua Kinh nghiệm X2 -60 ruby
[05:46:56 PM]  Mua Kinh nghiệm X2 -60 ruby
[05:46:58 PM]  Mua Xp Chiêu thức -6000 ruby
[05:46:59 PM]  Mua Xp Chiêu thức -6000 ruby
[05:47:00 PM]  Mua Quả Conache -0 beri
[05:47:00 PM]  Mua Quả Conache -0 beri
[05:47:00 PM]  Mua Quả Conache -0 beri
[05:47:01 PM]  Mua Quả Conache -0 beri
[05:47:01 PM]  Mua Quả Conache -0 beri
[05:47:01 PM]  Mua Quả Conache -0 beri
[05:47:01 PM]  Mua Quả Conache -0 beri
[05:47:01 PM]  Mua Quả Conache -0 beri
[05:47:01 PM]  Mua Quả Conache -0 beri
[05:47:02 PM]  Mua Quả Conache -0 beri
[05:47:02 PM]  Mua Quả Conache -0 beri
[05:47:02 PM]  Mua Quả Conache -0 beri
[05:47:02 PM]  Mua Quả Conache -0 beri
[05:47:02 PM]  Mua Quả Conache -0 beri
[05:47:02 PM]  Mua Quả Conache -0 beri
[05:47:02 PM]  Mua Quả Conache -0 beri
[05:47:02 PM]  Mua Quả Conache -0 beri
[05:47:03 PM]  Mua Quả Conache -0 beri
[05:47:03 PM]  Mua Quả Conache -0 beri
[05:47:03 PM]  Mua Quả Conache -0 beri
[05:47:03 PM]  Mua Quả Conache -0 beri
[05:47:03 PM]  Mua Quả Conache -0 beri
[05:47:03 PM]  Mua Quả Conache -0 beri
[05:47:04 PM]  Mua Quả Conache -0 beri
[05:47:04 PM]  Mua Quả Conache -0 beri
[05:47:04 PM]  Mua Quả Conache -0 beri
[05:47:04 PM]  Mua Quả Conache -0 beri
[05:47:04 PM]  Mua Quả Conache -0 beri
[05:47:04 PM]  Mua Quả Conache -0 beri
[05:47:04 PM]  Mua Quả Conache -0 beri
[05:47:05 PM]  Mua Quả Conache -0 beri
[05:47:05 PM]  Mua Quả Conache -0 beri
[05:47:05 PM]  Mua Quả Conache -0 beri
[05:47:05 PM]  Mua Quả Conache -0 beri
[05:47:05 PM]  Mua Quả Conache -0 beri
[05:47:05 PM]  Mua Quả Conache -0 beri
[05:47:05 PM]  Mua Quả Conache -0 beri
[05:47:06 PM]  Mua Quả Conache -0 beri
[05:47:06 PM]  Mua Quả Conache -0 beri
[05:47:06 PM]  Mua Quả Conache -0 beri
[05:47:06 PM]  Mua Quả Conache -0 beri
[05:47:06 PM]  Mua Quả Conache -0 beri
[05:47:06 PM]  Mua Quả Conache -0 beri
[05:47:07 PM]  Mua Quả Conache -0 beri
