[08:44:34 PM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[08:45:46 PM]  Mua 900 vé vòng quay -13500 ruby
[08:46:42 PM]  Mua Xp Chiêu thức -6000 ruby
[08:46:43 PM]  Mua Kinh nghiệm X2 -60 ruby
[08:46:46 PM]  Mua Cola -800 beri
[08:46:46 PM]  Mua Cola -800 beri
[08:46:46 PM]  Mua Cola -800 beri
[08:46:46 PM]  Mua Cola -800 beri
[08:46:46 PM]  Mua Cola -800 beri
[08:46:47 PM]  Mua Cola -800 beri
[08:46:47 PM]  Mua Cola -800 beri
[08:46:47 PM]  Mua Cola -800 beri
[08:46:47 PM]  Mua Cola -800 beri
[08:46:47 PM]  Mua Cola -800 beri
[08:46:47 PM]  Mua Cola -800 beri
[08:46:47 PM]  Mua Cola -800 beri
[08:46:48 PM]  Mua Cola -800 beri
[08:46:48 PM]  Mua Cola -800 beri
[08:46:48 PM]  Mua Cola -800 beri
[08:46:50 PM]  Mua Súp baratie -1600 beri
[08:46:50 PM]  Mua Súp baratie -1600 beri
[08:46:50 PM]  Mua Súp baratie -1600 beri
[08:46:50 PM]  Mua Súp baratie -1600 beri
[08:46:51 PM]  Mua Súp baratie -1600 beri
[08:46:51 PM]  Mua Súp baratie -1600 beri
[08:46:51 PM]  Mua Súp baratie -1600 beri
[08:46:51 PM]  Mua Súp baratie -1600 beri
[08:46:51 PM]  Mua Súp baratie -1600 beri
[08:46:52 PM]  Mua Súp baratie -1600 beri
[08:46:52 PM]  Mua Súp baratie -1600 beri
[08:46:52 PM]  Mua Súp baratie -1600 beri
[08:46:52 PM]  Mua Súp baratie -1600 beri
[08:46:52 PM]  Mua Súp baratie -1600 beri
[08:46:52 PM]  Mua Súp baratie -1600 beri
[08:47:06 PM]  Mua Dr. Strange Zoombie -500 ruby
[08:53:34 PM]  Mua 999 vé vòng quay -14985 ruby
[09:40:28 PM]  Mua Cola -800 beri
[09:40:28 PM]  Mua Cola -800 beri
[09:40:28 PM]  Mua Cola -800 beri
[09:40:28 PM]  Mua Cola -800 beri
[09:40:28 PM]  Mua Cola -800 beri
[09:40:29 PM]  Mua Cola -800 beri
[09:40:30 PM]  Mua Cola -800 beri
[09:40:30 PM]  Mua Cola -800 beri
[09:40:30 PM]  Mua Cola -800 beri
[09:40:30 PM]  Mua Cola -800 beri
[09:40:30 PM]  Mua Cola -800 beri
[09:40:31 PM]  Mua Cola -800 beri
[09:40:31 PM]  Mua Cola -800 beri
[09:40:31 PM]  Mua Cola -800 beri
[09:40:31 PM]  Mua Cola -800 beri
[09:40:31 PM]  Mua Cola -800 beri
[09:40:32 PM]  Mua Cola -800 beri
[09:40:32 PM]  Mua Cola -800 beri
[09:40:32 PM]  Mua Cola -800 beri
[09:40:32 PM]  Mua Cola -800 beri
[09:40:33 PM]  Mua Cola -800 beri
[09:40:33 PM]  Mua Cola -800 beri
[09:40:33 PM]  Mua Cola -800 beri
[09:40:33 PM]  Mua Cola -800 beri
[09:40:33 PM]  Mua Cola -800 beri
[09:40:34 PM]  Mua Cola -800 beri
[09:40:34 PM]  Mua Cola -800 beri
[09:40:35 PM]  Mua Cola -800 beri
[09:40:35 PM]  Mua Cola -800 beri
[09:40:36 PM]  Mua Cola -800 beri
[09:40:36 PM]  Mua Cola -800 beri
[09:40:36 PM]  Mua Cola -800 beri
[09:40:36 PM]  Mua Cola -800 beri
[09:40:36 PM]  Mua Cola -800 beri
[09:40:36 PM]  Mua Cola -800 beri
[09:40:37 PM]  Mua Cola -800 beri
[09:40:37 PM]  Mua Cola -800 beri
[09:40:37 PM]  Mua Cola -800 beri
[09:40:37 PM]  Mua Cola -800 beri
[09:40:37 PM]  Mua Cola -800 beri
[09:40:38 PM]  Mua Cola -800 beri
[09:40:38 PM]  Mua Cola -800 beri
[09:40:38 PM]  Mua Cola -800 beri
[09:40:38 PM]  Mua Cola -800 beri
[09:40:38 PM]  Mua Cola -800 beri
[09:40:39 PM]  Mua Cola -800 beri
[09:40:39 PM]  Mua Cola -800 beri
[09:40:39 PM]  Mua Cola -800 beri
[09:40:39 PM]  Mua Cola -800 beri
[09:40:40 PM]  Mua Cola -800 beri
[09:40:40 PM]  Mua Cola -800 beri
[09:40:40 PM]  Mua Cola -800 beri
[09:40:40 PM]  Mua Cola -800 beri
[09:40:40 PM]  Mua Cola -800 beri
[09:40:40 PM]  Mua Cola -800 beri
[09:40:41 PM]  Mua Cola -800 beri
[09:40:50 PM]  Mua Súp baratie -1600 beri
[09:40:50 PM]  Mua Súp baratie -1600 beri
[09:40:50 PM]  Mua Súp baratie -1600 beri
[09:40:50 PM]  Mua Súp baratie -1600 beri
[09:40:50 PM]  Mua Súp baratie -1600 beri
[09:40:51 PM]  Mua Súp baratie -1600 beri
[09:40:51 PM]  Mua Súp baratie -1600 beri
[09:40:51 PM]  Mua Súp baratie -1600 beri
[09:40:51 PM]  Mua Súp baratie -1600 beri
[09:40:51 PM]  Mua Súp baratie -1600 beri
[09:40:51 PM]  Mua Súp baratie -1600 beri
[09:40:52 PM]  Mua Súp baratie -1600 beri
[09:40:52 PM]  Mua Súp baratie -1600 beri
[09:40:52 PM]  Mua Súp baratie -1600 beri
[09:40:52 PM]  Mua Súp baratie -1600 beri
[09:40:53 PM]  Mua Súp baratie -1600 beri
[09:40:53 PM]  Mua Súp baratie -1600 beri
[09:40:53 PM]  Mua Súp baratie -1600 beri
[09:40:53 PM]  Mua Súp baratie -1600 beri
[09:40:53 PM]  Mua Súp baratie -1600 beri
[09:40:54 PM]  Mua Súp baratie -1600 beri
[09:40:54 PM]  Mua Súp baratie -1600 beri
[09:40:54 PM]  Mua Súp baratie -1600 beri
[09:40:54 PM]  Mua Súp baratie -1600 beri
[09:40:54 PM]  Mua Súp baratie -1600 beri
[09:40:54 PM]  Mua Súp baratie -1600 beri
[09:40:55 PM]  Mua Súp baratie -1600 beri
[09:40:55 PM]  Mua Súp baratie -1600 beri
[09:40:55 PM]  Mua Súp baratie -1600 beri
[09:40:55 PM]  Mua Súp baratie -1600 beri
[09:40:55 PM]  Mua Súp baratie -1600 beri
[09:40:55 PM]  Mua Súp baratie -1600 beri
[09:40:56 PM]  Mua Súp baratie -1600 beri
[09:40:56 PM]  Mua Súp baratie -1600 beri
[09:40:56 PM]  Mua Súp baratie -1600 beri
[09:40:56 PM]  Mua Súp baratie -1600 beri
[10:43:09 PM]  Login : [Beri] 227.879.599 [Ruby] 114.955
[11:37:30 PM]  Logout : [Beri] 227.879.599 [Ruby] 114.955
