[11:19:11 PM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[11:20:52 PM]  Mua 6000 vé vòng quay -90000 ruby
[11:24:55 PM]  Mua Nữ thần -500 ruby
[11:25:27 PM]  Mua Hỏa quyền -500 ruby
[11:29:42 PM]  Logout : [Beri] 757.620.117 [Ruby] 99.958.885
[11:29:44 PM]  Login : [Beri] 757.620.117 [Ruby] 99.958.885
[11:30:12 PM]  Mua Quả Conache -0 beri
[11:30:12 PM]  Mua Quả Conache -0 beri
[11:30:12 PM]  Mua Quả Conache -0 beri
[11:30:12 PM]  Mua Quả Conache -0 beri
[11:30:14 PM]  Mua Quả Conache -0 beri
[11:30:14 PM]  Mua Quả Conache -0 beri
[11:30:14 PM]  Mua Quả Conache -0 beri
[11:30:14 PM]  Mua Quả Conache -0 beri
[11:30:14 PM]  Mua Quả Conache -0 beri
[11:30:16 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:30:16 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:30:16 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:30:16 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:30:16 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:30:17 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:30:18 PM]  Mua Xp Chiêu thức -6000 ruby
[11:30:18 PM]  Mua Xp Chiêu thức -6000 ruby
[11:30:18 PM]  Mua Xp Chiêu thức -6000 ruby
[11:30:19 PM]  Mua Xp Chiêu thức -6000 ruby
[11:30:19 PM]  Mua Xp Chiêu thức -6000 ruby
[11:46:00 PM]  Mua Bột cường hóa -20 ruby
[11:46:00 PM]  Mua Bột cường hóa -20 ruby
[11:46:01 PM]  Mua Bột cường hóa -20 ruby
[11:46:01 PM]  Mua Bột cường hóa -20 ruby
[11:46:01 PM]  Mua Bột cường hóa -20 ruby
[11:46:01 PM]  Mua Bột cường hóa -20 ruby
[11:46:01 PM]  Mua Bột cường hóa -20 ruby
[11:46:01 PM]  Mua Bột cường hóa -20 ruby
[11:46:02 PM]  Mua Bột cường hóa -20 ruby
