[04:00:22 PM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[04:01:33 PM]  Mua Bão tố -500 ruby
[04:01:56 PM]  Mua Tóc khỉ con -500 ruby
[04:03:14 PM]  Mua Xp Chiêu thức -6000 ruby
[04:03:14 PM]  Mua Xp Chiêu thức -6000 ruby
[04:03:16 PM]  Mua Kinh nghiệm X2 -3 ruby
[04:03:17 PM]  Mua Kinh nghiệm X2 -3 ruby
[04:03:17 PM]  Mua Kinh nghiệm X2 -3 ruby
[04:03:17 PM]  Mua Kinh nghiệm X2 -3 ruby
[04:03:17 PM]  Mua Kinh nghiệm X2 -3 ruby
[04:03:17 PM]  Mua Kinh nghiệm X2 -3 ruby
[04:03:18 PM]  Mua Kinh nghiệm X2 -3 ruby
[04:14:07 PM]  Mua Sữa -400 beri
[04:14:07 PM]  Mua Sữa -400 beri
[04:14:07 PM]  Mua Sữa -400 beri
[04:14:07 PM]  Mua Sữa -400 beri
[04:14:07 PM]  Mua Sữa -400 beri
[04:14:08 PM]  Mua Sữa -400 beri
[04:14:08 PM]  Mua Sữa -400 beri
[04:14:08 PM]  Mua Sữa -400 beri
[04:14:08 PM]  Mua Sữa -400 beri
[04:14:08 PM]  Mua Sữa -400 beri
[04:14:08 PM]  Mua Sữa -400 beri
[04:14:09 PM]  Mua Sữa -400 beri
[04:14:09 PM]  Mua Sữa -400 beri
[04:14:09 PM]  Mua Sữa -400 beri
[04:14:09 PM]  Mua Sữa -400 beri
[04:14:09 PM]  Mua Sữa -400 beri
[04:14:09 PM]  Mua Sữa -400 beri
[04:14:10 PM]  Mua Sữa -400 beri
[04:20:26 PM]  Mua 100 vé vòng quay -1500 ruby
[04:22:12 PM]  Nhặt +3417 beri
[04:22:35 PM]  Nhặt +1785 beri
[04:26:11 PM]  Mua Cola -800 beri
[04:26:11 PM]  Mua Cola -800 beri
[04:26:12 PM]  Mua Cola -800 beri
[04:26:12 PM]  Mua Cola -800 beri
[04:26:12 PM]  Mua Cola -800 beri
[04:26:13 PM]  Mua Quả Conache -0 beri
[04:26:13 PM]  Mua Quả Conache -0 beri
[04:26:13 PM]  Mua Quả Conache -0 beri
[04:26:15 PM]  Mua Cola -800 beri
[04:26:15 PM]  Mua Cola -800 beri
[04:26:15 PM]  Mua Cola -800 beri
[04:31:24 PM]  Mua Bột cường hóa -20 ruby
[04:31:25 PM]  Mua Bột cường hóa -20 ruby
[04:31:25 PM]  Mua Bột cường hóa -20 ruby
[04:31:25 PM]  Mua Bột cường hóa -20 ruby
[04:31:25 PM]  Mua Bột cường hóa -20 ruby
[04:31:25 PM]  Mua Bột cường hóa -20 ruby
[04:31:25 PM]  Mua Bột cường hóa -20 ruby
[04:31:25 PM]  Mua Bột cường hóa -20 ruby
[04:31:26 PM]  Mua Bột cường hóa -20 ruby
[04:31:26 PM]  Mua Bột cường hóa -20 ruby
[04:31:26 PM]  Mua Bột cường hóa -20 ruby
[04:31:26 PM]  Mua Bột cường hóa -20 ruby
[04:31:26 PM]  Mua Bột cường hóa -20 ruby
[04:31:26 PM]  Mua Bột cường hóa -20 ruby
[04:31:26 PM]  Mua Bột cường hóa -20 ruby
[04:31:26 PM]  Mua Bột cường hóa -20 ruby
[04:31:27 PM]  Mua Bột cường hóa -20 ruby
[04:31:27 PM]  Mua Bột cường hóa -20 ruby
[04:31:27 PM]  Mua Bột cường hóa -20 ruby
[04:31:27 PM]  Mua Bột cường hóa -20 ruby
[04:31:27 PM]  Mua Bột cường hóa -20 ruby
[04:31:28 PM]  Mua Bột vàng -40 ruby
[04:31:28 PM]  Mua Bột vàng -40 ruby
[04:31:28 PM]  Mua Bột vàng -40 ruby
[04:31:29 PM]  Mua Bột vàng -40 ruby
[04:31:29 PM]  Mua Bột vàng -40 ruby
[04:31:29 PM]  Mua Bột vàng -40 ruby
[04:31:29 PM]  Mua Bột vàng -40 ruby
[04:31:29 PM]  Mua Bột vàng -40 ruby
[04:31:29 PM]  Mua Bột vàng -40 ruby
[04:31:29 PM]  Mua Bột vàng -40 ruby
[04:31:30 PM]  Mua Bột vàng -40 ruby
[04:31:30 PM]  Mua Bột vàng -40 ruby
[04:31:30 PM]  Mua Bột vàng -40 ruby
[04:31:30 PM]  Mua Bột vàng -40 ruby
[04:31:30 PM]  Mua Bột vàng -40 ruby
[04:31:30 PM]  Mua Bột vàng -40 ruby
[04:31:30 PM]  Mua Bột vàng -40 ruby
[04:31:31 PM]  Mua Bột vàng -40 ruby
[04:31:31 PM]  Mua Bột vàng -40 ruby
[04:31:31 PM]  Mua Bột vàng -40 ruby
[04:31:31 PM]  Mua Bột vàng -40 ruby
[04:31:31 PM]  Mua Bột vàng -40 ruby
[04:31:31 PM]  Mua Bột vàng -40 ruby
[04:31:31 PM]  Mua Bột vàng -40 ruby
[04:31:32 PM]  Mua Bột vàng -40 ruby
