[04:59:14 PM]  Login : [Beri] 135.835.338 [Ruby] 1.721.012
[04:59:52 PM]  Mua 100 vé vòng quay -1500 ruby
[05:01:46 PM]  Mua 300 vé vòng quay -4500 ruby
[05:04:13 PM]  Mua Râu đen -500 ruby
[05:04:41 PM]  Mua Tóc ấn tượng -500 ruby
[05:06:51 PM]  Login : [Beri] 183.817.342 [Ruby] 1.714.012
[05:09:43 PM]  Đục lỗ Nón 3 Lv60 2 -50 ruby
[05:09:48 PM]  Đục lỗ Nón 3 Lv60 2 -50 ruby
[05:09:51 PM]  Đục lỗ Nón 3 Lv60 2 -50 ruby
[05:09:54 PM]  Đục lỗ Nón 3 Lv60 2 -50 ruby
[05:09:57 PM]  Đục lỗ Nón 3 Lv60 2 -50 ruby
[05:12:45 PM]  Đục lỗ Nón 3 Lv60 2 -50 ruby
[05:12:45 PM]  Đục lỗ Nón 3 Lv60 2 -100 ruby
[05:12:45 PM]  Đục lỗ Nón 3 Lv60 2 -100 ruby
[05:12:45 PM]  Đục lỗ Nón 3 Lv60 2 -100 ruby
[05:12:45 PM]  Đục lỗ Nón 3 Lv60 2 -100 ruby
[05:12:46 PM]  Đục lỗ Nón 3 Lv60 2 -150 ruby
[05:12:46 PM]  Đục lỗ Nón 3 Lv60 2 -150 ruby
[05:12:46 PM]  Đục lỗ Nón 3 Lv60 2 -150 ruby
[05:12:47 PM]  Đục lỗ Nón 3 Lv60 2 -150 ruby
[05:12:47 PM]  Đục lỗ Nón 3 Lv60 2 -150 ruby
[05:12:47 PM]  Đục lỗ Nón 3 Lv60 2 -150 ruby
[05:12:47 PM]  Đục lỗ Nón 3 Lv60 2 -150 ruby
[05:12:48 PM]  Đục lỗ Nón 3 Lv60 2 -200 ruby
[05:12:48 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:48 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:49 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:49 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:49 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:49 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:49 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:49 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:50 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:50 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:50 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:51 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:51 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:51 PM]  Đục lỗ Nón 3 Lv60 2 -250 ruby
[05:12:51 PM]  Đục lỗ Nón 3 Lv60 2 -300 ruby
[05:12:51 PM]  Đục lỗ Nón 3 Lv60 2 -300 ruby
[05:12:52 PM]  Đục lỗ Nón 3 Lv60 2 -300 ruby
[05:12:52 PM]  Đục lỗ Nón 3 Lv60 2 -300 ruby
[05:12:52 PM]  Đục lỗ Nón 3 Lv60 2 -300 ruby
[05:12:53 PM]  Đục lỗ Nón 3 Lv60 2 -300 ruby
[05:12:53 PM]  Đục lỗ Nón 3 Lv60 2 -300 ruby
[05:12:53 PM]  Đục lỗ Nón 3 Lv60 2 -300 ruby
[05:12:53 PM]  Đục lỗ Nón 3 Lv60 2 -350 ruby
[05:12:53 PM]  Đục lỗ Nón 3 Lv60 2 -350 ruby
[05:12:54 PM]  Đục lỗ Nón 3 Lv60 2 -350 ruby
[05:12:54 PM]  Đục lỗ Nón 3 Lv60 2 -350 ruby
[05:14:22 PM]  Mua Đá ác quỷ -2 ruby
[05:14:23 PM]  Mua Đá ác quỷ -40 ruby
[05:14:23 PM]  Mua Đá ác quỷ -40 ruby
[05:14:23 PM]  Mua Đá ác quỷ -40 ruby
[05:14:23 PM]  Mua Đá ác quỷ -40 ruby
[05:14:24 PM]  Mua Đá ác quỷ -40 ruby
[05:14:24 PM]  Mua Đá ác quỷ -40 ruby
[05:14:24 PM]  Mua Đá ác quỷ -40 ruby
[05:14:24 PM]  Mua Đá ác quỷ -40 ruby
[05:14:24 PM]  Mua Đá ác quỷ -40 ruby
[05:14:24 PM]  Mua Đá ác quỷ -40 ruby
[05:14:25 PM]  Mua Đá ác quỷ -40 ruby
[05:14:25 PM]  Mua Đá ác quỷ -40 ruby
[05:14:25 PM]  Mua Đá ác quỷ -40 ruby
[05:14:25 PM]  Mua Đá ác quỷ -40 ruby
[05:14:25 PM]  Mua Đá ác quỷ -40 ruby
[05:14:26 PM]  Mua Đá ác quỷ -40 ruby
[05:14:26 PM]  Mua Đá ác quỷ -40 ruby
[05:14:26 PM]  Mua Đá ác quỷ -40 ruby
[05:14:26 PM]  Mua Đá ác quỷ -40 ruby
[05:14:26 PM]  Mua Đá ác quỷ -40 ruby
[05:14:26 PM]  Mua Đá ác quỷ -40 ruby
[05:14:27 PM]  Mua Đá ác quỷ -40 ruby
[05:14:27 PM]  Mua Đá ác quỷ -40 ruby
