[11:04:38 AM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[11:06:55 AM]  Mua 50 vé vòng quay -750 ruby
[11:11:33 AM]  Mua Thời trang Nami Wano -500 ruby
[11:12:21 AM]  Mua 999 vé vòng quay -14985 ruby
[11:16:15 AM]  Mua Bột cường hóa -20 ruby
[11:16:15 AM]  Mua Bột cường hóa -20 ruby
[11:16:16 AM]  Mua Bột cường hóa -20 ruby
[11:16:16 AM]  Mua Bột cường hóa -20 ruby
[11:16:16 AM]  Mua Bột cường hóa -20 ruby
[11:16:16 AM]  Mua Bột cường hóa -20 ruby
[11:16:16 AM]  Mua Bột cường hóa -20 ruby
[11:16:16 AM]  Mua Bột cường hóa -20 ruby
[11:16:16 AM]  Mua Bột cường hóa -20 ruby
[11:16:17 AM]  Mua Bột cường hóa -20 ruby
[11:16:17 AM]  Mua Bột cường hóa -20 ruby
[11:16:17 AM]  Mua Bột cường hóa -20 ruby
[11:16:17 AM]  Mua Bột cường hóa -20 ruby
[11:16:17 AM]  Mua Bột cường hóa -20 ruby
[11:16:17 AM]  Mua Bột cường hóa -20 ruby
[11:16:18 AM]  Mua Bột cường hóa -20 ruby
[11:16:18 AM]  Mua Bột cường hóa -20 ruby
[11:16:18 AM]  Mua Bột cường hóa -20 ruby
[11:16:18 AM]  Mua Bột cường hóa -20 ruby
[11:16:18 AM]  Mua Bột cường hóa -20 ruby
[11:16:18 AM]  Mua Bột cường hóa -20 ruby
[11:16:18 AM]  Mua Bột cường hóa -20 ruby
[11:16:19 AM]  Mua Bột cường hóa -20 ruby
[11:16:19 AM]  Mua Bột cường hóa -20 ruby
[11:16:19 AM]  Mua Bột cường hóa -20 ruby
[11:16:19 AM]  Mua Bột cường hóa -20 ruby
[11:16:19 AM]  Mua Bột cường hóa -20 ruby
[11:16:20 AM]  Mua Bột cường hóa -20 ruby
[11:16:20 AM]  Mua Bột cường hóa -20 ruby
[11:16:20 AM]  Mua Bột cường hóa -20 ruby
[11:16:20 AM]  Mua Bột cường hóa -20 ruby
[11:16:20 AM]  Mua Bột cường hóa -20 ruby
[11:16:20 AM]  Mua Bột cường hóa -20 ruby
[11:16:20 AM]  Mua Bột cường hóa -20 ruby
[11:16:20 AM]  Mua Bột cường hóa -20 ruby
[11:16:21 AM]  Mua Bột cường hóa -20 ruby
[11:16:21 AM]  Mua Bột cường hóa -20 ruby
[11:16:21 AM]  Mua Bột cường hóa -20 ruby
[11:16:21 AM]  Mua Bột cường hóa -20 ruby
[11:16:21 AM]  Mua Bột cường hóa -20 ruby
[11:16:21 AM]  Mua Bột cường hóa -20 ruby
[11:16:22 AM]  Mua Bột cường hóa -20 ruby
[11:16:22 AM]  Mua Bột cường hóa -20 ruby
[11:16:22 AM]  Mua Bột cường hóa -20 ruby
[11:16:22 AM]  Mua Bột cường hóa -20 ruby
[11:16:22 AM]  Mua Bột cường hóa -20 ruby
[11:16:22 AM]  Mua Bột cường hóa -20 ruby
[11:16:23 AM]  Mua Bột cường hóa -20 ruby
[11:16:23 AM]  Mua Bột cường hóa -20 ruby
[11:16:23 AM]  Mua Bột cường hóa -20 ruby
[11:16:23 AM]  Mua Bột cường hóa -20 ruby
[11:16:23 AM]  Mua Bột cường hóa -20 ruby
[11:16:23 AM]  Mua Bột cường hóa -20 ruby
[11:16:23 AM]  Mua Bột cường hóa -20 ruby
[11:16:24 AM]  Mua Bột cường hóa -20 ruby
[11:16:24 AM]  Mua Bột cường hóa -20 ruby
[11:16:24 AM]  Mua Bột cường hóa -20 ruby
[11:16:24 AM]  Mua Bột cường hóa -20 ruby
[11:16:24 AM]  Mua Bột cường hóa -20 ruby
[11:16:25 AM]  Mua Bột cường hóa -20 ruby
[11:16:29 AM]  Mua Bột vàng -40 ruby
[11:16:29 AM]  Mua Bột vàng -40 ruby
[11:16:29 AM]  Mua Bột vàng -40 ruby
[11:16:30 AM]  Mua Bột vàng -40 ruby
[11:16:30 AM]  Mua Bột vàng -40 ruby
[11:16:30 AM]  Mua Bột vàng -40 ruby
[11:16:30 AM]  Mua Bột vàng -40 ruby
[11:16:30 AM]  Mua Bột vàng -40 ruby
[11:16:30 AM]  Mua Bột vàng -40 ruby
[11:16:31 AM]  Mua Bột vàng -40 ruby
[11:16:31 AM]  Mua Bột vàng -40 ruby
[11:16:31 AM]  Mua Bột vàng -40 ruby
[11:16:31 AM]  Mua Bột vàng -40 ruby
[11:16:31 AM]  Mua Bột vàng -40 ruby
[11:16:31 AM]  Mua Bột vàng -40 ruby
[11:16:31 AM]  Mua Bột vàng -40 ruby
[11:16:32 AM]  Mua Bột vàng -40 ruby
[11:16:32 AM]  Mua Bột vàng -40 ruby
[11:16:32 AM]  Mua Bột vàng -40 ruby
[11:16:32 AM]  Mua Bột vàng -40 ruby
[11:16:32 AM]  Mua Bột vàng -40 ruby
[11:16:32 AM]  Mua Bột vàng -40 ruby
[11:16:32 AM]  Mua Bột vàng -40 ruby
[11:16:33 AM]  Mua Bột vàng -40 ruby
[11:16:33 AM]  Mua Bột vàng -40 ruby
[11:16:33 AM]  Mua Bột vàng -40 ruby
[11:16:34 AM]  Mua Bột vàng -40 ruby
[11:16:34 AM]  Mua Bột vàng -40 ruby
[11:16:34 AM]  Mua Bột vàng -40 ruby
[11:16:34 AM]  Mua Bột vàng -40 ruby
[11:16:34 AM]  Mua Bột vàng -40 ruby
[11:16:35 AM]  Mua Bột vàng -40 ruby
[11:16:35 AM]  Mua Bột vàng -40 ruby
[11:16:35 AM]  Mua Bột vàng -40 ruby
[11:16:35 AM]  Mua Bột vàng -40 ruby
[11:16:35 AM]  Mua Bột vàng -40 ruby
[11:16:35 AM]  Mua Bột vàng -40 ruby
[11:16:35 AM]  Mua Bột vàng -40 ruby
[11:16:35 AM]  Mua Bột vàng -40 ruby
[11:16:35 AM]  Mua Bột vàng -40 ruby
[11:16:36 AM]  Mua Bột vàng -40 ruby
[11:16:36 AM]  Mua Bột vàng -40 ruby
[11:16:36 AM]  Mua Bột vàng -40 ruby
[11:16:36 AM]  Mua Bột vàng -40 ruby
[11:16:36 AM]  Mua Bột vàng -40 ruby
[11:16:36 AM]  Mua Bột vàng -40 ruby
[11:16:36 AM]  Mua Bột vàng -40 ruby
[11:16:36 AM]  Mua Bột vàng -40 ruby
[11:16:37 AM]  Mua Bột vàng -40 ruby
[11:16:39 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:39 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:39 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:39 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:40 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:40 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:40 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:40 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:40 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:40 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:40 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:40 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:40 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:41 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:41 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:41 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:41 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:41 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:41 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:41 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:41 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:41 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:42 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:42 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:42 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:42 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:42 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:42 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:42 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:42 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:43 AM]  Mua Ngôi sao may mắn -100 ruby
[11:16:45 AM]  Mua Mai rùa -140 ruby
[11:16:45 AM]  Mua Mai rùa -140 ruby
[11:16:45 AM]  Mua Mai rùa -140 ruby
[11:16:45 AM]  Mua Mai rùa -140 ruby
[11:16:45 AM]  Mua Mai rùa -140 ruby
[11:16:46 AM]  Mua Mai rùa -140 ruby
[11:16:46 AM]  Mua Mai rùa -140 ruby
[11:16:46 AM]  Mua Mai rùa -140 ruby
[11:16:46 AM]  Mua Mai rùa -140 ruby
[11:16:46 AM]  Mua Mai rùa -140 ruby
[11:16:46 AM]  Mua Mai rùa -140 ruby
[11:16:46 AM]  Mua Mai rùa -140 ruby
[11:16:46 AM]  Mua Mai rùa -140 ruby
[11:16:46 AM]  Mua Mai rùa -140 ruby
[11:16:47 AM]  Mua Mai rùa -140 ruby
[11:16:47 AM]  Mua Mai rùa -140 ruby
[11:16:47 AM]  Mua Mai rùa -140 ruby
[11:16:47 AM]  Mua Mai rùa -140 ruby
[11:16:47 AM]  Mua Mai rùa -140 ruby
[11:16:47 AM]  Mua Mai rùa -140 ruby
[11:16:47 AM]  Mua Mai rùa -140 ruby
[11:16:47 AM]  Mua Mai rùa -140 ruby
[11:16:48 AM]  Mua Mai rùa -140 ruby
[11:16:48 AM]  Mua Mai rùa -140 ruby
[11:16:48 AM]  Mua Mai rùa -140 ruby
[11:16:48 AM]  Mua Mai rùa -140 ruby
[11:16:48 AM]  Mua Mai rùa -140 ruby
[11:16:57 AM]  Mua Búa sơ cấp -10000 ruby
[11:17:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:16 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:17 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:18 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:18 AM]  Mua Đá Topaz cấp 1 -40 ruby
[11:17:18 AM]  Mua Đá Topaz cấp 1 -40 ruby
