[07:18:54 AM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[07:19:20 AM]  Mua Minh Vương -5000 ruby
[07:19:53 AM]  Mua Tóc Kool -500 ruby
[07:20:18 AM]  Logout : [Beri] 20.000.000 [Ruby] 44.500
[06:41:10 PM]  Login : [Beri] 20.000.000 [Ruby] 44.500
[06:41:43 PM]  Mua Xp Chiêu thức -6000 ruby
[06:41:43 PM]  Mua Xp Chiêu thức -6000 ruby
[06:41:43 PM]  Mua Xp Chiêu thức -6000 ruby
[06:41:44 PM]  Mua Xp Chiêu thức -6000 ruby
[06:41:44 PM]  Mua Xp Chiêu thức -6000 ruby
[06:41:44 PM]  Mua Xp Chiêu thức -6000 ruby
[06:41:44 PM]  Mua Xp Chiêu thức -6000 ruby
[06:42:32 PM]  Mua Râu trắng -500 ruby
[06:44:01 PM]  Mua akainu -500 ruby
[06:44:18 PM]  Mua Tóc khỉ con -500 ruby
[06:47:23 PM]  Mua 3000 vé vòng quay -45000 ruby
[06:47:43 PM]  Logout : [Beri] 26.000.000 [Ruby] 5.956.000
[06:47:55 PM]  Login : [Beri] 26.000.000 [Ruby] 5.956.000
[06:50:49 PM]  Mua Bột vàng -40 ruby
[06:50:49 PM]  Mua Bột vàng -40 ruby
[06:50:49 PM]  Mua Bột vàng -40 ruby
[06:50:49 PM]  Mua Bột vàng -40 ruby
[06:50:49 PM]  Mua Bột vàng -40 ruby
[06:50:49 PM]  Mua Bột vàng -40 ruby
[06:50:50 PM]  Mua Bột vàng -40 ruby
[06:50:50 PM]  Mua Bột vàng -40 ruby
[06:50:50 PM]  Mua Bột vàng -40 ruby
[06:50:50 PM]  Mua Bột vàng -40 ruby
[06:50:50 PM]  Mua Bột vàng -40 ruby
[06:50:50 PM]  Mua Bột vàng -40 ruby
[06:50:50 PM]  Mua Bột vàng -40 ruby
[06:50:50 PM]  Mua Bột vàng -40 ruby
[06:50:51 PM]  Mua Bột vàng -40 ruby
[06:50:51 PM]  Mua Bột vàng -40 ruby
[06:50:51 PM]  Mua Bột vàng -40 ruby
[06:50:51 PM]  Mua Bột vàng -40 ruby
[06:50:51 PM]  Mua Bột vàng -40 ruby
[06:50:51 PM]  Mua Bột vàng -40 ruby
[06:50:51 PM]  Mua Bột vàng -40 ruby
[06:50:52 PM]  Mua Bột vàng -40 ruby
[06:50:52 PM]  Mua Bột vàng -40 ruby
[06:50:52 PM]  Mua Bột vàng -40 ruby
[06:50:52 PM]  Mua Bột vàng -40 ruby
[06:50:52 PM]  Mua Bột vàng -40 ruby
[06:50:52 PM]  Mua Bột vàng -40 ruby
[06:50:52 PM]  Mua Bột vàng -40 ruby
[06:50:53 PM]  Mua Bột vàng -40 ruby
[06:50:53 PM]  Mua Bột vàng -40 ruby
[06:50:53 PM]  Mua Bột vàng -40 ruby
[06:50:53 PM]  Mua Bột vàng -40 ruby
[06:50:53 PM]  Mua Bột vàng -40 ruby
[06:50:53 PM]  Mua Bột vàng -40 ruby
[06:50:53 PM]  Mua Bột vàng -40 ruby
[06:50:54 PM]  Mua Bột vàng -40 ruby
[06:50:54 PM]  Mua Bột vàng -40 ruby
[06:50:54 PM]  Mua Bột vàng -40 ruby
[06:50:54 PM]  Mua Bột vàng -40 ruby
[06:50:54 PM]  Mua Bột vàng -40 ruby
[06:50:54 PM]  Mua Bột vàng -40 ruby
[06:50:54 PM]  Mua Bột vàng -40 ruby
[06:50:55 PM]  Mua Bột vàng -40 ruby
[06:50:55 PM]  Mua Bột vàng -40 ruby
[06:50:55 PM]  Mua Bột vàng -40 ruby
[06:50:55 PM]  Mua Bột vàng -40 ruby
[06:50:55 PM]  Mua Bột vàng -40 ruby
[06:50:55 PM]  Mua Bột vàng -40 ruby
[06:50:56 PM]  Mua Mai rùa -140 ruby
[06:50:56 PM]  Mua Mai rùa -140 ruby
[06:50:57 PM]  Mua Mai rùa -140 ruby
[06:50:57 PM]  Mua Mai rùa -140 ruby
[06:50:57 PM]  Mua Mai rùa -140 ruby
[06:50:57 PM]  Mua Mai rùa -140 ruby
[06:50:57 PM]  Mua Mai rùa -140 ruby
[06:50:57 PM]  Mua Mai rùa -140 ruby
[06:50:57 PM]  Mua Mai rùa -140 ruby
[06:50:58 PM]  Mua Mai rùa -140 ruby
[06:50:58 PM]  Mua Mai rùa -140 ruby
[06:50:58 PM]  Mua Mai rùa -140 ruby
[06:50:58 PM]  Mua Mai rùa -140 ruby
[06:50:58 PM]  Mua Mai rùa -140 ruby
[06:50:58 PM]  Mua Mai rùa -140 ruby
