[02:06:56 PM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[02:07:40 PM]  Mua aokiji -500 ruby
[02:07:48 PM]  Mua Tóc khỉ con -500 ruby
[02:07:55 PM]  Mua Kinh nghiệm X2 -3 ruby
[02:07:55 PM]  Mua Kinh nghiệm X2 -3 ruby
[02:07:55 PM]  Mua Kinh nghiệm X2 -3 ruby
[02:07:55 PM]  Mua Kinh nghiệm X2 -3 ruby
[02:07:55 PM]  Mua Kinh nghiệm X2 -3 ruby
[02:07:55 PM]  Mua Kinh nghiệm X2 -3 ruby
[02:07:56 PM]  Mua Kinh nghiệm X2 -3 ruby
[02:07:56 PM]  Mua Kinh nghiệm X2 -3 ruby
[02:07:56 PM]  Mua Xp Chiêu thức -300 ruby
[02:07:57 PM]  Mua Xp Chiêu thức -300 ruby
[02:07:57 PM]  Mua Xp Chiêu thức -300 ruby
[02:07:57 PM]  Mua Xp Chiêu thức -300 ruby
[02:07:57 PM]  Mua Xp Chiêu thức -300 ruby
[02:07:57 PM]  Mua Xp Chiêu thức -300 ruby
[02:07:57 PM]  Mua Xp Chiêu thức -300 ruby
[02:07:57 PM]  Mua Xp Chiêu thức -300 ruby
[02:07:59 PM]  Mua Cơm hộp hải tặc -0 beri
[02:07:59 PM]  Mua Cơm hộp hải tặc -0 beri
[02:07:59 PM]  Mua Cơm hộp hải tặc -0 beri
[02:07:59 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:00 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:00 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:00 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:00 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:00 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:00 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:00 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:01 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:01 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:01 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:01 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:01 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:01 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:01 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:02 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:03 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:03 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:03 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:03 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:03 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:03 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:03 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:04 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:04 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:04 PM]  Mua Cơm hộp hải tặc -0 beri
[02:08:04 PM]  Mua Cơm hộp hải tặc -0 beri
[02:09:12 PM]  Mua Cơm hộp hải tặc -0 beri
[02:09:13 PM]  Mua Cơm hộp hải tặc -0 beri
[02:09:13 PM]  Mua Cơm hộp hải tặc -0 beri
[02:09:13 PM]  Mua Cơm hộp hải tặc -0 beri
[02:09:14 PM]  Mua Cơm hộp hải tặc -0 beri
[02:09:14 PM]  Mua Cơm hộp hải tặc -0 beri
[02:09:14 PM]  Mua Cơm hộp hải tặc -0 beri
[02:09:14 PM]  Mua Cơm hộp hải tặc -0 beri
[02:09:14 PM]  Mua Cơm hộp hải tặc -0 beri
[02:09:14 PM]  Mua Cơm hộp hải tặc -0 beri
[02:09:45 PM]  Bán item +1 beri
[02:09:49 PM]  Logout : [Beri] 30.000.001 [Ruby] 10.046.576
[02:10:04 PM]  Login : [Beri] 30.000.001 [Ruby] 10.046.576
[02:11:34 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:35 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:35 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:35 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:35 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:35 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:35 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:35 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:35 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:36 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:36 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:36 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:36 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:36 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:36 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:36 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:36 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:37 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:37 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:37 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:37 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:37 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:37 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:37 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:37 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:37 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:38 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:38 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:38 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:38 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:38 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:38 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:38 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:38 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:39 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:39 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:39 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:39 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:39 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:39 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:39 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:39 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:40 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:40 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:40 PM]  Mua Cơm hộp hải tặc -0 beri
[02:11:40 PM]  Mua Cơm hộp hải tặc -0 beri
