[10:15:24 AM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[10:22:29 AM]  Mua Cola -800 beri
[10:22:29 AM]  Mua Cola -800 beri
[10:22:30 AM]  Mua Cola -800 beri
[10:22:30 AM]  Mua Cola -800 beri
[10:22:30 AM]  Mua Cola -800 beri
[10:22:30 AM]  Mua Cola -800 beri
[10:22:30 AM]  Mua Cola -800 beri
[10:22:30 AM]  Mua Cola -800 beri
[10:22:31 AM]  Mua Cola -800 beri
[10:22:31 AM]  Mua Cola -800 beri
[10:22:31 AM]  Mua Cola -800 beri
[10:22:31 AM]  Mua Cola -800 beri
[10:22:31 AM]  Mua Cola -800 beri
[10:22:31 AM]  Mua Cola -800 beri
[10:22:32 AM]  Mua Cola -800 beri
[10:22:32 AM]  Mua Cola -800 beri
