[08:03:29 AM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[08:04:56 AM]  Mua Bão tố -500 ruby
[08:05:02 AM]  Mua Tóc Siêu Sao -500 ruby
[08:05:30 AM]  Mua 5000 vé vòng quay -75000 ruby
[08:07:25 AM]  Nhặt +3600 beri
[08:07:40 AM]  Mua Xp Chiêu thức -300 ruby
[08:07:42 AM]  Mua Kinh nghiệm X2 -3 ruby
[08:07:46 AM]  Mua Quả Conache -0 beri
[08:07:46 AM]  Mua Quả Conache -0 beri
[08:07:47 AM]  Mua Quả Conache -0 beri
[08:07:47 AM]  Mua Quả Conache -0 beri
[08:07:47 AM]  Mua Quả Conache -0 beri
[08:07:47 AM]  Mua Quả Conache -0 beri
[08:07:47 AM]  Mua Quả Conache -0 beri
[08:07:47 AM]  Mua Quả Conache -0 beri
[08:07:47 AM]  Mua Quả Conache -0 beri
[08:07:47 AM]  Mua Quả Conache -0 beri
[08:07:48 AM]  Mua Quả Conache -0 beri
[08:07:48 AM]  Mua Quả Conache -0 beri
[08:07:48 AM]  Mua Quả Conache -0 beri
[08:07:48 AM]  Mua Quả Conache -0 beri
[08:07:48 AM]  Mua Quả Conache -0 beri
[08:07:48 AM]  Mua Quả Conache -0 beri
[08:07:48 AM]  Mua Quả Conache -0 beri
[08:07:48 AM]  Mua Quả Conache -0 beri
[08:07:49 AM]  Mua Quả Conache -0 beri
[08:07:49 AM]  Mua Quả Conache -0 beri
[08:07:49 AM]  Mua Quả Conache -0 beri
[08:07:49 AM]  Mua Quả Conache -0 beri
[08:07:49 AM]  Mua Quả Conache -0 beri
[08:07:49 AM]  Mua Quả Conache -0 beri
[08:07:50 AM]  Mua Quả Conache -0 beri
[08:07:50 AM]  Mua Quả Conache -0 beri
[08:07:51 AM]  Mua Quả Conache -0 beri
[08:07:51 AM]  Mua Quả Conache -0 beri
[08:07:51 AM]  Mua Quả Conache -0 beri
[08:07:51 AM]  Mua Quả Conache -0 beri
[08:07:51 AM]  Mua Quả Conache -0 beri
[08:07:51 AM]  Mua Quả Conache -0 beri
[08:07:51 AM]  Mua Quả Conache -0 beri
[08:07:51 AM]  Mua Quả Conache -0 beri
[08:07:52 AM]  Mua Quả Conache -0 beri
[08:07:52 AM]  Mua Quả Conache -0 beri
[08:07:52 AM]  Mua Quả Conache -0 beri
[08:07:52 AM]  Mua Quả Conache -0 beri
[08:07:52 AM]  Mua Quả Conache -0 beri
[08:07:52 AM]  Mua Quả Conache -0 beri
[08:07:52 AM]  Mua Quả Conache -0 beri
[08:07:53 AM]  Mua Quả Conache -0 beri
[08:07:53 AM]  Mua Quả Conache -0 beri
[08:07:53 AM]  Mua Quả Conache -0 beri
[08:07:53 AM]  Mua Quả Conache -0 beri
[08:07:53 AM]  Mua Quả Conache -0 beri
[08:07:53 AM]  Mua Quả Conache -0 beri
[08:07:53 AM]  Mua Quả Conache -0 beri
[08:07:53 AM]  Mua Quả Conache -0 beri
[08:07:53 AM]  Mua Quả Conache -0 beri
[08:07:54 AM]  Mua Quả Conache -0 beri
[08:07:54 AM]  Mua Quả Conache -0 beri
[08:07:54 AM]  Mua Quả Conache -0 beri
[08:07:54 AM]  Mua Quả Conache -0 beri
[08:07:54 AM]  Mua Quả Conache -0 beri
[08:07:54 AM]  Mua Quả Conache -0 beri
[08:07:54 AM]  Mua Quả Conache -0 beri
[08:07:55 AM]  Mua Quả Conache -0 beri
[08:07:55 AM]  Mua Quả Conache -0 beri
[08:07:55 AM]  Mua Quả Conache -0 beri
[08:07:55 AM]  Mua Quả Conache -0 beri
[08:07:55 AM]  Mua Quả Conache -0 beri
[08:07:55 AM]  Mua Quả Conache -0 beri
[08:07:55 AM]  Mua Quả Conache -0 beri
[08:07:55 AM]  Mua Quả Conache -0 beri
[08:07:56 AM]  Mua Quả Conache -0 beri
[08:07:56 AM]  Mua Quả Conache -0 beri
[08:07:56 AM]  Mua Quả Conache -0 beri
[08:07:56 AM]  Mua Quả Conache -0 beri
[08:07:56 AM]  Mua Quả Conache -0 beri
[08:07:56 AM]  Mua Quả Conache -0 beri
[08:07:56 AM]  Mua Quả Conache -0 beri
[08:07:56 AM]  Mua Quả Conache -0 beri
[08:07:57 AM]  Mua Quả Conache -0 beri
[08:07:57 AM]  Mua Quả Conache -0 beri
[08:07:57 AM]  Mua Quả Conache -0 beri
[08:07:57 AM]  Mua Quả Conache -0 beri
[08:07:57 AM]  Mua Quả Conache -0 beri
[08:07:57 AM]  Mua Quả Conache -0 beri
[08:08:01 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:01 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:01 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:02 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:02 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:02 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:02 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:02 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:02 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:02 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:02 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:04 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:04 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:04 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:04 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:04 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:04 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:04 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:06 AM]  Mua Cơm hộp hải tặc -0 beri
[08:08:06 AM]  Mua Cơm hộp hải tặc -0 beri
