[11:08:59 AM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[11:09:24 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:24 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:24 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:24 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:24 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:24 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:25 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:25 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:25 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:25 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:25 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:25 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:27 AM]  Mua Xp Chiêu thức -6000 ruby
[11:09:27 AM]  Mua Xp Chiêu thức -6000 ruby
[11:09:27 AM]  Mua Xp Chiêu thức -6000 ruby
[11:09:27 AM]  Mua Xp Chiêu thức -6000 ruby
[11:09:27 AM]  Mua Xp Chiêu thức -6000 ruby
[11:09:27 AM]  Mua Xp Chiêu thức -6000 ruby
[11:09:30 AM]  Mua Súp baratie -1600 beri
[11:09:30 AM]  Mua Súp baratie -1600 beri
[11:09:30 AM]  Mua Súp baratie -1600 beri
[11:09:30 AM]  Mua Súp baratie -1600 beri
[11:09:31 AM]  Mua Súp baratie -1600 beri
[11:09:31 AM]  Mua Súp baratie -1600 beri
[11:09:31 AM]  Mua Súp baratie -1600 beri
[11:09:31 AM]  Mua Súp baratie -1600 beri
[11:09:31 AM]  Mua Súp baratie -1600 beri
[11:09:31 AM]  Mua Súp baratie -1600 beri
[11:09:32 AM]  Mua Súp baratie -1600 beri
[11:09:32 AM]  Mua Súp baratie -1600 beri
[11:09:32 AM]  Mua Súp baratie -1600 beri
[11:09:32 AM]  Mua Súp baratie -1600 beri
[11:09:32 AM]  Mua Súp baratie -1600 beri
[11:09:32 AM]  Mua Súp baratie -1600 beri
[11:09:33 AM]  Mua Súp baratie -1600 beri
[11:09:33 AM]  Mua Súp baratie -1600 beri
[11:09:33 AM]  Mua Súp baratie -1600 beri
[11:09:33 AM]  Mua Súp baratie -1600 beri
[11:09:33 AM]  Mua Súp baratie -1600 beri
[11:09:33 AM]  Mua Súp baratie -1600 beri
[11:09:34 AM]  Mua Súp baratie -1600 beri
[11:09:34 AM]  Mua Súp baratie -1600 beri
[11:09:34 AM]  Mua Súp baratie -1600 beri
[11:09:34 AM]  Mua Súp baratie -1600 beri
[11:09:34 AM]  Mua Súp baratie -1600 beri
[11:09:35 AM]  Mua Súp baratie -1600 beri
[11:09:35 AM]  Mua Súp baratie -1600 beri
[11:09:37 AM]  Mua Cola -800 beri
[11:09:37 AM]  Mua Cola -800 beri
[11:09:38 AM]  Mua Cola -800 beri
[11:09:38 AM]  Mua Cola -800 beri
[11:09:38 AM]  Mua Cola -800 beri
[11:09:38 AM]  Mua Cola -800 beri
[11:09:38 AM]  Mua Cola -800 beri
[11:09:38 AM]  Mua Cola -800 beri
[11:09:39 AM]  Mua Cola -800 beri
[11:09:39 AM]  Mua Cola -800 beri
[11:09:39 AM]  Mua Cola -800 beri
[11:09:39 AM]  Mua Cola -800 beri
[11:09:39 AM]  Mua Cola -800 beri
[11:09:39 AM]  Mua Cola -800 beri
[11:09:40 AM]  Mua Cola -800 beri
[11:09:40 AM]  Mua Cola -800 beri
[11:09:40 AM]  Mua Cola -800 beri
[11:09:40 AM]  Mua Cola -800 beri
[11:09:40 AM]  Mua Cola -800 beri
[11:09:40 AM]  Mua Cola -800 beri
[11:09:41 AM]  Mua Cola -800 beri
[11:09:41 AM]  Mua Cola -800 beri
[11:09:41 AM]  Mua Cola -800 beri
[11:09:41 AM]  Mua Cola -800 beri
[11:09:41 AM]  Mua Cola -800 beri
[11:09:41 AM]  Mua Cola -800 beri
[11:09:44 AM]  Mua Cola -800 beri
[11:09:44 AM]  Mua Cola -800 beri
[11:09:44 AM]  Mua Cola -800 beri
[11:09:45 AM]  Mua Cola -800 beri
[11:09:45 AM]  Mua Cola -800 beri
[11:09:45 AM]  Mua Cola -800 beri
[11:09:45 AM]  Mua Cola -800 beri
[11:09:45 AM]  Mua Cola -800 beri
[11:09:45 AM]  Mua Cola -800 beri
[11:09:46 AM]  Mua Cola -800 beri
[11:09:46 AM]  Mua Cola -800 beri
[11:09:46 AM]  Mua Cola -800 beri
[11:09:46 AM]  Mua Cola -800 beri
[11:09:46 AM]  Mua Cola -800 beri
[11:09:46 AM]  Mua Cola -800 beri
[11:09:47 AM]  Mua Cola -800 beri
[11:09:47 AM]  Mua Cola -800 beri
[11:09:47 AM]  Mua Cola -800 beri
[11:09:47 AM]  Mua Cola -800 beri
[11:09:47 AM]  Mua Cola -800 beri
[11:09:48 AM]  Mua Cola -800 beri
[11:09:48 AM]  Mua Cola -800 beri
[11:09:48 AM]  Mua Cola -800 beri
[11:09:48 AM]  Mua Cola -800 beri
[11:09:48 AM]  Mua Cola -800 beri
[11:09:48 AM]  Mua Cola -800 beri
[11:09:49 AM]  Mua Cola -800 beri
[11:09:49 AM]  Mua Cola -800 beri
[11:09:49 AM]  Mua Cola -800 beri
[11:09:54 AM]  Mua Súp baratie -1600 beri
[11:09:54 AM]  Mua Súp baratie -1600 beri
[11:09:55 AM]  Mua Súp baratie -1600 beri
[11:09:55 AM]  Mua Súp baratie -1600 beri
[11:09:55 AM]  Mua Súp baratie -1600 beri
[11:09:55 AM]  Mua Súp baratie -1600 beri
[11:09:55 AM]  Mua Súp baratie -1600 beri
[11:09:55 AM]  Mua Súp baratie -1600 beri
[11:09:56 AM]  Mua Súp baratie -1600 beri
[11:09:56 AM]  Mua Súp baratie -1600 beri
[11:09:56 AM]  Mua Súp baratie -1600 beri
[11:09:56 AM]  Mua Súp baratie -1600 beri
[11:09:56 AM]  Mua Súp baratie -1600 beri
[11:09:57 AM]  Mua Súp baratie -1600 beri
[11:09:57 AM]  Mua Súp baratie -1600 beri
[11:09:57 AM]  Mua Súp baratie -1600 beri
[11:10:05 AM]  Mua Trang phục Franky -500 ruby
[11:10:11 AM]  Mua Tóc Siêu Sao -500 ruby
[06:08:50 PM]  Login : [Beri] 19.884.000 [Ruby] 12.280
[06:11:53 PM]  Logout : [Beri] 19.884.000 [Ruby] 12.280
[06:12:37 PM]  Login : [Beri] 19.884.000 [Ruby] 12.280
[06:12:43 PM]  Logout : [Beri] 19.884.000 [Ruby] 12.280
