[02:38:32 PM]  Login : [Beri] 480.012.918 [Ruby] 8.894.764
[02:38:56 PM]  Nhặt +2294 beri
[02:39:18 PM]  Nhặt +3658 beri
[02:39:21 PM]  Nhặt +12090 beri
[02:39:30 PM]  Nhặt +310 beri
[02:40:39 PM]  Nhặt +8757 beri
[02:40:44 PM]  Nhặt +1674 beri
[02:40:50 PM]  Nhặt +11025 beri
[02:41:01 PM]  Nhặt +1178 beri
[02:41:28 PM]  Nhặt +8184 beri
[02:41:43 PM]  Nhặt +10912 beri
[02:41:48 PM]  Nhặt +9238 beri
[02:41:51 PM]  Nhặt +6615 beri
[02:41:53 PM]  Nhặt +11594 beri
[02:41:57 PM]  Nhặt +7056 beri
[02:42:03 PM]  Nhặt +124 beri
[02:42:06 PM]  Nhặt +6634 beri
[02:42:13 PM]  Nhặt +1860 beri
[02:42:26 PM]  Nhặt +11466 beri
[02:42:35 PM]  Nhặt +1798 beri
[02:42:39 PM]  Nhặt +8556 beri
[02:42:47 PM]  Nhặt +5022 beri
[02:42:58 PM]  Nhặt +11470 beri
[02:43:01 PM]  Nhặt +10478 beri
[02:43:08 PM]  Nhặt +5040 beri
[02:43:17 PM]  Nhặt +6758 beri
[02:43:21 PM]  Nhặt +4340 beri
[02:43:33 PM]  Nhặt +1764 beri
[02:43:33 PM]  Nhặt +12348 beri
[02:43:39 PM]  Nhặt +2583 beri
[02:43:40 PM]  Nhặt +1240 beri
[02:43:51 PM]  Nhặt +2294 beri
[02:43:56 PM]  Nhặt +10478 beri
[02:44:01 PM]  Nhặt +6237 beri
[02:44:03 PM]  Nhặt +992 beri
[02:44:13 PM]  Nhặt +2976 beri
[02:44:22 PM]  Nhặt +10540 beri
[02:44:29 PM]  Nhặt +9486 beri
[02:44:33 PM]  Nhặt +9639 beri
[02:44:34 PM]  Nhặt +7938 beri
[02:44:41 PM]  Nhặt +5146 beri
[02:44:49 PM]  Nhặt +12411 beri
[02:44:57 PM]  Nhặt +6014 beri
[02:45:00 PM]  Nhặt +9176 beri
[02:45:12 PM]  Nhặt +6615 beri
[02:45:20 PM]  Nhặt +5292 beri
[02:45:22 PM]  Nhặt +11656 beri
[02:45:48 PM]  Nhặt +6758 beri
[02:46:05 PM]  Nhặt +2294 beri
[02:46:07 PM]  Nhặt +4032 beri
[02:46:19 PM]  Nhặt +3348 beri
[02:46:22 PM]  Nhặt +1364 beri
[02:46:33 PM]  Nhặt +9238 beri
[02:46:41 PM]  Nhặt +10478 beri
[02:46:47 PM]  Nhặt +9796 beri
[02:46:51 PM]  Nhặt +7812 beri
[02:46:56 PM]  Nhặt +2294 beri
[02:47:06 PM]  Nhặt +3276 beri
[02:47:11 PM]  Nhặt +682 beri
[02:47:21 PM]  Nhặt +4340 beri
[02:47:24 PM]  Nhặt +992 beri
[02:47:26 PM]  Nhặt +3720 beri
[02:47:50 PM]  Nhặt +2294 beri
[02:48:37 PM]  Mua Bột cường hóa -20 ruby
[02:48:37 PM]  Mua Bột cường hóa -20 ruby
[02:48:38 PM]  Mua Bột cường hóa -20 ruby
