[02:38:12 PM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[02:38:58 PM]  Mua 999 vé vòng quay -14985 ruby
[02:52:59 PM]  Mua Xp Chiêu thức -6000 ruby
[02:52:59 PM]  Mua Xp Chiêu thức -6000 ruby
[02:52:59 PM]  Mua Xp Chiêu thức -6000 ruby
[02:53:00 PM]  Mua Xp Chiêu thức -6000 ruby
[02:53:00 PM]  Mua Xp Chiêu thức -6000 ruby
[02:53:07 PM]  Mua Vé tẩy tiềm năng -0 beri
[02:53:09 PM]  Mua Vé tẩy tiềm năng -0 beri
[02:53:09 PM]  Mua Vé tẩy tiềm năng -0 beri
[02:53:09 PM]  Mua Vé tẩy tiềm năng -0 beri
[02:53:09 PM]  Mua Vé tẩy tiềm năng -0 beri
[02:53:10 PM]  Mua Vé tẩy tiềm năng -0 beri
[04:04:36 PM]  Mua Trang phục Raid Suit Sanji -500 ruby
[04:07:16 PM]  Mua Tóc lãng tử -500 ruby
[04:07:22 PM]  Mua Tóc RS Sanji -500 ruby
[04:08:29 PM]  Mua Mặt Trái xoan -500 ruby
[04:08:44 PM]  Mua Kinh nghiệm X2 -60 ruby
[04:08:44 PM]  Mua Kinh nghiệm X2 -60 ruby
[04:08:44 PM]  Mua Kinh nghiệm X2 -60 ruby
[04:08:44 PM]  Mua Kinh nghiệm X2 -60 ruby
[04:08:51 PM]  Mua Cola -800 beri
[04:08:52 PM]  Mua Cola -800 beri
[04:08:52 PM]  Mua Cola -800 beri
[04:08:52 PM]  Mua Cola -800 beri
[04:08:52 PM]  Mua Cola -800 beri
[04:08:52 PM]  Mua Cola -800 beri
[04:08:52 PM]  Mua Cola -800 beri
[04:08:53 PM]  Mua Cola -800 beri
[04:08:53 PM]  Mua Cola -800 beri
[04:08:53 PM]  Mua Cola -800 beri
[04:08:53 PM]  Mua Cola -800 beri
[04:08:54 PM]  Mua Cola -800 beri
[04:08:56 PM]  Mua Súp baratie -1600 beri
[04:08:56 PM]  Mua Súp baratie -1600 beri
[04:08:56 PM]  Mua Súp baratie -1600 beri
[04:08:56 PM]  Mua Súp baratie -1600 beri
[04:08:56 PM]  Mua Súp baratie -1600 beri
[04:08:57 PM]  Mua Súp baratie -1600 beri
[04:08:59 PM]  Mua Cơm hộp hải tặc -0 beri
[04:08:59 PM]  Mua Cơm hộp hải tặc -0 beri
