[09:50:33 AM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[09:52:46 AM]  Mua Gà nướng -1000 beri
[09:52:46 AM]  Mua Gà nướng -1000 beri
[09:52:46 AM]  Mua Gà nướng -1000 beri
[09:52:46 AM]  Mua Gà nướng -1000 beri
[09:52:47 AM]  Mua Gà nướng -1000 beri
[09:52:47 AM]  Mua Gà nướng -1000 beri
[09:52:47 AM]  Mua Gà nướng -1000 beri
[09:52:47 AM]  Mua Gà nướng -1000 beri
[09:52:47 AM]  Mua Gà nướng -1000 beri
[09:52:47 AM]  Mua Gà nướng -1000 beri
[09:52:48 AM]  Mua Gà nướng -1000 beri
[09:52:48 AM]  Mua Gà nướng -1000 beri
[09:52:48 AM]  Mua Gà nướng -1000 beri
[09:52:48 AM]  Mua Gà nướng -1000 beri
[09:52:48 AM]  Mua Gà nướng -1000 beri
[09:52:49 AM]  Mua Gà nướng -1000 beri
[09:52:49 AM]  Mua Gà nướng -1000 beri
[09:52:49 AM]  Mua Gà nướng -1000 beri
[09:52:50 AM]  Mua Gà nướng -50 beri
[09:52:52 AM]  Mua Cola -800 beri
[09:52:52 AM]  Mua Cola -800 beri
[09:52:53 AM]  Mua Cola -800 beri
[09:52:53 AM]  Mua Cola -800 beri
[09:52:53 AM]  Mua Cola -800 beri
[09:52:53 AM]  Mua Cola -800 beri
[09:52:53 AM]  Mua Cola -800 beri
[09:52:53 AM]  Mua Cola -800 beri
[09:52:54 AM]  Mua Cola -800 beri
[09:52:54 AM]  Mua Cola -800 beri
[09:52:54 AM]  Mua Cola -800 beri
[09:52:54 AM]  Mua Cola -800 beri
[09:52:54 AM]  Mua Cola -800 beri
[09:54:13 AM]  Mua Trang phục Franky -500 ruby
[09:54:25 AM]  Mua Trang phục Doctor Strange -500 ruby
[09:54:33 AM]  Mua Trang phục Franky -500 ruby
[09:54:39 AM]  Mua Râu đen -500 ruby
[09:54:43 AM]  Mua Đấng -500 ruby
[09:54:46 AM]  Mua Hỏa quyền -500 ruby
[09:54:50 AM]  Mua akainu -500 ruby
[09:54:53 AM]  Mua Kizaru -500 ruby
[09:54:58 AM]  Mua aokiji -500 ruby
[09:55:04 AM]  Mua Trang phục Thần Tài -500 ruby
[10:02:26 AM]  Mua Kinh nghiệm X2 -60 ruby
[10:02:26 AM]  Mua Kinh nghiệm X2 -60 ruby
[10:02:26 AM]  Mua Kinh nghiệm X2 -60 ruby
[10:02:26 AM]  Mua Kinh nghiệm X2 -60 ruby
[10:02:27 AM]  Mua Xp Chiêu thức -6000 ruby
[10:02:28 AM]  Mua Xp Chiêu thức -6000 ruby
[10:02:28 AM]  Mua Xp Chiêu thức -6000 ruby
[10:02:28 AM]  Mua Xp Chiêu thức -6000 ruby
[10:02:28 AM]  Mua Xp Chiêu thức -6000 ruby
[10:02:28 AM]  Mua Xp Chiêu thức -6000 ruby
[10:02:56 AM]  Mua 1000 vé vòng quay -15000 ruby
[10:15:47 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:47 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:47 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:48 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:48 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:48 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:48 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:48 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:48 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:49 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:49 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:49 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:49 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:49 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:49 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:49 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:50 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:50 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:50 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:50 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:50 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:51 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:51 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:51 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:51 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:51 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:51 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:52 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:53 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:53 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:53 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:53 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:53 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:53 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:54 AM]  Mua Cơm hộp hải tặc -0 beri
[10:15:54 AM]  Mua Cơm hộp hải tặc -0 beri
[10:25:03 AM]  Mua Đá ác quỷ -40 ruby
[10:25:03 AM]  Mua Đá ác quỷ -40 ruby
[10:25:04 AM]  Mua Đá ác quỷ -40 ruby
[10:25:04 AM]  Mua Đá ác quỷ -40 ruby
[10:25:04 AM]  Mua Đá ác quỷ -40 ruby
[10:25:04 AM]  Mua Đá ác quỷ -40 ruby
[10:25:04 AM]  Mua Đá ác quỷ -40 ruby
[10:25:04 AM]  Mua Đá ác quỷ -40 ruby
[10:25:05 AM]  Mua Đá ác quỷ -40 ruby
[10:25:05 AM]  Mua Đá ác quỷ -40 ruby
[10:25:05 AM]  Mua Đá ác quỷ -40 ruby
[10:25:05 AM]  Mua Đá ác quỷ -40 ruby
[10:25:05 AM]  Mua Đá ác quỷ -40 ruby
[10:25:05 AM]  Mua Đá ác quỷ -40 ruby
[10:25:06 AM]  Mua Đá ác quỷ -40 ruby
[10:25:06 AM]  Mua Đá ác quỷ -40 ruby
[10:25:06 AM]  Mua Đá ác quỷ -40 ruby
[10:25:06 AM]  Mua Đá ác quỷ -40 ruby
[10:25:06 AM]  Mua Đá ác quỷ -40 ruby
[10:25:07 AM]  Mua Đá ác quỷ -40 ruby
