[12:01:20 PM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[12:03:53 PM]  Mua Kiếm diều hâu 2 -2600 beri
[12:04:14 PM]  Mua Áo khoác sơ mi -2300 beri
[12:04:17 PM]  Mua Áo khoác sơ mi 2 -2300 beri
[12:04:19 PM]  Mua Quần tây trắng 2 -2100 beri
[12:04:20 PM]  Mua Quần tây trắng -2100 beri
[12:04:22 PM]  Mua Kiếm diều hâu 2 -2600 beri
[12:04:24 PM]  Mua Kiếm diều hâu -2600 beri
[12:05:29 PM]  Mua Kiếm diều hâu -2600 beri
[12:05:30 PM]  Mua Kiếm diều hâu -2600 beri
[12:05:31 PM]  Mua Kiếm diều hâu -2600 beri
[12:05:32 PM]  Mua Kiếm diều hâu -2600 beri
[12:05:33 PM]  Mua Kiếm diều hâu -2600 beri
[12:05:34 PM]  Mua Kiếm diều hâu -2600 beri
[12:05:35 PM]  Mua Kiếm diều hâu -2600 beri
[12:05:36 PM]  Mua Kiếm diều hâu -2600 beri
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:54 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:55 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:56 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:57 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:06:58 PM]  Mua Mai rùa -140 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:02 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
[12:07:03 PM]  Mua Ngôi sao may mắn -100 ruby
