[12:48:22 PM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[12:51:00 PM]  Mua Đấng -500 ruby
[12:51:20 PM]  Mua Dr. Strange Zoombie -500 ruby
[12:51:37 PM]  Mua Buggy -500 ruby
[12:51:57 PM]  Mua Tóc thép -500 ruby
[12:56:11 PM]  Mua 100 vé vòng quay -1500 ruby
[01:03:32 PM]  Nhặt +1610 beri
[01:07:29 PM]  Mua Quả Conache -0 beri
[01:07:30 PM]  Mua Quả Conache -0 beri
[01:07:30 PM]  Mua Quả Conache -0 beri
[01:07:30 PM]  Mua Quả Conache -0 beri
[01:07:31 PM]  Mua Quả Conache -0 beri
[01:07:31 PM]  Mua Quả Conache -0 beri
[01:07:31 PM]  Mua Quả Conache -0 beri
[01:07:32 PM]  Mua Quả Conache -0 beri
[01:07:32 PM]  Mua Quả Conache -0 beri
[01:07:32 PM]  Mua Quả Conache -0 beri
[01:07:32 PM]  Mua Quả Conache -0 beri
[01:07:33 PM]  Mua Quả Conache -0 beri
[01:07:33 PM]  Mua Quả Conache -0 beri
[01:07:33 PM]  Mua Quả Conache -0 beri
[01:07:33 PM]  Mua Quả Conache -0 beri
[01:07:34 PM]  Mua Quả Conache -0 beri
[01:07:34 PM]  Mua Quả Conache -0 beri
[01:07:34 PM]  Mua Quả Conache -0 beri
[01:07:35 PM]  Mua Quả Conache -0 beri
[01:07:35 PM]  Mua Quả Conache -0 beri
[01:07:35 PM]  Mua Quả Conache -0 beri
[01:07:35 PM]  Mua Quả Conache -0 beri
[01:07:36 PM]  Mua Quả Conache -0 beri
[01:07:36 PM]  Mua Quả Conache -0 beri
[01:07:36 PM]  Mua Quả Conache -0 beri
[01:07:36 PM]  Mua Quả Conache -0 beri
[01:07:37 PM]  Mua Quả Conache -0 beri
[01:07:37 PM]  Mua Quả Conache -0 beri
[01:07:37 PM]  Mua Quả Conache -0 beri
[01:07:38 PM]  Mua Quả Conache -0 beri
[01:07:38 PM]  Mua Quả Conache -0 beri
[01:07:42 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:42 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:43 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:43 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:43 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:43 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:44 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:44 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:44 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:45 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:45 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:45 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:46 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:46 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:46 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:47 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:47 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:47 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:47 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:48 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:48 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:48 PM]  Mua Cơm hộp hải tặc -0 beri
[01:07:49 PM]  Mua Cơm hộp hải tặc -0 beri
[01:09:09 PM]  Logout : [Beri] 122.960.165 [Ruby] 100.046.400
[01:11:33 PM]  Login : [Beri] 122.960.165 [Ruby] 100.046.400
[01:12:07 PM]  Mua Đá ác quỷ -40 ruby
[01:12:07 PM]  Mua Đá ác quỷ -40 ruby
[01:12:07 PM]  Mua Đá ác quỷ -40 ruby
[01:12:08 PM]  Mua Đá ác quỷ -40 ruby
