[09:28:14 PM]  Login : [Beri] 27.810.494 [Ruby] 34.357
[09:37:34 PM]  Mua 99 vé vòng quay -1485 ruby
[09:43:14 PM]  Mua Bột vàng -40 ruby
[09:43:15 PM]  Mua Bột vàng -2 ruby
[09:43:15 PM]  Mua Bột vàng -2 ruby
[09:43:15 PM]  Mua Bột vàng -2 ruby
[09:43:15 PM]  Mua Bột vàng -2 ruby
[09:43:17 PM]  Mua Bột vàng -40 ruby
[09:43:17 PM]  Mua Bột vàng -40 ruby
[09:43:17 PM]  Mua Bột vàng -40 ruby
[09:43:17 PM]  Mua Bột vàng -40 ruby
[09:43:17 PM]  Mua Bột vàng -40 ruby
[09:43:17 PM]  Mua Bột vàng -40 ruby
[09:43:18 PM]  Mua Bột vàng -40 ruby
[09:43:18 PM]  Mua Bột vàng -40 ruby
[09:43:18 PM]  Mua Bột vàng -40 ruby
[09:43:18 PM]  Mua Bột vàng -40 ruby
[09:43:18 PM]  Mua Bột vàng -40 ruby
[09:43:18 PM]  Mua Bột vàng -40 ruby
[09:43:18 PM]  Mua Bột vàng -40 ruby
[09:43:19 PM]  Mua Bột vàng -40 ruby
[09:43:19 PM]  Mua Bột vàng -40 ruby
[09:43:19 PM]  Mua Bột vàng -40 ruby
[09:43:19 PM]  Mua Bột vàng -40 ruby
[09:43:19 PM]  Mua Bột vàng -40 ruby
[09:43:21 PM]  Mua Bột vàng -40 ruby
[09:43:21 PM]  Mua Bột vàng -40 ruby
[09:43:21 PM]  Mua Bột vàng -40 ruby
[09:43:22 PM]  Mua Bột vàng -40 ruby
[09:43:22 PM]  Mua Bột vàng -40 ruby
[09:43:23 PM]  Mua Bột vàng -40 ruby
[09:43:23 PM]  Mua Bột vàng -40 ruby
[09:43:23 PM]  Mua Bột vàng -40 ruby
[09:43:23 PM]  Mua Bột vàng -40 ruby
[09:43:23 PM]  Mua Bột vàng -40 ruby
[09:43:23 PM]  Mua Bột vàng -40 ruby
[09:43:23 PM]  Mua Bột vàng -40 ruby
[09:43:24 PM]  Mua Bột vàng -40 ruby
[09:43:24 PM]  Mua Bột vàng -40 ruby
[09:43:24 PM]  Mua Bột vàng -40 ruby
[09:43:24 PM]  Mua Bột vàng -40 ruby
[09:43:24 PM]  Mua Bột vàng -40 ruby
[09:43:25 PM]  Mua Bột vàng -40 ruby
[09:43:25 PM]  Mua Bột vàng -40 ruby
[09:43:25 PM]  Mua Bột vàng -40 ruby
[09:43:25 PM]  Mua Bột vàng -40 ruby
[09:43:25 PM]  Mua Bột vàng -40 ruby
[09:43:25 PM]  Mua Bột vàng -40 ruby
[09:43:25 PM]  Mua Bột vàng -40 ruby
[09:43:26 PM]  Mua Bột vàng -40 ruby
[09:43:26 PM]  Mua Bột vàng -40 ruby
[09:43:26 PM]  Mua Bột vàng -40 ruby
[09:43:33 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:33 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:33 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:33 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:33 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:33 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:34 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:34 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:34 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:34 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:34 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:34 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:35 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:35 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:35 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:35 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:35 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:35 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:36 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:36 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:36 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:36 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:36 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:36 PM]  Mua Ngôi sao may mắn -100 ruby
[09:43:36 PM]  Mua Ngôi sao may mắn -100 ruby
