[06:39:45 PM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[06:42:26 PM]  Mua Sắc đỏ Nam -500 ruby
[06:42:52 PM]  Mua 10000 vé vòng quay -150000 ruby
[06:54:06 PM]  Logout : [Beri] 821.907.064 [Ruby] 899.500
[11:40:48 PM]  Login : [Beri] 821.907.064 [Ruby] 899.500
[11:42:25 PM]  Mua Kinh nghiệm X2 -15 ruby
[11:42:28 PM]  Mua Xp Chiêu thức -1500 ruby
[11:51:30 PM]  Mua Đá ác quỷ -40 ruby
[11:51:30 PM]  Mua Đá ác quỷ -40 ruby
[11:51:30 PM]  Mua Đá ác quỷ -40 ruby
[11:51:30 PM]  Mua Đá ác quỷ -40 ruby
[11:51:30 PM]  Mua Đá ác quỷ -40 ruby
[11:51:30 PM]  Mua Đá ác quỷ -40 ruby
[11:51:30 PM]  Mua Đá ác quỷ -40 ruby
[11:51:31 PM]  Mua Đá ác quỷ -40 ruby
[11:51:31 PM]  Mua Đá ác quỷ -40 ruby
[11:51:31 PM]  Mua Đá ác quỷ -40 ruby
[11:51:31 PM]  Mua Đá ác quỷ -40 ruby
[11:51:31 PM]  Mua Đá ác quỷ -40 ruby
[11:51:31 PM]  Mua Đá ác quỷ -40 ruby
[11:51:31 PM]  Mua Đá ác quỷ -40 ruby
[11:51:32 PM]  Mua Đá ác quỷ -40 ruby
[11:51:32 PM]  Mua Đá ác quỷ -40 ruby
[11:51:32 PM]  Mua Đá ác quỷ -40 ruby
[11:51:32 PM]  Mua Đá ác quỷ -40 ruby
[11:51:32 PM]  Mua Đá ác quỷ -40 ruby
[11:51:32 PM]  Mua Đá ác quỷ -40 ruby
[11:51:32 PM]  Mua Đá ác quỷ -40 ruby
[11:51:32 PM]  Mua Đá ác quỷ -40 ruby
[11:51:33 PM]  Mua Đá ác quỷ -40 ruby
[11:51:33 PM]  Mua Đá ác quỷ -40 ruby
[11:51:33 PM]  Mua Đá ác quỷ -40 ruby
[11:51:33 PM]  Mua Đá ác quỷ -40 ruby
[11:51:33 PM]  Mua Đá ác quỷ -40 ruby
[11:51:33 PM]  Mua Đá ác quỷ -40 ruby
[11:51:34 PM]  Mua Đá ác quỷ -40 ruby
[11:52:20 PM]  Mua Đá ác quỷ -40 ruby
[11:52:20 PM]  Mua Đá ác quỷ -40 ruby
[11:52:20 PM]  Mua Đá ác quỷ -40 ruby
[11:52:20 PM]  Mua Đá ác quỷ -40 ruby
[11:52:20 PM]  Mua Đá ác quỷ -40 ruby
[11:52:20 PM]  Mua Đá ác quỷ -40 ruby
[11:52:20 PM]  Mua Đá ác quỷ -40 ruby
[11:52:20 PM]  Mua Đá ác quỷ -40 ruby
[11:52:21 PM]  Mua Đá ác quỷ -40 ruby
[11:52:21 PM]  Mua Đá ác quỷ -40 ruby
[11:52:21 PM]  Mua Đá ác quỷ -40 ruby
[11:52:21 PM]  Mua Đá ác quỷ -40 ruby
[11:52:21 PM]  Mua Đá ác quỷ -40 ruby
[11:52:21 PM]  Mua Đá ác quỷ -40 ruby
[11:52:21 PM]  Mua Đá ác quỷ -40 ruby
[11:52:21 PM]  Mua Đá ác quỷ -40 ruby
[11:52:21 PM]  Mua Đá ác quỷ -40 ruby
[11:52:22 PM]  Mua Đá ác quỷ -40 ruby
[11:52:22 PM]  Mua Đá ác quỷ -40 ruby
[11:52:22 PM]  Mua Đá ác quỷ -40 ruby
[11:52:22 PM]  Mua Đá ác quỷ -40 ruby
[11:52:22 PM]  Mua Đá ác quỷ -40 ruby
[11:52:22 PM]  Mua Đá ác quỷ -40 ruby
[11:52:22 PM]  Mua Đá ác quỷ -40 ruby
[11:52:22 PM]  Mua Đá ác quỷ -40 ruby
[11:52:23 PM]  Mua Đá ác quỷ -40 ruby
[11:52:23 PM]  Mua Đá ác quỷ -40 ruby
[11:52:23 PM]  Mua Đá ác quỷ -40 ruby
[11:52:23 PM]  Mua Đá ác quỷ -40 ruby
[11:52:23 PM]  Mua Đá ác quỷ -40 ruby
[11:52:23 PM]  Mua Đá ác quỷ -40 ruby
[11:52:23 PM]  Mua Đá ác quỷ -40 ruby
[11:52:23 PM]  Mua Đá ác quỷ -40 ruby
[11:52:24 PM]  Mua Đá ác quỷ -40 ruby
[11:52:24 PM]  Mua Đá ác quỷ -40 ruby
[11:52:24 PM]  Mua Đá ác quỷ -40 ruby
[11:52:24 PM]  Mua Đá ác quỷ -40 ruby
[11:52:24 PM]  Mua Đá ác quỷ -40 ruby
[11:52:24 PM]  Mua Đá ác quỷ -40 ruby
[11:52:24 PM]  Mua Đá ác quỷ -40 ruby
[11:52:24 PM]  Mua Đá ác quỷ -40 ruby
