[02:39:42 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[02:39:59 PM]  Mua 1000 vé vòng quay -15000 ruby
[02:46:56 PM]  Mua Bột cường hóa -20 ruby
[02:46:56 PM]  Mua Bột cường hóa -20 ruby
[02:46:56 PM]  Mua Bột cường hóa -20 ruby
[02:46:56 PM]  Mua Bột cường hóa -20 ruby
[02:46:56 PM]  Mua Bột cường hóa -20 ruby
[02:46:56 PM]  Mua Bột cường hóa -20 ruby
[02:46:57 PM]  Mua Bột cường hóa -20 ruby
[02:46:57 PM]  Mua Bột cường hóa -20 ruby
[02:46:57 PM]  Mua Bột cường hóa -20 ruby
[02:46:57 PM]  Mua Bột cường hóa -20 ruby
[02:46:57 PM]  Mua Bột cường hóa -20 ruby
[02:46:57 PM]  Mua Bột cường hóa -20 ruby
[02:46:57 PM]  Mua Bột cường hóa -20 ruby
[02:46:58 PM]  Mua Bột cường hóa -20 ruby
[02:46:58 PM]  Mua Bột cường hóa -20 ruby
[02:46:58 PM]  Mua Bột cường hóa -20 ruby
[02:46:58 PM]  Mua Bột cường hóa -20 ruby
[02:46:58 PM]  Mua Bột cường hóa -20 ruby
[02:46:58 PM]  Mua Bột cường hóa -20 ruby
[02:46:58 PM]  Mua Bột cường hóa -20 ruby
[02:46:59 PM]  Mua Bột cường hóa -20 ruby
[02:46:59 PM]  Mua Bột cường hóa -20 ruby
[02:46:59 PM]  Mua Bột cường hóa -20 ruby
[02:46:59 PM]  Mua Bột cường hóa -20 ruby
[02:46:59 PM]  Mua Bột cường hóa -20 ruby
[02:46:59 PM]  Mua Bột cường hóa -20 ruby
[02:47:00 PM]  Mua Bột cường hóa -20 ruby
[02:47:00 PM]  Mua Bột cường hóa -20 ruby
[02:47:00 PM]  Mua Bột cường hóa -20 ruby
[02:47:00 PM]  Mua Bột cường hóa -20 ruby
[02:47:00 PM]  Mua Bột cường hóa -20 ruby
[02:47:00 PM]  Mua Bột cường hóa -20 ruby
[02:47:01 PM]  Mua Bột cường hóa -20 ruby
[02:47:01 PM]  Mua Bột cường hóa -20 ruby
[02:47:01 PM]  Mua Bột cường hóa -20 ruby
[02:47:01 PM]  Mua Bột cường hóa -20 ruby
[02:47:01 PM]  Mua Bột cường hóa -20 ruby
[02:47:02 PM]  Mua Bột vàng -40 ruby
[02:47:02 PM]  Mua Bột vàng -40 ruby
[02:47:03 PM]  Mua Bột vàng -40 ruby
[02:47:03 PM]  Mua Bột vàng -40 ruby
[02:47:03 PM]  Mua Bột vàng -40 ruby
[02:47:03 PM]  Mua Bột vàng -40 ruby
[02:47:03 PM]  Mua Bột vàng -40 ruby
[02:47:03 PM]  Mua Bột vàng -40 ruby
[02:47:04 PM]  Mua Bột vàng -40 ruby
[02:47:04 PM]  Mua Bột vàng -40 ruby
[02:47:04 PM]  Mua Bột vàng -40 ruby
[02:47:04 PM]  Mua Bột vàng -40 ruby
[02:47:04 PM]  Mua Bột vàng -40 ruby
[02:47:04 PM]  Mua Bột vàng -40 ruby
[02:47:05 PM]  Mua Bột vàng -40 ruby
[02:47:05 PM]  Mua Bột vàng -40 ruby
[02:47:05 PM]  Mua Bột vàng -40 ruby
[02:47:05 PM]  Mua Bột vàng -40 ruby
[02:47:05 PM]  Mua Bột vàng -40 ruby
[02:47:05 PM]  Mua Bột vàng -40 ruby
[02:47:09 PM]  Mua Búa sơ cấp -40 ruby
