[11:29:16 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[11:33:17 AM]  Mua Bão tố -500 ruby
[11:33:22 AM]  Mua Tóc khỉ con -500 ruby
[11:33:30 AM]  Mua Tóc Siêu Sao -500 ruby
[11:33:38 AM]  Mua Trang phục Thần Tài -500 ruby
[11:34:45 AM]  Mua Vé tẩy tiềm năng -0 beri
[11:35:17 AM]  Mua 3000 vé vòng quay -45000 ruby
[11:41:31 AM]  Mua Trang phục Spiderman Iron -500 ruby
[11:41:54 AM]  Mua Trang phục Franky -500 ruby
[11:42:26 AM]  Mua Quả Conache -0 beri
[11:42:26 AM]  Mua Quả Conache -0 beri
[11:42:26 AM]  Mua Quả Conache -0 beri
[11:42:26 AM]  Mua Quả Conache -0 beri
[11:42:26 AM]  Mua Quả Conache -0 beri
[11:42:27 AM]  Mua Quả Conache -0 beri
[11:42:27 AM]  Mua Quả Conache -0 beri
[11:42:27 AM]  Mua Quả Conache -0 beri
[11:42:27 AM]  Mua Quả Conache -0 beri
[11:42:27 AM]  Mua Quả Conache -0 beri
[11:42:27 AM]  Mua Quả Conache -0 beri
[11:42:28 AM]  Mua Quả Conache -0 beri
[11:42:28 AM]  Mua Quả Conache -0 beri
[11:42:28 AM]  Mua Quả Conache -0 beri
[11:42:28 AM]  Mua Quả Conache -0 beri
[11:42:28 AM]  Mua Quả Conache -0 beri
[11:42:29 AM]  Mua Quả Conache -0 beri
[11:42:29 AM]  Mua Quả Conache -0 beri
[11:42:29 AM]  Mua Quả Conache -0 beri
[11:42:29 AM]  Mua Quả Conache -0 beri
[11:42:29 AM]  Mua Quả Conache -0 beri
[11:42:29 AM]  Mua Quả Conache -0 beri
[11:42:30 AM]  Mua Quả Conache -0 beri
[11:42:30 AM]  Mua Quả Conache -0 beri
[11:42:30 AM]  Mua Quả Conache -0 beri
[11:42:30 AM]  Mua Quả Conache -0 beri
[11:42:30 AM]  Mua Quả Conache -0 beri
[11:42:30 AM]  Mua Quả Conache -0 beri
[11:42:31 AM]  Mua Quả Conache -0 beri
[11:42:32 AM]  Mua Cơm hộp hải tặc -0 beri
[11:42:32 AM]  Mua Cơm hộp hải tặc -0 beri
[11:42:32 AM]  Mua Cơm hộp hải tặc -0 beri
[11:42:32 AM]  Mua Cơm hộp hải tặc -0 beri
[11:42:32 AM]  Mua Cơm hộp hải tặc -0 beri
[11:42:33 AM]  Mua Cơm hộp hải tặc -0 beri
[11:42:33 AM]  Mua Cơm hộp hải tặc -0 beri
