[08:26:29 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[08:27:34 PM]  Mua Kinh nghiệm X2 -60 ruby
[08:27:36 PM]  Mua Xp Chiêu thức -6000 ruby
[08:27:40 PM]  Mua Quả Conache -0 beri
[08:27:40 PM]  Mua Quả Conache -0 beri
[08:27:40 PM]  Mua Quả Conache -0 beri
[08:27:41 PM]  Mua Quả Conache -0 beri
[08:27:41 PM]  Mua Quả Conache -0 beri
[08:27:41 PM]  Mua Quả Conache -0 beri
[08:27:41 PM]  Mua Quả Conache -0 beri
[08:27:41 PM]  Mua Quả Conache -0 beri
[08:27:41 PM]  Mua Quả Conache -0 beri
[08:27:42 PM]  Mua Quả Conache -0 beri
[08:27:43 PM]  Mua Quả Conache -0 beri
[08:27:43 PM]  Mua Quả Conache -0 beri
[08:27:43 PM]  Mua Quả Conache -0 beri
[08:27:43 PM]  Mua Quả Conache -0 beri
[08:27:43 PM]  Mua Quả Conache -0 beri
[08:27:44 PM]  Mua Quả Conache -0 beri
[08:27:44 PM]  Mua Quả Conache -0 beri
[08:27:44 PM]  Mua Quả Conache -0 beri
[08:27:45 PM]  Mua Quả Conache -0 beri
[08:27:45 PM]  Mua Quả Conache -0 beri
[08:27:46 PM]  Mua Quả Conache -0 beri
[08:27:46 PM]  Mua Quả Conache -0 beri
[08:27:47 PM]  Mua Quả Conache -0 beri
[08:27:47 PM]  Mua Quả Conache -0 beri
[08:27:47 PM]  Mua Quả Conache -0 beri
[08:27:47 PM]  Mua Quả Conache -0 beri
[08:27:47 PM]  Mua Quả Conache -0 beri
