[10:01:12 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[10:02:16 PM]  Mua Xp Chiêu thức -6000 ruby
[10:02:22 PM]  Mua Cola -800 beri
[10:02:22 PM]  Mua Cola -800 beri
[10:02:22 PM]  Mua Cola -800 beri
[10:02:22 PM]  Mua Cola -800 beri
[10:02:22 PM]  Mua Cola -800 beri
[10:02:22 PM]  Mua Cola -800 beri
[10:02:23 PM]  Mua Cola -800 beri
[10:02:23 PM]  Mua Cola -800 beri
[10:02:23 PM]  Mua Cola -800 beri
[10:02:23 PM]  Mua Cola -800 beri
[10:02:23 PM]  Mua Cola -800 beri
[10:02:23 PM]  Mua Cola -800 beri
[10:02:24 PM]  Mua Cola -800 beri
[10:02:24 PM]  Mua Cola -800 beri
[10:02:24 PM]  Mua Cola -800 beri
[10:02:24 PM]  Mua Cola -800 beri
[10:02:24 PM]  Mua Cola -800 beri
[10:02:24 PM]  Mua Cola -800 beri
[10:02:24 PM]  Mua Cola -800 beri
[10:02:25 PM]  Mua Cola -800 beri
[10:02:25 PM]  Mua Cola -800 beri
[10:02:25 PM]  Mua Cola -800 beri
[10:02:25 PM]  Mua Cola -800 beri
[10:02:25 PM]  Mua Cola -800 beri
[10:02:25 PM]  Mua Cola -800 beri
[10:02:26 PM]  Mua Cola -800 beri
[10:02:26 PM]  Mua Cola -800 beri
[10:02:26 PM]  Mua Cola -800 beri
[10:02:26 PM]  Mua Cola -800 beri
[10:02:26 PM]  Mua Cola -800 beri
[10:02:26 PM]  Mua Cola -800 beri
[10:02:27 PM]  Mua Cola -800 beri
[10:02:27 PM]  Mua Cola -800 beri
[10:02:27 PM]  Mua Cola -800 beri
[10:02:27 PM]  Mua Cola -800 beri
[10:02:27 PM]  Mua Cola -800 beri
[10:02:27 PM]  Mua Cola -800 beri
[10:02:28 PM]  Mua Cola -800 beri
[10:02:28 PM]  Mua Cola -800 beri
[10:02:29 PM]  Mua Cola -800 beri
[10:02:31 PM]  Mua Súp baratie -1600 beri
[10:02:31 PM]  Mua Súp baratie -1600 beri
[10:02:31 PM]  Mua Súp baratie -1600 beri
[10:02:31 PM]  Mua Súp baratie -1600 beri
[10:02:31 PM]  Mua Súp baratie -1600 beri
[10:02:31 PM]  Mua Súp baratie -1600 beri
[10:02:31 PM]  Mua Súp baratie -1600 beri
[10:02:32 PM]  Mua Súp baratie -1600 beri
[10:02:32 PM]  Mua Súp baratie -1600 beri
[10:02:32 PM]  Mua Súp baratie -1600 beri
[10:02:32 PM]  Mua Súp baratie -1600 beri
[10:02:32 PM]  Mua Súp baratie -1600 beri
[10:02:32 PM]  Mua Súp baratie -1600 beri
[10:02:33 PM]  Mua Súp baratie -1600 beri
[10:02:33 PM]  Mua Súp baratie -1600 beri
[10:02:33 PM]  Mua Súp baratie -1600 beri
[10:02:33 PM]  Mua Súp baratie -1600 beri
[10:02:33 PM]  Mua Súp baratie -1600 beri
[10:02:34 PM]  Mua Súp baratie -1600 beri
[10:02:34 PM]  Mua Súp baratie -1600 beri
[10:02:34 PM]  Mua Súp baratie -1600 beri
[10:02:34 PM]  Mua Súp baratie -1600 beri
[10:02:34 PM]  Mua Súp baratie -1600 beri
[10:02:34 PM]  Mua Súp baratie -1600 beri
[10:02:35 PM]  Mua Súp baratie -1600 beri
[10:02:35 PM]  Mua Súp baratie -1600 beri
[10:02:35 PM]  Mua Súp baratie -1600 beri
[10:02:35 PM]  Mua Súp baratie -1600 beri
[10:02:35 PM]  Mua Súp baratie -1600 beri
[10:02:35 PM]  Mua Súp baratie -1600 beri
[10:02:36 PM]  Mua Súp baratie -1600 beri
[10:02:36 PM]  Mua Súp baratie -1600 beri
[10:02:36 PM]  Mua Súp baratie -1600 beri
[10:02:36 PM]  Mua Súp baratie -1600 beri
[10:02:36 PM]  Mua Súp baratie -1600 beri
[10:02:36 PM]  Mua Súp baratie -1600 beri
[10:02:37 PM]  Mua Súp baratie -1600 beri
[10:02:37 PM]  Mua Súp baratie -1600 beri
[10:03:29 PM]  Mua Nữ thần -500 ruby
[10:05:05 PM]  Mua Tóc mốc lai -500 ruby
[10:21:38 PM]  Mua 999 vé vòng quay -14985 ruby
[10:29:48 PM]  Logout : [Beri] 1.999.907.199 [Ruby] 1.999.978.014
