[07:17:38 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[07:18:36 PM]  Mua Tóc mốc lai -500 ruby
[07:18:53 PM]  Mua Trang phục Franky -500 ruby
[07:19:18 PM]  Mua 3000 vé vòng quay -45000 ruby
[07:25:47 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.953.999
[09:49:57 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.953.999
[09:56:12 PM]  Mua Xp Chiêu thức -1500 ruby
[09:56:14 PM]  Mua Kinh nghiệm X2 -15 ruby
[09:56:15 PM]  Mua Quả Conache -0 beri
[09:56:15 PM]  Mua Quả Conache -0 beri
[09:56:15 PM]  Mua Quả Conache -0 beri
[09:56:15 PM]  Mua Quả Conache -0 beri
[09:56:16 PM]  Mua Quả Conache -0 beri
[09:56:16 PM]  Mua Quả Conache -0 beri
[09:56:16 PM]  Mua Quả Conache -0 beri
[09:56:16 PM]  Mua Quả Conache -0 beri
[09:56:16 PM]  Mua Quả Conache -0 beri
[09:56:16 PM]  Mua Quả Conache -0 beri
[09:56:17 PM]  Mua Quả Conache -0 beri
[09:56:17 PM]  Mua Quả Conache -0 beri
[09:56:17 PM]  Mua Quả Conache -0 beri
[09:56:17 PM]  Mua Quả Conache -0 beri
[09:56:17 PM]  Mua Quả Conache -0 beri
[09:56:18 PM]  Mua Quả Conache -0 beri
[09:56:18 PM]  Mua Quả Conache -0 beri
[09:56:18 PM]  Mua Quả Conache -0 beri
[09:56:18 PM]  Mua Quả Conache -0 beri
[09:56:19 PM]  Mua Quả Conache -0 beri
[09:56:19 PM]  Mua Quả Conache -0 beri
[09:56:19 PM]  Mua Quả Conache -0 beri
[09:56:19 PM]  Mua Quả Conache -0 beri
[09:56:20 PM]  Mua Quả Conache -0 beri
[09:56:20 PM]  Mua Quả Conache -0 beri
[09:56:20 PM]  Mua Quả Conache -0 beri
[09:56:20 PM]  Mua Quả Conache -0 beri
[09:56:20 PM]  Mua Quả Conache -0 beri
[09:56:20 PM]  Mua Quả Conache -0 beri
[09:56:21 PM]  Mua Quả Conache -0 beri
[09:56:21 PM]  Mua Quả Conache -0 beri
[09:56:21 PM]  Mua Quả Conache -0 beri
