[08:19:58 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[08:20:32 PM]  Mua Thời trang UTA -500 ruby
[08:23:08 PM]  Mua Kinh nghiệm X2 -15 ruby
[08:23:09 PM]  Mua Xp Chiêu thức -1500 ruby
[08:23:57 PM]  Mua Gà nướng -1000 beri
[08:23:57 PM]  Mua Gà nướng -1000 beri
[08:23:57 PM]  Mua Gà nướng -1000 beri
[08:23:58 PM]  Mua Gà nướng -1000 beri
[08:23:58 PM]  Mua Gà nướng -1000 beri
[08:23:58 PM]  Mua Gà nướng -1000 beri
[08:23:58 PM]  Mua Gà nướng -1000 beri
[08:23:58 PM]  Mua Gà nướng -1000 beri
[08:23:58 PM]  Mua Gà nướng -1000 beri
[08:23:59 PM]  Mua Gà nướng -1000 beri
[08:23:59 PM]  Mua Gà nướng -1000 beri
[08:23:59 PM]  Mua Gà nướng -1000 beri
[08:23:59 PM]  Mua Gà nướng -1000 beri
[08:23:59 PM]  Mua Gà nướng -1000 beri
[08:23:59 PM]  Mua Gà nướng -1000 beri
[08:23:59 PM]  Mua Gà nướng -1000 beri
[08:24:00 PM]  Mua Gà nướng -1000 beri
[08:24:00 PM]  Mua Gà nướng -1000 beri
[08:24:00 PM]  Mua Gà nướng -1000 beri
[08:24:00 PM]  Mua Gà nướng -1000 beri
[08:24:02 PM]  Mua Cola -800 beri
[08:24:02 PM]  Mua Cola -800 beri
[08:24:02 PM]  Mua Cola -800 beri
[08:24:03 PM]  Mua Cola -800 beri
[08:24:03 PM]  Mua Cola -800 beri
[08:24:03 PM]  Mua Cola -800 beri
[08:24:03 PM]  Mua Cola -800 beri
[08:24:03 PM]  Mua Cola -800 beri
[08:24:03 PM]  Mua Cola -800 beri
[08:24:03 PM]  Mua Cola -800 beri
[08:24:04 PM]  Mua Cola -800 beri
[08:24:04 PM]  Mua Cola -800 beri
[08:24:04 PM]  Mua Cola -800 beri
[08:24:04 PM]  Mua Cola -800 beri
[08:24:04 PM]  Mua Cola -800 beri
[08:24:05 PM]  Mua Cola -800 beri
[08:24:05 PM]  Mua Cola -800 beri
[08:24:10 PM]  Mua Súp baratie -1600 beri
[08:24:10 PM]  Mua Súp baratie -1600 beri
[08:24:10 PM]  Mua Súp baratie -1600 beri
[08:24:10 PM]  Mua Súp baratie -1600 beri
[08:24:10 PM]  Mua Súp baratie -1600 beri
[08:24:10 PM]  Mua Súp baratie -1600 beri
[08:24:10 PM]  Mua Súp baratie -1600 beri
[08:24:11 PM]  Mua Súp baratie -1600 beri
[08:24:39 PM]  Logout : [Beri] 1.999.953.599 [Ruby] 1.999.997.984
