[07:08:12 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[07:08:45 PM]  Mua Trang phục Franky -500 ruby
[07:08:52 PM]  Mua Kinh nghiệm X2 -60 ruby
[07:08:54 PM]  Mua Xp Chiêu thức -6000 ruby
[07:09:06 PM]  Mua Quả Conache -0 beri
[07:09:06 PM]  Mua Quả Conache -0 beri
[07:09:07 PM]  Mua Quả Conache -0 beri
[07:09:07 PM]  Mua Quả Conache -0 beri
[07:09:10 PM]  Mua Quả Conache -0 beri
[07:09:10 PM]  Mua Quả Conache -0 beri
[07:09:11 PM]  Mua Quả Conache -0 beri
[07:09:11 PM]  Mua Quả Conache -0 beri
[07:09:11 PM]  Mua Quả Conache -0 beri
[07:09:11 PM]  Mua Quả Conache -0 beri
[07:09:12 PM]  Mua Quả Conache -0 beri
[07:09:12 PM]  Mua Quả Conache -0 beri
[07:09:12 PM]  Mua Quả Conache -0 beri
[07:09:12 PM]  Mua Quả Conache -0 beri
[07:09:13 PM]  Mua Quả Conache -0 beri
[07:09:13 PM]  Mua Quả Conache -0 beri
[07:09:13 PM]  Mua Quả Conache -0 beri
[07:09:13 PM]  Mua Quả Conache -0 beri
[07:09:14 PM]  Mua Quả Conache -0 beri
[07:09:14 PM]  Mua Quả Conache -0 beri
[07:09:14 PM]  Mua Quả Conache -0 beri
[07:09:14 PM]  Mua Quả Conache -0 beri
[07:09:15 PM]  Mua Quả Conache -0 beri
[07:09:15 PM]  Mua Quả Conache -0 beri
[07:09:15 PM]  Mua Quả Conache -0 beri
[07:09:15 PM]  Mua Quả Conache -0 beri
[07:09:16 PM]  Mua Quả Conache -0 beri
[07:09:16 PM]  Mua Quả Conache -0 beri
[07:09:16 PM]  Mua Quả Conache -0 beri
[07:09:16 PM]  Mua Quả Conache -0 beri
[07:09:17 PM]  Mua Quả Conache -0 beri
[07:09:17 PM]  Mua Quả Conache -0 beri
[07:09:17 PM]  Mua Quả Conache -0 beri
[07:09:17 PM]  Mua Quả Conache -0 beri
[07:09:18 PM]  Mua Quả Conache -0 beri
[07:09:18 PM]  Mua Quả Conache -0 beri
[07:09:18 PM]  Mua Quả Conache -0 beri
[07:09:18 PM]  Mua Quả Conache -0 beri
[07:09:19 PM]  Mua Quả Conache -0 beri
[07:09:19 PM]  Mua Quả Conache -0 beri
[07:09:19 PM]  Mua Quả Conache -0 beri
[07:09:19 PM]  Mua Quả Conache -0 beri
[07:09:20 PM]  Mua Quả Conache -0 beri
[07:09:20 PM]  Mua Quả Conache -0 beri
[07:09:26 PM]  Mua Súp baratie -1600 beri
[07:09:26 PM]  Mua Súp baratie -1600 beri
[07:09:26 PM]  Mua Súp baratie -1600 beri
[07:09:27 PM]  Mua Súp baratie -1600 beri
[07:09:27 PM]  Mua Súp baratie -1600 beri
[07:09:27 PM]  Mua Súp baratie -1600 beri
[07:09:27 PM]  Mua Súp baratie -1600 beri
[07:09:28 PM]  Mua Súp baratie -1600 beri
[07:09:28 PM]  Mua Súp baratie -1600 beri
[07:09:28 PM]  Mua Súp baratie -1600 beri
[07:09:28 PM]  Mua Súp baratie -1600 beri
[07:09:29 PM]  Mua Súp baratie -1600 beri
[07:09:29 PM]  Mua Súp baratie -1600 beri
[07:09:29 PM]  Mua Súp baratie -1600 beri
[07:09:29 PM]  Mua Súp baratie -1600 beri
[07:09:30 PM]  Mua Súp baratie -1600 beri
[07:09:30 PM]  Mua Súp baratie -1600 beri
[07:09:30 PM]  Mua Súp baratie -1600 beri
[07:09:30 PM]  Mua Súp baratie -1600 beri
[07:09:31 PM]  Mua Súp baratie -1600 beri
[07:09:31 PM]  Mua Súp baratie -1600 beri
[07:09:31 PM]  Mua Súp baratie -1600 beri
[07:09:31 PM]  Mua Súp baratie -1600 beri
[07:09:32 PM]  Mua Súp baratie -1600 beri
[07:09:32 PM]  Mua Súp baratie -1600 beri
[07:09:32 PM]  Mua Súp baratie -1600 beri
[07:09:32 PM]  Mua Súp baratie -1600 beri
