[10:27:04 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[10:30:20 PM]  Mua Trang phục Spiderman Iron -500 ruby
[10:32:46 PM]  Mua 1000 vé vòng quay -15000 ruby
[10:39:52 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:52 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:52 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:52 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:53 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:53 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:53 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:53 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:53 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:54 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:54 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:54 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:54 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:54 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:54 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:55 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:55 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:55 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:55 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:55 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:56 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:56 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:56 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:56 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:58 PM]  Mua Kinh nghiệm X2 -60 ruby
[10:39:58 PM]  Mua Kinh nghiệm X2 -60 ruby
[10:39:58 PM]  Mua Kinh nghiệm X2 -60 ruby
[10:40:00 PM]  Mua Quả Conache -0 beri
[10:40:00 PM]  Mua Quả Conache -0 beri
[10:40:00 PM]  Mua Quả Conache -0 beri
[10:40:01 PM]  Mua Quả Conache -0 beri
[10:40:01 PM]  Mua Quả Conache -0 beri
