[08:15:17 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[08:17:16 PM]  Mua Nam thần -500 ruby
[08:17:23 PM]  Mua Xp Chiêu thức -1500 ruby
[08:17:25 PM]  Mua Kinh nghiệm X2 -15 ruby
[08:17:29 PM]  Mua Quả Conache -0 beri
[08:17:29 PM]  Mua Quả Conache -0 beri
[08:17:29 PM]  Mua Quả Conache -0 beri
[08:17:29 PM]  Mua Quả Conache -0 beri
[08:17:30 PM]  Mua Quả Conache -0 beri
[08:17:30 PM]  Mua Quả Conache -0 beri
[08:17:30 PM]  Mua Quả Conache -0 beri
[08:17:31 PM]  Mua Quả Conache -0 beri
[08:17:31 PM]  Mua Quả Conache -0 beri
[08:17:31 PM]  Mua Quả Conache -0 beri
[08:17:31 PM]  Mua Quả Conache -0 beri
[08:17:32 PM]  Mua Quả Conache -0 beri
[08:17:32 PM]  Mua Quả Conache -0 beri
[08:17:32 PM]  Mua Quả Conache -0 beri
[08:17:32 PM]  Mua Quả Conache -0 beri
[08:17:33 PM]  Mua Quả Conache -0 beri
[08:17:33 PM]  Mua Quả Conache -0 beri
[08:17:33 PM]  Mua Quả Conache -0 beri
[08:17:33 PM]  Mua Quả Conache -0 beri
[08:17:34 PM]  Mua Quả Conache -0 beri
[08:17:34 PM]  Mua Quả Conache -0 beri
[08:17:34 PM]  Mua Quả Conache -0 beri
[08:17:34 PM]  Mua Quả Conache -0 beri
[08:17:36 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:36 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:37 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:37 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:37 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:37 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:38 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:38 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:38 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:38 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:39 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:39 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:39 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:39 PM]  Mua Cơm hộp hải tặc -0 beri
[08:17:40 PM]  Mua Cơm hộp hải tặc -0 beri
