[05:40:04 AM]  Login : [Beri] 20.000.000 [Ruby] 50.000
[05:42:11 AM]  Mua 10000 vé vòng quay -150000 ruby
[05:45:23 AM]  Nhặt +1216 beri
[05:48:54 AM]  Mua Quả Conache -0 beri
[05:48:54 AM]  Mua Quả Conache -0 beri
[05:48:54 AM]  Mua Quả Conache -0 beri
[05:48:55 AM]  Mua Quả Conache -0 beri
[05:48:55 AM]  Mua Quả Conache -0 beri
[05:48:55 AM]  Mua Quả Conache -0 beri
[05:48:55 AM]  Mua Quả Conache -0 beri
[05:48:57 AM]  Mua Cơm hộp hải tặc -0 beri
[05:48:57 AM]  Mua Cơm hộp hải tặc -0 beri
[05:48:57 AM]  Mua Cơm hộp hải tặc -0 beri
[05:48:57 AM]  Mua Cơm hộp hải tặc -0 beri
[05:48:57 AM]  Mua Cơm hộp hải tặc -0 beri
[05:48:57 AM]  Mua Cơm hộp hải tặc -0 beri
[05:48:57 AM]  Mua Cơm hộp hải tặc -0 beri
[05:48:58 AM]  Mua Cơm hộp hải tặc -0 beri
[05:48:58 AM]  Mua Cơm hộp hải tặc -0 beri
[05:50:05 AM]  Mua Chấn thiên -500 ruby
[05:50:15 AM]  Mua Tóc Siêu Sao -500 ruby
[05:50:21 AM]  Mua Râu trắng -500 ruby
[05:50:28 AM]  Mua Xp Chiêu thức -6000 ruby
[05:50:28 AM]  Mua Xp Chiêu thức -6000 ruby
[05:50:28 AM]  Mua Xp Chiêu thức -6000 ruby
[05:50:29 AM]  Mua Xp Chiêu thức -6000 ruby
[05:50:29 AM]  Mua Xp Chiêu thức -6000 ruby
[05:50:30 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:50:30 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:50:30 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:50:31 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:50:31 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:50:31 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:57:26 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:26 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:26 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:27 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:27 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:27 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:27 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:27 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:27 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:27 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:28 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:28 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:28 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:28 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:28 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:29 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:29 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:29 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:29 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:29 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:29 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:30 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:30 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:30 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:30 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:30 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:31 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:31 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:31 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:31 AM]  Mua Cơm hộp hải tặc -0 beri
[05:57:32 AM]  Mua Quả Conache -0 beri
[05:57:32 AM]  Mua Quả Conache -0 beri
[05:57:32 AM]  Mua Quả Conache -0 beri
[05:57:33 AM]  Mua Quả Conache -0 beri
[05:57:33 AM]  Mua Quả Conache -0 beri
[05:57:33 AM]  Mua Quả Conache -0 beri
[05:57:33 AM]  Mua Quả Conache -0 beri
[05:57:33 AM]  Mua Quả Conache -0 beri
[05:57:34 AM]  Mua Quả Conache -0 beri
[05:57:34 AM]  Mua Quả Conache -0 beri
[05:57:34 AM]  Mua Quả Conache -0 beri
[05:57:34 AM]  Mua Quả Conache -0 beri
[05:57:34 AM]  Mua Quả Conache -0 beri
[05:57:34 AM]  Mua Quả Conache -0 beri
[05:57:35 AM]  Mua Quả Conache -0 beri
[05:57:35 AM]  Mua Quả Conache -0 beri
[05:57:35 AM]  Mua Quả Conache -0 beri
[05:57:35 AM]  Mua Quả Conache -0 beri
[05:57:35 AM]  Mua Quả Conache -0 beri
[05:57:36 AM]  Mua Quả Conache -0 beri
[05:57:36 AM]  Mua Quả Conache -0 beri
[05:57:36 AM]  Mua Quả Conache -0 beri
[05:57:36 AM]  Mua Quả Conache -0 beri
[05:57:37 AM]  Mua Quả Conache -0 beri
[05:57:37 AM]  Mua Quả Conache -0 beri
[05:57:37 AM]  Mua Quả Conache -0 beri
[05:57:37 AM]  Mua Quả Conache -0 beri
[06:02:27 AM]  Logout : [Beri] 124.730.641 [Ruby] 99.868.040
[06:06:42 AM]  Login : [Beri] 124.730.641 [Ruby] 99.868.040
[06:10:55 AM]  Logout : [Beri] 124.730.641 [Ruby] 99.868.040
[06:12:57 AM]  Login : [Beri] 124.730.641 [Ruby] 99.868.040
[06:17:12 AM]  Mua Quả Conache -0 beri
[06:17:13 AM]  Mua Quả Conache -0 beri
[06:17:13 AM]  Mua Quả Conache -0 beri
[06:17:13 AM]  Mua Quả Conache -0 beri
[06:17:13 AM]  Mua Quả Conache -0 beri
[06:17:13 AM]  Mua Quả Conache -0 beri
[06:17:13 AM]  Mua Quả Conache -0 beri
[06:17:13 AM]  Mua Quả Conache -0 beri
[06:17:14 AM]  Mua Quả Conache -0 beri
[06:17:14 AM]  Mua Quả Conache -0 beri
[06:17:14 AM]  Mua Quả Conache -0 beri
[06:17:14 AM]  Mua Quả Conache -0 beri
[06:17:14 AM]  Mua Quả Conache -0 beri
[06:17:15 AM]  Mua Quả Conache -0 beri
[06:17:15 AM]  Mua Quả Conache -0 beri
[06:17:15 AM]  Mua Quả Conache -0 beri
[06:17:15 AM]  Mua Quả Conache -0 beri
[06:17:15 AM]  Mua Quả Conache -0 beri
[06:17:16 AM]  Mua Quả Conache -0 beri
[06:17:16 AM]  Mua Quả Conache -0 beri
[06:17:16 AM]  Mua Quả Conache -0 beri
[06:17:16 AM]  Mua Quả Conache -0 beri
[06:17:16 AM]  Mua Quả Conache -0 beri
[06:17:16 AM]  Mua Quả Conache -0 beri
[06:17:16 AM]  Mua Quả Conache -0 beri
[06:17:17 AM]  Mua Quả Conache -0 beri
[06:17:17 AM]  Mua Quả Conache -0 beri
[06:17:17 AM]  Mua Quả Conache -0 beri
[06:17:17 AM]  Mua Quả Conache -0 beri
[06:17:17 AM]  Mua Quả Conache -0 beri
[06:17:19 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:19 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:19 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:19 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:20 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:20 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:20 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:20 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:20 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:21 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:21 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:21 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:21 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:21 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:21 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:22 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:22 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:22 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:22 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:22 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:23 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:23 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:23 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:23 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:24 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:24 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:24 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:24 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:25 AM]  Mua Cơm hộp hải tặc -0 beri
[06:17:25 AM]  Mua Cơm hộp hải tặc -0 beri
[06:30:13 AM]  Logout : [Beri] 127.641.105 [Ruby] 99.868.035
[06:40:39 AM]  Login : [Beri] 127.641.105 [Ruby] 99.868.035
