[09:31:48 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[09:36:03 PM]  Mua 500 vé vòng quay -7500 ruby
[09:40:51 PM]  Mua minh vương -5000 ruby
[09:41:13 PM]  Mua Thời trang Nami Wano -500 ruby
[09:41:15 PM]  Mua Hỏa quyền -500 ruby
[09:41:18 PM]  Mua akainu -500 ruby
[09:41:21 PM]  Mua Kizaru -500 ruby
[09:41:23 PM]  Mua Chị hằng -500 ruby
[09:41:26 PM]  Mua Đội trưởng -500 ruby
[09:41:28 PM]  Mua aokiji -500 ruby
[09:41:31 PM]  Mua Bão tố -500 ruby
[09:41:35 PM]  Mua Đấng -500 ruby
[09:41:39 PM]  Mua Thời trang Ma Sói -500 ruby
[09:41:44 PM]  Mua Trang phục Franky -500 ruby
[09:42:01 PM]  Mua Râu đen -500 ruby
[09:42:11 PM]  Mua chopper -500 ruby
[09:42:19 PM]  Mua Thiên thần nữ -500 ruby
[09:42:35 PM]  Mua Trang phục Mihawk Gold -500 ruby
[09:45:40 PM]  Mua Tóc lưỡi liềm -500 ruby
[10:01:24 PM]  Mua Quả Conache -0 beri
[10:01:24 PM]  Mua Quả Conache -0 beri
[10:01:24 PM]  Mua Quả Conache -0 beri
[10:01:24 PM]  Mua Quả Conache -0 beri
[10:01:24 PM]  Mua Quả Conache -0 beri
[10:01:24 PM]  Mua Quả Conache -0 beri
[10:01:25 PM]  Mua Quả Conache -0 beri
[10:01:25 PM]  Mua Quả Conache -0 beri
[10:01:25 PM]  Mua Quả Conache -0 beri
[10:01:25 PM]  Mua Quả Conache -0 beri
[10:01:25 PM]  Mua Quả Conache -0 beri
[10:01:26 PM]  Mua Quả Conache -0 beri
[10:01:26 PM]  Mua Quả Conache -0 beri
[10:01:26 PM]  Mua Quả Conache -0 beri
[10:01:26 PM]  Mua Quả Conache -0 beri
[10:01:26 PM]  Mua Quả Conache -0 beri
[10:01:26 PM]  Mua Quả Conache -0 beri
[10:01:26 PM]  Mua Quả Conache -0 beri
[10:01:27 PM]  Mua Quả Conache -0 beri
[10:01:27 PM]  Mua Quả Conache -0 beri
[10:01:27 PM]  Mua Quả Conache -0 beri
[10:01:27 PM]  Mua Quả Conache -0 beri
[10:01:27 PM]  Mua Quả Conache -0 beri
[10:01:30 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:31 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:31 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:31 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:31 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:31 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:31 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:34 PM]  Mua Cơm hộp hải tặc -0 beri
[10:01:37 PM]  Mua Vé tẩy tiềm năng -0 beri
[10:01:42 PM]  Mua Kinh nghiệm X2 -3 ruby
[10:01:50 PM]  Bán item +1 beri
[10:01:53 PM]  Bán item +1 beri
[10:04:09 PM]  Mua Đá ác quỷ -40 ruby
[10:04:10 PM]  Mua Đá ác quỷ -40 ruby
[10:04:10 PM]  Mua Đá ác quỷ -40 ruby
[10:04:10 PM]  Mua Đá ác quỷ -40 ruby
[10:04:10 PM]  Mua Đá ác quỷ -40 ruby
[10:04:10 PM]  Mua Đá ác quỷ -40 ruby
[10:04:10 PM]  Mua Đá ác quỷ -40 ruby
[10:04:11 PM]  Mua Đá ác quỷ -40 ruby
[10:04:11 PM]  Mua Đá ác quỷ -40 ruby
[10:04:11 PM]  Mua Đá ác quỷ -40 ruby
[10:04:11 PM]  Mua Đá ác quỷ -40 ruby
[10:04:11 PM]  Mua Đá ác quỷ -40 ruby
[10:04:11 PM]  Mua Đá ác quỷ -40 ruby
[10:04:11 PM]  Mua Đá ác quỷ -40 ruby
[10:04:12 PM]  Mua Đá ác quỷ -40 ruby
[10:04:12 PM]  Mua Đá ác quỷ -40 ruby
[10:04:12 PM]  Mua Đá ác quỷ -40 ruby
[10:04:12 PM]  Mua Đá ác quỷ -40 ruby
[10:04:12 PM]  Mua Đá ác quỷ -40 ruby
[10:04:12 PM]  Mua Đá ác quỷ -40 ruby
[10:04:13 PM]  Mua Đá ác quỷ -40 ruby
[10:04:13 PM]  Mua Đá ác quỷ -40 ruby
[10:04:13 PM]  Mua Đá ác quỷ -40 ruby
[10:04:13 PM]  Mua Đá ác quỷ -40 ruby
[10:04:13 PM]  Mua Đá ác quỷ -40 ruby
[10:04:13 PM]  Mua Đá ác quỷ -40 ruby
[10:04:14 PM]  Mua Đá ác quỷ -40 ruby
[10:04:14 PM]  Mua Đá ác quỷ -40 ruby
[10:04:14 PM]  Mua Đá ác quỷ -40 ruby
[10:04:14 PM]  Mua Đá ác quỷ -40 ruby
[10:04:14 PM]  Mua Đá ác quỷ -40 ruby
[10:04:15 PM]  Mua Đá ác quỷ -40 ruby
[10:04:15 PM]  Mua Đá ác quỷ -40 ruby
[10:04:15 PM]  Mua Đá ác quỷ -40 ruby
[10:04:15 PM]  Mua Đá ác quỷ -40 ruby
[10:04:15 PM]  Mua Đá ác quỷ -40 ruby
[10:04:15 PM]  Mua Đá ác quỷ -40 ruby
[10:04:16 PM]  Mua Đá ác quỷ -40 ruby
[10:04:16 PM]  Mua Đá ác quỷ -40 ruby
[10:04:16 PM]  Mua Đá ác quỷ -40 ruby
[10:04:16 PM]  Mua Đá ác quỷ -40 ruby
[10:04:16 PM]  Mua Đá ác quỷ -40 ruby
[10:04:17 PM]  Mua Đá ác quỷ -40 ruby
[10:04:17 PM]  Mua Đá ác quỷ -40 ruby
[10:04:17 PM]  Mua Đá ác quỷ -40 ruby
[10:04:17 PM]  Mua Đá ác quỷ -40 ruby
[10:04:18 PM]  Mua Đá ác quỷ -40 ruby
[10:04:18 PM]  Mua Đá ác quỷ -40 ruby
[10:04:18 PM]  Mua Đá ác quỷ -40 ruby
[10:04:18 PM]  Mua Đá ác quỷ -40 ruby
[10:04:18 PM]  Mua Đá ác quỷ -40 ruby
[10:04:19 PM]  Mua Đá ác quỷ -40 ruby
[10:04:19 PM]  Mua Đá ác quỷ -40 ruby
[10:04:19 PM]  Mua Đá ác quỷ -40 ruby
[10:04:19 PM]  Mua Đá ác quỷ -40 ruby
[10:04:19 PM]  Mua Đá ác quỷ -40 ruby
[10:04:19 PM]  Mua Đá ác quỷ -40 ruby
[10:04:20 PM]  Mua Đá ác quỷ -40 ruby
[10:04:20 PM]  Mua Đá ác quỷ -40 ruby
[10:04:20 PM]  Mua Đá ác quỷ -40 ruby
[10:04:20 PM]  Mua Đá ác quỷ -40 ruby
[10:04:20 PM]  Mua Đá ác quỷ -40 ruby
[10:04:21 PM]  Mua Đá ác quỷ -40 ruby
[10:04:21 PM]  Mua Đá ác quỷ -40 ruby
[10:04:21 PM]  Mua Đá ác quỷ -40 ruby
[10:04:21 PM]  Mua Đá ác quỷ -40 ruby
[10:04:21 PM]  Mua Đá ác quỷ -40 ruby
[10:04:22 PM]  Mua Đá ác quỷ -40 ruby
[10:04:22 PM]  Mua Đá ác quỷ -40 ruby
[10:04:22 PM]  Mua Đá ác quỷ -40 ruby
[10:04:22 PM]  Mua Đá ác quỷ -40 ruby
[10:04:22 PM]  Mua Đá ác quỷ -40 ruby
[10:04:23 PM]  Mua Đá ác quỷ -40 ruby
[10:04:23 PM]  Mua Đá ác quỷ -40 ruby
[10:04:23 PM]  Mua Đá ác quỷ -40 ruby
[10:04:23 PM]  Mua Đá ác quỷ -40 ruby
[10:04:23 PM]  Mua Đá ác quỷ -40 ruby
[10:04:24 PM]  Mua Đá ác quỷ -40 ruby
[10:04:24 PM]  Mua Đá ác quỷ -40 ruby
[10:04:24 PM]  Mua Đá ác quỷ -40 ruby
[10:04:24 PM]  Mua Đá ác quỷ -40 ruby
[10:04:24 PM]  Mua Đá ác quỷ -40 ruby
[10:04:25 PM]  Mua Đá ác quỷ -40 ruby
[10:04:25 PM]  Mua Đá ác quỷ -40 ruby
[10:04:25 PM]  Mua Đá ác quỷ -40 ruby
[10:04:25 PM]  Mua Đá ác quỷ -40 ruby
[10:04:25 PM]  Mua Đá ác quỷ -40 ruby
[10:04:25 PM]  Mua Đá ác quỷ -40 ruby
[10:04:26 PM]  Mua Đá ác quỷ -40 ruby
[10:04:26 PM]  Mua Đá ác quỷ -40 ruby
[10:04:26 PM]  Mua Đá ác quỷ -40 ruby
[10:04:26 PM]  Mua Đá ác quỷ -40 ruby
[10:04:26 PM]  Mua Đá ác quỷ -40 ruby
[10:04:27 PM]  Mua Đá ác quỷ -40 ruby
[10:04:27 PM]  Mua Đá ác quỷ -40 ruby
[10:04:27 PM]  Mua Đá ác quỷ -40 ruby
[10:04:27 PM]  Mua Đá ác quỷ -40 ruby
[10:04:28 PM]  Mua Đá ác quỷ -40 ruby
[10:04:28 PM]  Mua Đá ác quỷ -40 ruby
[10:04:28 PM]  Mua Đá ác quỷ -40 ruby
[10:04:28 PM]  Mua Đá ác quỷ -40 ruby
[10:04:29 PM]  Mua Đá ác quỷ -40 ruby
[10:04:29 PM]  Mua Đá ác quỷ -40 ruby
[10:04:29 PM]  Mua Đá ác quỷ -40 ruby
[10:04:29 PM]  Mua Đá ác quỷ -40 ruby
[10:04:29 PM]  Mua Đá ác quỷ -40 ruby
